Pakistan floods response: UKaid by allocation to partners (overview) - 19 July 2011 (source: DFID),
Partner,Amount in millions £GBP
NGOs,74.2
UN agencies and Emergency Response Fund,42.5
Red Cross (IFRC and ICRC combined),7.6
Goods and services in kind,6.5
Running costs,3.25
TOTAL,134.05
