Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",SCREWFIX,30/09/2015,PCC145/13,60.15,PTFE TAPE,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,20006,"Highways, Roads & Transport Services",SHELL CODY,30/09/2015,PCC145/14,37.38,FUEL,Fuel Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",WICKES,30/09/2015,PCC145/15,27.48,WRENCH & PLIERS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",SCREWFIX,30/09/2015,PCC145/16,2.07,CABLE TIES,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",LOCKRITE SECURITY,30/09/2015,PCC145/17,225.45,PADLOCKS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",HALFORDS,30/09/2015,PCC145/18,100,HAL 6 DRW 2 DR COM,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30197,"Highways, Roads & Transport Services",REVERSINGCAMERASUK,30/09/2015,PCC145/19,141.8,MERCEDES CAMERA,Operational Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",CANE ADAM,30/09/2015,PCC145/20,19.75,FLOOR SQUEEGEE,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,9354,90001,Other Expenditure,FIELD STUDIES COUNCIL,30/09/2015,PCC145/21,255,DEGREE COURSES RW,Expenditure,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",B & Q,30/09/2015,PCC145/1,10.83,ROLLER SET,Handyman Materials,GPC
