OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate, Amount ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Housing Enabling RSL & Housing Corporation,14048233,CBC/04102016/krw,Cheltenham YMCA,C5000-CAP228,Grants,25/10/2016,"151,390.39 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Housing Enabling RSL & Housing Corporation,14048233,CBC/04102016/krw,Cheltenham YMCA,C5000-CAP228,Grants,25/10/2016,"15,775.80 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Property Services,14048506,3120803,CIPFA Business Limited,R1650-SUP025,Training Expenses,28/10/2016,"1,445.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Revenues & Benefits Overheads,14047948,C/RB146994,Civica UK Limited,R4531-LTC101,IT - Purchase of Software,07/10/2016,"3,950.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Revenues & Benefits Overheads,14048638,M/RB039650,Civica UK Limited,R4534-LTC101,IT - Maint Agreements,28/10/2016,907.48 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14048636,C5910,CJ & CE Cleevely T/A Cleevely Memorials,R2076-CCM001,Grounds Maintenance - Non Contract,28/10/2016,550.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,War Memorials,14048358,12052,Cliveden Conservation Workshop Ltd,R2078-CUL002,R&M of Build - external structures,28/10/2016,"15,954.75 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14048681,566056,Comensura Limited,R1100-CCM001,Agency Staff,28/10/2016,"5,839.96 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14048682,566951,Comensura Limited,R1100-CCM001,Agency Staff,28/10/2016,"1,063.48 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Treasury Management,14048183,106363,Corpstar Investments Limited T/A Logotech Systems,R4400-COR006,Services - Professional Fees,14/10/2016,"1,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Phase 3 Development,14048575,CHE/11585,Cotswold Surveyors Limited,C1001-CAH039,Acquisition Of Buildings,28/10/2016,733.33 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Homelessness,14047992,1061,County Community Projects (CCP),R6280-HOM001,Grants,14/10/2016,"54,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14048282,3007530,Craemer UK Limited,R4000-WST001,Equipment Purchase,21/10/2016,"11,925.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14048598,180750,D A Jones Landscapes,R4003-OPS001,Tools & Equipment - R & M,28/10/2016,"4,574.40 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14048598,180750,D A Jones Landscapes,R4003-OPS001,Tools & Equipment - R & M,28/10/2016,"3,425.60 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14048000,1192,D W Brookes (Resurfacing Limited),R2075-OPS001,Grounds Maintenance - Contract,07/10/2016,540.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Adaptations for the Disabled (CBC),14048243,REDACTED,Disabled Care & Mobility Limited,C1107-CAH028,Building Works,21/10/2016,"1,640.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14048221,11252,ECUS Limited,R4400-PLP101,Services - Professional Fees,21/10/2016,"6,320.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Civic Events,14047854,160923,Elmbridge Carpentry,R4401-DRM012,Services - Fees and Charges,07/10/2016,750.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14048192,301267/9/2016,Ener-G Combined Power (South) Limited,R2100-REC111,Electricity,21/10/2016,"2,506.26 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14048578,gct247-19,Enfusion Limited,R4400-PLP101,Services - Professional Fees,28/10/2016,"3,030.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Neighbourhood works,14048701,WM007428,English Landscapes Limited t/a The Landscape Group,C1107-CAH005,Building Works,28/10/2016,811.87 ,,
