Sent for Payment Date,Approved Amount (rpt),Category Level 1
30/10/2017,"1,397.86","Travel, venue hire and exhibition services"
30/10/2017,"1,537.31","Travel, venue hire and exhibition services"
27/10/2017,"1,558.95",Facilities
10/10/2017,"1,626.90",Human Resources
10/10/2017,"1,644.97","Travel, venue hire and exhibition services"
31/10/2017,"1,700.00",Human Resources
29/10/2017,"1,788.12","Travel, venue hire and exhibition services"
30/10/2017,"1,960.00","Travel, venue hire and exhibition services"
02/10/2017,"2,135.17","Travel, venue hire and exhibition services"
05/10/2017,"2,268.00",Human Resources
20/10/2017,"2,277.59","Travel, venue hire and exhibition services"
11/10/2017,"2,294.26","Travel, venue hire and exhibition services"
08/10/2017,"2,322.71","Travel, venue hire and exhibition services"
11/10/2017,"2,393.15","Travel, venue hire and exhibition services"
13/10/2017,"2,471.93","Travel, venue hire and exhibition services"
19/10/2017,"2,487.95","Travel, venue hire and exhibition services"
27/10/2017,"2,799.90",Human Resources
13/10/2017,"3,138.31","Travel, venue hire and exhibition services"
11/10/2017,"3,405.99","Travel, venue hire and exhibition services"
11/10/2017,"3,416.19",IT & Telecoms
20/10/2017,"3,909.42",IT & Telecoms
06/10/2017,"4,006.86","Travel, venue hire and exhibition services"
20/10/2017,"4,687.20",IT & Telecoms
09/10/2017,"5,412.75",Facilities
