Hospital code,Own home/sheltered housing. N,Own home/sheltered housing. %,Rehabilitation unit. N,Rehabilitation unit. %,Acute hospital. N,Acute hospital. %,Residential care. N,Residential care. %,Nursing care. N,Nursing care. %,Dead. N,Dead. %,Other. N,Other. %,Unknown. N,Unknown. %,Admitted from/discharged to Total cases,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). Total,AMTS recorded. Yes. N,AMTS recorded. Yes. %,AMTS recorded. No. N,AMTS recorded. No. %,AMTS recorded. Total,Perioperative medical assessment. No. N,Perioperative medical assessment. No. %,Perioperative medical assessment. Yes. N,Perioperative medical assessment. Yes. %,Perioperative medical assessment. Total,Mobilised out of bed. No. N,Mobilised out of bed. No. %,Mobilised out of bed. Yes. N,Mobilised out of bed. Yes. %,Mobilised out of bed. Total.,Falls assessment (QS 16 -11). Yes. N,Falls assessment (QS 16 -11). Yes. %,Falls assessment (QS 16 -11). No. N,Falls assessment (QS 16 -11). No. %,Falls assessment (QS 16 -11). Total.,Bone health assessment (QS16 – 12). Yes. N,Bone health assessment (QS16 – 12). Yes. %,Bone health assessment (QS16 – 12). No. N,Bone health assessment (QS16 – 12). No. %,Bone health assessment (QS16 – 12). Total,Best practice tariff achievement. Yes. N,Best practice tariff achievement. Yes. %,Best practice tariff achievement. No. N,Best practice tariff achievement. No. %,Best practice tariff achievement. Total,"Surgery on day of, or day after, admission. Yes. N","Surgery on day of, or day after, admission. Yes. %","Surgery on day of, or day after, admission. No. N","Surgery on day of, or day after, admission. No %","Surgery on day of, or day after, admission. Total",GA. N,GA. %,Not GA. N,Not GA. %,GA Anaesthetics Total,GA + nerve block. N,GA + nerve block. %,GA without NB. N,GA without NB. %,GA NB. Total,SA all. N,SA all. %,Not SA. N,Not SA. %,SA anaesthesia. Total,SA + nerve block. N,SA + nerve block. %,SA without nerve block. N,SA without nerve block. %,SA Total,Cemented. N,Cemented. %,Not cemented. N,Not cemented. %,Arthroplasties total,THR. No. N,THR. No. %,THR. Yes. N,THR. Yes. %,THR eligible. Total,Intertrochanteric SHS. Yes. N,Intertrochanteric SHS. Yes.%,Intertrochanteric SHS. No N,Intertrochanteric SHS. No %,Intertrochanteric. Total,Subtrochanteric – all intramedullary nail. N,Subtrochanteric – all intramedullary nail.%,Subtrochanteric – not intramedullary nail. N,Subtrochanteric – not intramedullary nail. %,Subtrochanteric – total,Case s submitted,Case ascertainment denominator,Case ascertainment %,LOS analysis N,Acute LOS,Post-acute LOS,Total LOS,Return to own home within 30 days. No. N,Return to own home within 30 days. No. %,Return to own home within 30 days. Yes. N,Return to own home within 30 days. Yes. %,Return to own home within 30 days. Total cases,Reoperated within 30 days. Yes. N,Reoperated within 30 days. Yes. %,Reoperated within 30 days. No. N,Reoperated within 30 days. No. %,Reoperated within 30 days. Total cases.,Developing a pressure ulcer (CG179). Yes. N,Developing a pressure ulcer (CG179). Yes. %,Developing a pressure ulcer (CG179). No N,Developing a pressure ulcer (CG179). No %,Developing a pressure ulcer (CG179). Total cases.,Unknown pressure ulcer (CG179). Yes. N,Unknown pressure ulcer (CG179). Yes. %,Unknown pressure ulcer (CG179). No N,Unknown pressure ulcer (CG179). No %,Unknown pressure ulcer (CG179). Total cases.,Hip fracture sustained as an inpatient. Yes. N,Hip fracture sustained as an inpatient. Yes. %,Hip fracture sustained as an inpatient. No. N,Hip fracture sustained as an inpatient. No. %,Hip fracture sustained as an inpatient. All cases,No OG consultantr hrs,No OG middle grade hrs,No OG ward rounds/week,No nurse practitioners,OG weekend cover?,Who collects data?,Who enters data?,Routine nerve blocks offered?,Where nerve blocks administered?,Enhanced recovery programme?,Pain tool used?,Clinical governance meetings?,Who attends?,What is discussed?,Who does bone health assessment?,Fracture Liaison Service?,FLS run by?,Does FLS lead on falls?,Single room accomodation in catchment,Can you refer to strength and balance training?,Do you use Nottingham Score?
BNT,164,56.16%,83,28.42%,11,3.77%,6,2.05%,8,2.74%,12,4.11%,8,2.74%,0,0.00%,292,100,27.8%,260,72.2%,360,*,99.7%,*,0.3%,*,16,4.2%,365,95.8%,381,148,50.9%,143,49.1%,291,359,100.0%,0,0.0%,359,359,100.0%,0,0.0%,359,299,79.5%,77,20.5%,376,309,81.10%,72,18.90%,381,329,86.35%,52,13.65%,381,297,90.27%,32,9.73%,329,43,11.29%,338,88.71%,381,12,27.91%,31,72.09%,43,9,5.03%,170,94.97%,179,57,80.28%,14,19.72%,71,99,69.72%,43,30.28%,142,*,90.00%,*,10.00%,*,381,310,122.90%,170,14.2,10.7,24.9,106,36.18%,187,63.82%,293,9,2.40%,366,97.60%,375,*,1.39%,*,98.61%,*,*,0.56%,*,99.44%,*,8,2.10%,373,97.90%,381,28,40,5,1,No,ND,ND,Yes,AED;AN;OS,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;TO,MM;DS;LOS;DS;PSf,OG,Outpatients,GEM,Yes,TRU,FPC;CR,No
BOL,151,56.77%,90,33.83%,0,0.00%,*,1.50%,*,0.38%,20,7.52%,0,0.00%,*,0.00%,*,259,81.7%,58,18.3%,317,*,98.5%,*,1.5%,*,18,5.4%,316,94.6%,334,39,15.4%,215,84.6%,254,305,100.0%,0,0.0%,305,305,100.0%,0,0.0%,305,223,66.2%,114,33.8%,337,235,70.36%,99,29.64%,334,151,45.21%,183,54.79%,334,12,7.95%,139,92.05%,151,154,46.11%,180,53.89%,334,14,9.09%,140,90.91%,154,*,99.22%,*,0.78%,*,*,98.39%,*,1.61%,*,90,79.65%,23,20.35%,113,*,87.18%,*,12.82%,*,334,368,90.76%,311,16.1,0.2,16.2,94,35.34%,172,64.66%,266,*,1.55%,*,98.45%,*,*,0.98%,*,99.02%,*,0,0.00%,305,100.00%,305,21,6.29%,313,93.71%,334,40,0,6,1,No,ND,ND,Yes,AED;AN,No,Yes,Monthly,ORC;OGC;ANC;TO,MM;DS;CI,OG,No,Unknown,No,Unknown,FPC;CR,Unknown
BRD,82,35.50%,123,53.25%,*,0.43%,*,2.16%,*,0.43%,17,7.36%,*,0.87%,*,0.00%,*,216,72.2%,83,27.8%,299,325,100.0%,0,0.0%,325,6,1.8%,319,98.2%,325,9,3.6%,242,96.4%,251,300,100.0%,0,0.0%,300,300,100.0%,0,0.0%,300,260,80.5%,63,19.5%,323,269,82.77%,56,17.23%,325,105,32.31%,220,67.69%,325,80,76.19%,25,23.81%,105,201,61.85%,124,38.15%,325,123,61.19%,78,38.81%,201,*,99.12%,*,0.88%,*,13,36.11%,23,63.89%,36,95,91.35%,9,8.65%,104,*,92.68%,*,7.32%,*,325,343,94.75%,300,12.6,0.0,12.7,99,42.86%,132,57.14%,231,15,4.67%,306,95.33%,321,*,0.67%,*,99.33%,*,0,0.00%,300,100.00%,300,26,8.00%,299,92.00%,325,35,0,5,0,Yes,ND,ND;TA,No,AED;AN,Yes,No,Monthly,ORC;OGC;ANC;NS,MM;DS;PSf;CI;LQ,OG,No,Unknown,Unknown,Unknown,CR,occasionally
BRI,151,65.37%,35,15.15%,*,1.73%,*,2.16%,18,7.79%,18,7.79%,0,0.00%,*,0.00%,*,67,23.3%,220,76.7%,287,*,99.7%,*,0.3%,*,18,5.9%,288,94.1%,306,44,19.4%,183,80.6%,227,*,99.6%,*,0.4%,*,*,99.6%,*,0.4%,*,229,71.3%,92,28.7%,321,225,73.53%,81,26.47%,306,260,84.97%,46,15.03%,306,230,88.46%,30,11.54%,260,25,8.17%,281,91.83%,306,*,20.00%,*,80.00%,*,145,100.00%,0,0.00%,145,26,50.98%,25,49.02%,51,68,68.00%,32,32.00%,100,*,92.86%,*,7.14%,*,306,375,81.60%,262,19.1,6.4,25.5,122,51.91%,113,48.09%,235,15,5.05%,282,94.95%,297,7,2.58%,264,97.42%,271,0,0.00%,271,100.00%,271,20,6.54%,286,93.46%,306,40,0,6,1.8,No,ND;TA,ND;TA,Yes,AED;AN,Yes,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;SN,Outpatients,GEM,No,Unknown,FPC;CR,occasionally
BRO,181,59.34%,54,17.70%,*,0.33%,21,6.89%,*,1.64%,36,11.80%,7,2.30%,*,0.00%,*,8,2.3%,338,97.7%,346,374,97.7%,9,2.3%,383,70,18.3%,313,81.7%,383,113,37.9%,185,62.1%,298,335,100.0%,0,0.0%,335,*,99.7%,*,0.3%,*,148,38.4%,237,61.6%,385,270,70.50%,113,29.50%,383,156,40.73%,227,59.27%,383,120,76.92%,36,23.08%,156,186,48.56%,197,51.44%,383,8,4.30%,178,95.70%,186,70,34.48%,133,65.52%,203,74,75.51%,24,24.49%,98,106,87.60%,15,12.40%,121,*,85.71%,*,14.29%,*,383,224,170.98%,270,21.5,0.3,21.8,146,47.87%,159,52.13%,305,0,0.00%,367,100.00%,367,9,2.69%,326,97.31%,335,0,0.00%,335,100.00%,335,32,8.36%,351,91.64%,383,45,40,5,0,No,ND,ND,No,AED,No,No,Monthly,ORC;OGC;NS;PH;OC;TO,MM,OG,Outpatients,O,No,Unknown,Unknown,No
BRT,106,44.17%,99,41.25%,6,2.50%,*,1.67%,11,4.58%,14,5.83%,0,0.00%,*,0.00%,*,131,42.0%,181,58.0%,312,308,93.9%,20,6.1%,328,54,16.5%,274,83.5%,328,137,55.5%,110,44.5%,247,*,99.3%,*,0.7%,*,*,99.7%,*,0.3%,*,199,63.6%,114,36.4%,313,254,77.44%,74,22.56%,328,206,62.80%,122,37.20%,328,139,67.48%,67,32.52%,206,38,11.59%,290,88.41%,328,27,71.05%,11,28.95%,38,*,98.61%,*,1.39%,*,63,86.30%,10,13.70%,73,97,85.84%,16,14.16%,113,*,37.50%,*,62.50%,*,328,307,106.84%,303,16.8,1.3,18.1,147,61.25%,93,38.75%,240,0,0.00%,302,100.00%,302,12,3.92%,294,96.08%,306,*,0.65%,*,99.35%,*,16,4.88%,312,95.12%,328,7,Unknown,5,Unknown,No,AD,AD,Yes,AN;OS,Yes,Yes,Quarterly,ORC;OGC;NS;PH;OC;TO,MM;DS;LOS;DS;PSf;CI,OG,Outpatients,O,Yes,Unknown,FPC,occasionally
BSL,66,57.39%,6,5.22%,*,0.87%,27,23.48%,6,5.22%,9,7.83%,0,0.00%,*,0.00%,*,58,38.9%,91,61.1%,149,156,100.0%,0,0.0%,156,8,5.1%,148,94.9%,156,*,4.5%,*,95.5%,*,143,100.0%,0,0.0%,143,143,100.0%,0,0.0%,143,124,80.5%,30,19.5%,154,124,79.49%,32,20.51%,156,31,19.87%,125,80.13%,156,0,0.00%,31,100.00%,31,117,75.00%,39,25.00%,156,0,0.00%,117,100.00%,117,32,100.00%,0,0.00%,32,*,85.71%,*,14.29%,*,67,90.54%,7,9.46%,74,*,66.67%,*,33.33%,*,156,204,76.47%,145,14.7,0.8,15.4,44,38.26%,71,61.74%,115,0,0.00%,152,100.00%,152,8,5.59%,135,94.41%,143,0,0.00%,143,100.00%,143,*,1.28%,*,98.72%,*,10,18,5,1,No,ND,AD,Yes,AED;AN;SN,No,Yes,Monthly,ORC;NS;PH;OC;TO,MM;DS;CI;CN;LQ,OG;SN,Both,RH,Yes,Unknown,FPC;CR,routinely
CGH,267,75.85%,9,2.56%,0,0.00%,19,5.40%,38,10.80%,19,5.40%,0,0.00%,0,0.00%,352,161,35.7%,290,64.3%,451,*,99.6%,*,0.4%,*,15,3.2%,449,96.8%,464,163,42.0%,225,58.0%,388,433,100.0%,0,0.0%,433,425,98.2%,8,1.8%,433,372,81.2%,86,18.8%,458,397,85.56%,67,14.44%,464,199,42.89%,265,57.11%,464,166,83.42%,33,16.58%,199,177,38.15%,287,61.85%,464,17,9.60%,160,90.40%,177,197,95.17%,10,4.83%,207,80,74.07%,28,25.93%,108,132,92.96%,10,7.04%,142,15,38.46%,24,61.54%,39,464,369,125.75%,438,16.8,1.7,18.5,121,34.28%,232,65.72%,353,*,0.44%,*,99.56%,*,17,3.93%,416,96.07%,433,0,0.00%,433,100.00%,433,16,3.45%,448,96.55%,464,16,4,6,0,No,AD,AD,No,SN;O,No,No,Quarterly,ORC;NS;PH;OC;CR;TO,MM;DS;LOS;DS;PSf,OG,No,Unknown,No,SIT,NA,No
CHE,163,59.49%,71,25.91%,*,1.09%,*,1.82%,11,4.01%,12,4.38%,*,1.82%,*,1.46%,*,190,51.9%,176,48.1%,366,359,95.7%,16,4.3%,375,29,7.7%,346,92.3%,375,176,61.3%,111,38.7%,287,349,100.0%,0,0.0%,349,*,99.1%,*,0.9%,*,216,59.0%,150,41.0%,366,270,72.00%,105,28.00%,375,154,41.07%,221,58.93%,375,81,52.60%,73,47.40%,154,213,56.80%,162,43.20%,375,156,73.24%,57,26.76%,213,161,81.31%,37,18.69%,198,50,76.92%,15,23.08%,65,*,99.32%,*,0.68%,*,*,93.33%,*,6.67%,*,375,438,85.62%,344,19.8,0.3,20.2,134,48.73%,141,51.27%,275,0,0.00%,373,100.00%,373,11,3.15%,338,96.85%,349,*,0.29%,*,99.71%,*,15,4.00%,360,96.00%,375,18,3,4,0.6,No,AD,AD,Yes,AED,No,No,Not routinely,N/A,N/A,OG;SN,Both,RH,No,Unknown,CR,occasionally
CHG,63,34.24%,92,50.00%,0,0.00%,*,1.09%,13,7.07%,10,5.43%,*,2.17%,*,0.00%,*,149,72.0%,58,28.0%,207,*,99.6%,*,0.4%,*,15,6.7%,210,93.3%,225,44,27.2%,118,72.8%,162,*,99.5%,*,0.5%,*,*,99.5%,*,0.5%,*,125,54.8%,103,45.2%,228,125,55.56%,100,44.44%,225,140,62.22%,85,37.78%,225,87,62.14%,53,37.86%,140,66,29.33%,159,70.67%,225,*,1.52%,*,98.48%,*,*,98.96%,*,1.04%,*,25,62.50%,15,37.50%,40,78,90.70%,8,9.30%,86,*,50.00%,*,50.00%,*,225,295,76.27%,212,13.2,0.4,13.6,106,57.61%,78,42.39%,184,0,0.00%,220,100.00%,220,*,0.95%,*,99.05%,*,0,0.00%,211,100.00%,211,12,5.33%,213,94.67%,225,8,36,5,0.5,No,ND,ND,No,Unknown,No,No,Quarterly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;LOS;PSf;LQ,OG;SN,Both,O,Yes,TRU,CR,No
CMI,145,40.96%,177,50.00%,*,0.28%,*,1.13%,*,1.13%,23,6.50%,0,0.00%,*,0.00%,*,203,47.4%,225,52.6%,428,437,95.6%,20,4.4%,457,172,37.6%,285,62.4%,457,57,17.1%,277,82.9%,334,298,70.0%,128,30.0%,426,325,76.3%,101,23.7%,426,201,44.7%,249,55.3%,450,343,75.05%,114,24.95%,457,251,54.92%,206,45.08%,457,81,32.27%,170,67.73%,251,185,40.48%,272,59.52%,457,8,4.32%,177,95.68%,185,225,97.40%,6,2.60%,231,69,85.19%,12,14.81%,81,158,94.61%,9,5.39%,167,*,78.95%,*,21.05%,*,457,466,98.07%,425,11.7,3.4,15.1,168,47.19%,188,52.81%,356,7,1.57%,439,98.43%,446,10,2.35%,416,97.65%,426,*,0.47%,*,99.53%,*,14,3.06%,443,96.94%,457,7.5,38,1,1,No,ND,ND;TA,No,AN,No,Yes,Quarterly,ORC;OGC;NS;PH;OC;TO,MM;DS;LOS;CI,OG;SN,No,Unknown,No,SIT,FPC;CR,No
COC,137,62.27%,21,9.55%,*,0.91%,9,4.09%,22,10.00%,22,10.00%,7,3.18%,*,0.00%,*,93,31.8%,199,68.2%,292,*,99.0%,*,1.0%,*,51,16.7%,255,83.3%,306,111,48.7%,117,51.3%,228,*,98.9%,*,1.1%,*,*,99.3%,*,0.7%,*,197,60.2%,130,39.8%,327,247,80.72%,59,19.28%,306,69,22.55%,237,77.45%,306,7,10.14%,62,89.86%,69,197,64.38%,109,35.62%,306,6,3.05%,191,96.95%,197,*,98.60%,*,1.40%,*,43,70.49%,18,29.51%,61,92,84.40%,17,15.60%,109,*,85.71%,*,14.29%,*,306,356,85.96%,231,16.3,11.7,28.1,92,41.07%,132,58.93%,224,*,1.37%,*,98.63%,*,10,3.66%,263,96.34%,273,0,0.00%,273,100.00%,273,12,3.92%,294,96.08%,306,10,2.5,5,3,No,ND;CA,ND;CA,Yes,AED;AN;SN,No,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;DS;LOS;PSf;CI;CN;LQ,OG;SN,Inpatients,GEM;END;O,Yes,Unknown,FPC;CR,occasionally
COL,260,63.73%,12,2.94%,*,0.25%,39,9.56%,*,1.23%,31,7.60%,53,12.99%,*,1.72%,*,290,57.9%,211,42.1%,501,504,95.8%,22,4.2%,526,136,25.9%,390,74.1%,526,103,27.0%,278,73.0%,381,447,93.3%,32,6.7%,479,449,93.7%,30,6.3%,479,257,48.0%,278,52.0%,535,359,68.25%,167,31.75%,526,392,74.52%,134,25.48%,526,194,49.49%,198,50.51%,392,116,22.05%,410,77.95%,526,23,19.83%,93,80.17%,116,230,95.04%,12,4.96%,242,97,78.86%,26,21.14%,123,127,74.27%,44,25.73%,171,*,84.00%,*,16.00%,*,526,580,90.69%,497,14.6,1.4,16.0,167,40.93%,241,59.07%,408,*,0.58%,*,99.42%,*,20,4.18%,459,95.82%,479,*,0.21%,*,99.79%,*,16,3.04%,510,96.96%,526,8,2,2,Unknown,No,ND,ND,No,Unknown,Yes,Yes,Not routinely,ORC;OGC;NS,DS;LOS;PSf;CI,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
DAR,137,59.57%,*,2.17%,*,0.43%,29,12.61%,9,3.91%,14,6.09%,34,14.78%,*,0.43%,*,172,55.8%,136,44.2%,308,311,96.6%,11,3.4%,322,68,21.1%,254,78.9%,322,72,29.5%,172,70.5%,244,*,98.7%,*,1.3%,*,*,98.3%,*,1.7%,*,177,55.5%,142,44.5%,319,224,69.57%,98,30.43%,322,117,36.34%,205,63.66%,322,94,80.34%,23,19.66%,117,187,58.07%,135,41.93%,322,131,70.05%,56,29.95%,187,142,87.65%,20,12.35%,162,44,83.02%,9,16.98%,53,74,65.49%,39,34.51%,113,*,80.00%,*,20.00%,*,322,222,145.05%,301,11.7,10.5,22.1,125,53.42%,109,46.58%,234,*,1.61%,*,98.39%,*,8,2.64%,295,97.36%,303,*,1.32%,*,98.68%,*,14,4.35%,308,95.65%,322,10,0,5,2.5,No,ND;AD,ND;AD,No,AED;AN,No,Yes,Quarterly,ORC;OGC;ANC;NS;PH;AES;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,Outpatients,RH;O,No,HOS,FPC,occasionally
DER,213,55.47%,83,21.61%,40,10.42%,11,2.86%,20,5.21%,15,3.91%,*,0.26%,*,0.26%,*,334,63.1%,195,36.9%,529,564,98.6%,8,1.4%,572,26,4.5%,546,95.5%,572,252,56.5%,194,43.5%,446,*,99.4%,*,0.6%,*,*,99.1%,*,0.9%,*,452,81.6%,102,18.4%,554,495,86.54%,77,13.46%,572,53,9.27%,519,90.73%,572,24,45.28%,29,54.72%,53,496,86.71%,76,13.29%,572,112,22.58%,384,77.42%,496,*,99.27%,*,0.73%,*,74,77.08%,22,22.92%,96,177,96.20%,7,3.80%,184,25,55.56%,20,44.44%,45,572,575,99.48%,531,11.8,4.9,16.6,214,54.59%,178,45.41%,392,9,1.64%,541,98.36%,550,10,1.86%,529,98.14%,539,7,1.30%,532,98.70%,539,54,9.44%,518,90.56%,572,12,0,5,1,No,ND,TA,Yes,AED,No,Yes,Quarterly,ORC;OGC;ANC;NS;PH;TO,MM;DS;LOS;PSf;CI;LQ,OG,Both,RH,Yes,Unknown,FPC;CR,No
DGE,57,71.25%,*,3.75%,*,1.25%,6,7.50%,*,6.25%,*,6.25%,*,3.75%,*,0.00%,*,50,41.0%,72,59.0%,122,128,100.0%,0,0.0%,128,*,1.6%,*,98.4%,*,13,38.2%,21,61.8%,34,*,99.2%,*,0.8%,*,*,99.2%,*,0.8%,*,127,94.1%,8,5.9%,135,122,95.31%,6,4.69%,128,38,29.69%,90,70.31%,128,29,76.32%,9,23.68%,38,83,64.84%,45,35.16%,128,19,22.89%,64,77.11%,83,62,86.11%,10,13.89%,72,13,56.52%,10,43.48%,23,*,97.67%,*,2.33%,*,*,66.67%,*,33.33%,*,128,434,29.49%,118,16.1,0.8,16.9,37,41.57%,52,58.43%,89,*,2.54%,*,97.46%,*,*,3.33%,*,96.67%,*,*,2.50%,*,97.50%,*,6,4.69%,122,95.31%,128,20,0,5,1,Yes,ND,ND,No,O,Yes,No,Quarterly,ORC;NS;PH;OC;TO,MM;DS;LOS;DS;CI;CN;LQ,OG,No,GEM,Unknown,Unknown,Unknown,No
DID,223,73.11%,30,9.84%,*,0.33%,27,8.85%,*,0.66%,22,7.21%,0,0.00%,*,0.00%,*,120,30.3%,276,69.7%,396,424,98.4%,7,1.6%,431,60,13.9%,371,86.1%,431,88,28.2%,224,71.8%,312,398,100.0%,0,0.0%,398,*,99.5%,*,0.5%,*,189,43.2%,249,56.8%,438,272,63.11%,159,36.89%,431,197,45.71%,234,54.29%,431,8,4.06%,189,95.94%,197,213,49.42%,218,50.58%,431,*,1.88%,*,98.12%,*,117,87.97%,16,12.03%,133,*,92.45%,*,7.55%,*,141,93.38%,10,6.62%,151,8,28.57%,20,71.43%,28,431,438,98.40%,388,17.3,7.0,24.2,139,44.55%,173,55.45%,312,0,0.00%,412,100.00%,412,*,1.26%,*,98.74%,*,0,0.00%,398,100.00%,398,25,5.80%,406,94.20%,431,20,8,7,5,No,ND,AD,No,AED,No,Yes,Monthly,ORC;NS;PH;TO,MM;PSf;CI;CN;LQ,OG;SN,No,Unknown,Unknown,Unknown,FPC;CR,occasionally
DRY,193,72.83%,*,0.38%,0,0.00%,16,6.04%,18,6.79%,21,7.92%,16,6.04%,*,0.00%,*,148,44.2%,187,55.8%,335,347,96.4%,13,3.6%,360,105,29.2%,255,70.8%,360,101,39.8%,153,60.2%,254,321,97.0%,10,3.0%,331,324,97.9%,7,2.1%,331,151,42.2%,207,57.8%,358,236,65.74%,123,34.26%,359,215,59.72%,145,40.28%,360,136,63.26%,79,36.74%,215,134,37.22%,226,62.78%,360,49,36.57%,85,63.43%,134,176,96.17%,7,3.83%,183,54,87.10%,8,12.90%,62,108,87.80%,15,12.20%,123,21,100.00%,0,0.00%,21,360,261,137.93%,336,12.2,11.9,24.1,126,47.19%,141,52.81%,267,6,1.71%,344,98.29%,350,*,1.21%,*,98.79%,*,0,0.00%,331,100.00%,331,17,4.72%,343,95.28%,360,18,0,5,0,No,ND,ND;TA,No,AED;AN,No,Yes,Not routinely,ORC;OGC;ANC;NS;PH;AES;TO,DS;PSf,OG,Outpatients,O,Yes,Unknown,FPC;CR,occasionally
DVH,125,43.25%,127,43.94%,0,0.00%,10,3.46%,6,2.08%,18,6.23%,*,1.04%,*,0.00%,*,96,28.5%,241,71.5%,337,348,96.1%,14,3.9%,362,63,17.4%,299,82.6%,362,62,23.4%,203,76.6%,265,337,100.0%,0,0.0%,337,*,99.7%,*,0.3%,*,236,65.4%,125,34.6%,361,298,82.32%,64,17.68%,362,108,29.83%,254,70.17%,362,20,18.52%,88,81.48%,108,237,65.47%,125,34.53%,362,9,3.80%,228,96.20%,237,154,92.77%,12,7.23%,166,48,78.69%,13,21.31%,61,97,88.18%,13,11.82%,110,9,34.62%,17,65.38%,26,362,355,101.97%,338,15.6,3.5,19.1,149,51.38%,141,48.62%,290,*,0.28%,*,99.72%,*,8,2.37%,329,97.63%,337,*,0.30%,*,99.70%,*,19,5.25%,343,94.75%,362,40,40,5,1,No,ND,AD,No,AEN;AN,No,No,Monthly,ORC;OGC;ANC;NS;AES;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;SN,No,Unknown,Unknown,Unknown,NA,routinely
EAL,64,56.14%,28,24.56%,*,3.51%,*,1.75%,*,4.39%,10,8.77%,0,0.00%,*,0.88%,*,16,10.5%,137,89.5%,153,*,96.9%,*,3.1%,*,10,6.3%,149,93.7%,159,80,65.6%,42,34.4%,122,137,95.8%,6,4.2%,143,*,98.6%,*,1.4%,*,95,59.0%,66,41.0%,161,101,63.52%,58,36.48%,159,43,27.04%,116,72.96%,159,14,32.56%,29,67.44%,43,109,68.55%,50,31.45%,159,8,7.34%,101,92.66%,109,17,38.64%,27,61.36%,44,*,73.33%,*,26.67%,*,56,84.85%,10,15.15%,66,*,30.00%,*,70.00%,*,159,159,100.00%,141,26.1,1.1,27.3,68,59.13%,47,40.87%,115,*,1.31%,*,98.69%,*,*,2.80%,*,97.20%,*,0,0.00%,143,100.00%,143,*,2.52%,*,97.48%,*,8,0,2,1,No,ND,ND,Yes,AED;AN,Yes,Yes,Not routinely,N/A,DS;DS;PSf;CI;LQ,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
EBH,240,73.39%,30,9.17%,*,0.31%,*,0.92%,24,7.34%,29,8.87%,0,0.00%,*,0.00%,*,189,50.3%,187,49.7%,376,349,91.4%,33,8.6%,382,12,3.1%,370,96.9%,382,*,0.3%,*,99.7%,*,*,99.7%,*,0.3%,*,*,99.7%,*,0.3%,*,208,49.9%,209,50.1%,417,237,62.20%,144,37.80%,381,310,81.15%,72,18.85%,382,43,13.87%,267,86.13%,310,72,18.85%,310,81.15%,382,30,41.67%,42,58.33%,72,59,45.74%,70,54.26%,129,55,83.33%,11,16.67%,66,121,78.57%,33,21.43%,154,28,80.00%,7,20.00%,35,382,527,72.49%,381,22.6,0.2,22.8,126,38.53%,201,61.47%,327,0,0.00%,382,100.00%,382,*,0.86%,*,99.14%,*,0,0.00%,350,100.00%,350,0,0.00%,382,100.00%,382,32,24,7,0,No,AD,AD,No,AED;OS,No,Yes,Monthly,ORC;OGC;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
ENH,185,51.10%,115,31.77%,*,0.55%,9,2.49%,14,3.87%,35,9.67%,*,0.55%,*,0.00%,*,310,69.0%,139,31.0%,449,460,100.0%,0,0.0%,460,14,3.0%,446,97.0%,460,52,15.2%,289,84.8%,341,*,99.8%,*,0.2%,*,*,99.8%,*,0.2%,*,343,74.7%,116,25.3%,459,348,75.65%,112,24.35%,460,136,29.57%,324,70.43%,460,54,39.71%,82,60.29%,136,303,65.87%,157,34.13%,460,56,18.48%,247,81.52%,303,184,84.40%,34,15.60%,218,47,63.51%,27,36.49%,74,*,98.90%,*,1.10%,*,*,86.67%,*,13.33%,*,460,420,109.52%,437,16.3,0.2,16.5,185,51.10%,177,48.90%,362,9,1.98%,445,98.02%,454,*,1.21%,*,98.79%,*,0,0.00%,413,100.00%,413,6,1.30%,454,98.70%,460,12,40,5,1,No,ND,ND;AD,Yes,AN;SN;OS;O,No,Yes,Weekly,ORC;OGC;ANC;NS;PH;OC,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,No,Unknown,No,Unknown,FPC,occasionally
