,,,,,,,,"877,580.92",,,,,,,,,
Department family,Entity,Date of payment,Account description,Directorate,Supplier name,Transaction reference,,Amount paid, Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,,
The National Archives,The National Archives,03/01/2018,Accomodation charge: rates,Estates,LONDON BOROUGH OF RICHMOND UPON THAMES,148635,26243," 267,304.00 ", Business Rates  ,TW1 3BZ,,,,Programme,,,
The National Archives,The National Archives,10/01/2018,Facilities Management,Estates,BOUYGUES E&S FM UK LIMITED,148785,26277," 158,585.29 ", Core Fees  ,BN1 1HG,,CM888,,Programme,,,
The National Archives,The National Archives,10/01/2018,Electricity,Estates,EDF ENERGY,148769,26275," 50,399.53 ", Energy Rates  ,PL3 5XQ,,,,Programme,,,
The National Archives,The National Archives,03/01/2018,Internet Archiving,Web Archiving,MIRRORWEB LIMITED,148620,26239," 40,897.50 ", Internet Archiving ,M3 2RF,,,,Programme,,,
The National Archives,The National Archives,19/01/2018,IT hardware Additions,ICT,MILLGATE COMPUTER SYSTEMS LTD,149186,26379," 38,459.40 ",IT Laptops,S9 1RG,,RM3733 ,,Administration,,,
The National Archives,The National Archives,10/01/2018,Records Storage Space Rental,Document Services Department,DEEPSTORE,148733,26262," 32,357.03 ", Document Storage  ,CW7 2PA,,CM499 ,,Programme,,,
The National Archives,The National Archives,16/01/2018,Govt Procurement Card (GPC) purchases,Finance,ROYAL BANK OF SCOTLAND PLC,148986,26332," 24,492.68 ", Government Procurement Card ,SS99 6YY,,,,Administration,,,
The National Archives,The National Archives,10/01/2018,PSI Website Hosting,Legislation Services,THE STATIONERY OFFICE LTD,148827,26249," 21,229.30 ", Cloud Web Services  ,NR3 1QZ,,CM478,,Programme,,,
The National Archives,The National Archives,16/01/2018,IT Maintenance & Support - Software,ICT,VODAFONE LIMITED,148936,26311," 20,806.68 ", IT Maintenance and Support ,RG142FN,,CM796,,Administration,,,
The National Archives,The National Archives,10/01/2018,PSI Website Hosting,Legislation Services,THE STATIONERY OFFICE LTD,148827,26249," 18,951.17 ", Cloud Web Services  ,NR3 1QZ,,CM478,,Programme,,,
The National Archives,The National Archives,10/01/2018,Contracted Services,IB-11 - Legislation Drafting Tool,THE STATIONERY OFFICE LTD,148694,26254," 17,966.00 ", Drafting Tool ,NR3 1QZ,,CM478,,Programme,,,
The National Archives,The National Archives,10/01/2018,Repairs and Maintenance - Planned,Estates,BOUYGUES E&S FM UK LIMITED,148787,26278," 16,738.86 ", Water system maintenance  ,BN1 1HG,,CM888,,Programme,,,
The National Archives,The National Archives,10/01/2018,PAS - On-line development,Legislation Services,THE STATIONERY OFFICE LTD,148825,26237," 16,000.00 ", Migration Development  ,NR3 1QZ,,CM478,,Programme,,,
The National Archives,The National Archives,10/01/2018,PAS - On-line development,Legislation Services,THE STATIONERY OFFICE LTD,148825,26237," 16,000.00 ", Migration Development  ,NR3 1QZ,,CM478,,Programme,,,
The National Archives,The National Archives,10/01/2018,PAS - On-line development,Legislation Services,THE STATIONERY OFFICE LTD,148840,26251," 15,997.50 ", Migration Development  ,NR3 1QZ,,CM478,,Programme,,,
The National Archives,The National Archives,10/01/2018,PAS - On-line development,Legislation Services,THE STATIONERY OFFICE LTD,148840,26251," 15,943.50 ", Migration Development  ,NR3 1QZ,,CM478,,Programme,,,
The National Archives,The National Archives,10/01/2018,Contracted Services,BREXIT,THE STATIONERY OFFICE LTD,148699,26256," 15,600.00 ", Data conversion  ,NR3 1QZ,,CM478,,Programme,,,
The National Archives,The National Archives,10/01/2018,PAS - On-line development,Legislation Services,THE STATIONERY OFFICE LTD,148840,26251," 15,237.00 ", Migration Development  ,NR3 1QZ,,CM478,,Programme,,,
The National Archives,The National Archives,10/01/2018,Facilities Management,Estates,BOUYGUES E&S FM UK LIMITED,148821,26293," 14,738.16 ", Security staff ,BN1 1HG,,CM888,,Programme,,,
The National Archives,The National Archives,03/01/2018,Stock - Kew shop  (Bookshop),Bookshop,BATCH LTD,148493,26220," 12,296.83 ",Bookshop supplier,WC2A 2JR,,,,Programme,,,
The National Archives,The National Archives,10/01/2018,Repairs and Maintenance - Planned,Estates,BOUYGUES E&S FM UK LIMITED,148799,26284," 12,097.18 ",Telelift removal ,BN1 1HG,,CM888,,Programme,,,
The National Archives,The National Archives,10/01/2018,PAS - On-line development,Legislation Services,THE STATIONERY OFFICE LTD,148825,26237," 11,992.50 ", Migration Development  ,NR3 1QZ,,CM478,,Programme,,,
The National Archives,The National Archives,10/01/2018,Facilities Management,Estates,BOUYGUES E&S FM UK LIMITED,148819,26292," 11,980.91 ", Security staff ,BN1 1HG,,CM888,,Programme,,,
The National Archives,The National Archives,26/01/2018,IT Maintenance & Support - Software,ICT,SAPPHIRE SYSTEMS PLC,149243,26390," 11,509.90 ", IT Maintenance and Support  ,EC3R 6AF,,CM336,,Administration,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
