Minister,Date,Name of organisation,Type of hospitality received
"Rt Hon William Hague, Secretary of State for Foreign and Commonwealth Affairs",Nil,,
"Alistair Burt, Parliamentary Under Secretary of State",Nil,,
The Rt Hon Lord Howell of Guildford,18/01/2012,The Briefing Circle,Lunch
The Rt Hon Lord Howell of Guildford,27/01/2012,Ernst & Young and Scottish Council for Development and Industry,Strategic lunch (provided by Ernst & Young) to discuss 2014 Commomwealth Games
The Rt Hon Lord Howell of Guildford,20/02/2012,Rhodes House,"Commonwealth related speech to address current intake of Rhodes Scholars, Dinner also provided"
The Rt Hon Lord Howell of Guildford,21/02/2012,Royal Dutch Shell,Reception
The Rt Hon Lord Howell of Guildford,28/02/2012,Royal Commonwealth Society,Reception
The Rt Hon Lord Howell of Guildford,01/03/2012,International Tax and Investment Centre,Dinner
The Rt Hon Lord Howell of Guildford,02/03/2012,The Telegraph,Lunch
The Rt Hon Lord Howell of Guildford,29/03/2012,Central Japan Railway Company,Lunch
"Parliamentary Under-Secretary of State, Henry Bellingham MP",Nil,,
"Minister of State, David Lidington MP",15/03/2012,The Independent,Lunch
"Minister of State, David Lidington MP",20/03/2012,"Daily Mail, The Sun",Lunch
"Minister of State, David Lidington MP",27/03/2012,The Observer,Lunch
"Minister of State, Jeremy Browne MP ",05/01/2012,The Sun,Lunch
"Minister of State, Jeremy Browne MP ",01/02/2012,BBC,Lunch
"Minister of State, Jeremy Browne MP ",06/02/2012,The Economist,Lunch
"Minister of State, Jeremy Browne MP ",08/02/2012,RBS,Dinner
"Minister of State, Jeremy Browne MP ",06/02/2012,The Spectator,Dinner
"Minister of State, Jeremy Browne MP ",22/02/2012,Advanced Manuafacturing Research Centre,Lunch
"Minister of State, Jeremy Browne MP ",27/03/2012,Independent on Sunday,Lunch
"Minister of State, Jeremy Browne MP ",29/03/2012,The Daily Mail and The Sun,Lunch
,,,
"Does not normally include attendance at functions hosted by HM Government; 'diplomatic' functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined.  *Indicates if accompanied by spouse/partner or other family member or friend.'",,,
