Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,155,149.62,356,345.31,530,519.75,787,772.27,252,245.35,154,151.48,"2,234","2,184",4,4,172,172,20,19.6,1,1,197,196.6,"2,431","2,380","£7,827,195.73","£389,938.76","£45,150.00","£40,627.69","£1,776,304.73","£768,019.22","£10,847,236.13","£4,142,521.00","£718,160.00","£4,860,681.00","£15,707,917.13",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,3,2.56,5,5,3,2.8,5,5,1,1,0,0,17,16,0,0,0,0,0,0,0,0,0,0,17,16,"£46,368.27",£983.40,£0.00,£0.00,"£9,747.20","£4,023.25","£61,122.12",£0.00,£0.00,£0.00,"£61,122.12",
Crown Commercial Services,Executive Agency,Cabinet Office,48,46.03,126,121.94,343,333.96,188,185.54,58,57.73,0,0,763,745,8,8,48,48,0,0,0,0,56,56,819,801,"£2,736,964.21","£5,555.42",£0.00,"£1,498.63","£556,657.08","£249,205.59","£3,549,880.93","£312,950.05","£61,101.70","£374,051.75","£3,923,932.68",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,102,97,463,427,236,222,69,67,14,14,0,0,884,827,17,17,0,0,4,0.5,0,0,21,17.5,905,845,"£1,921,660.75","£33,267.78",£0.00,"£2,943.50","£387,855.84","£142,852.01","£2,488,579.88","£55,443.41",£0.00,"£55,443.41","£2,544,023.29",
