Pakistan floods response: Types of UKaid funding by sector - 12 Apr 2011 (source: DFID),
Sector,Amount in millions £GBP
Multi sector relief,8.1
"WASH (Water, sanitation and hygiene)",21.7
Co-ordination,0.75
Nutrition,4
Education,9.8
Food,4
Shelter,23.1
Health,7.1
Logistics,3.8
Protection,2.3
Agriculture,7
Livelihoods,29.6
Goods and services in kind,6.5
Running costs,3.25
Unallocated,3.1
TOTAL,134.1
