Wales Office spend over £500,,Jun-10,,,,,

ENTITY,EXPENSE_AREA,PAYMENT_DATE,PAYMENT_NUMBER,SUPPLIER_NAME,INVOICE_AMOUNT,NAC_DESCRIPTION,Service provided
Wales Office,Wales Office,1/6/2010,1000657,GOVERNMENT CAR & DESPATCH AGENCY,5726.72,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,1/6/2010,1000657,GOVERNMENT CAR & DESPATCH AGENCY,917.14,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,3/6/2010,1000666,EDUSERV TECHNOLOGIES LTD,679.15,IT Services incl Web Hosting,Web hosting for Wales Office websites
Wales Office,Wales Office,3/6/2010,1000664,BUYING SOLUTIONS,2272.66,Utility - Gas,Centralised government heating charges for London office
Wales Office,Wales Office,8/6/2010,1000679,NATWEST ,811.64,T&S (Claim Forms Only),Wales Office corporate credit card charges 
Wales Office,Wales Office,8/6/2010,1000670,ARTS COUNCIL OF WALES,5111.25,Stationery & Office Supplies,Provision and installation of artwork 
Wales Office,Wales Office,8/6/2010,1000674,CIVIC MAINTENANCE SERVICES LTD,852.44,Cleaning (excl Waste Collctn),Cleaning services for Cardiff office
Wales Office,Wales Office,8/6/2010,1000672,CARLISLE SECURITY SERVICES LTD,10359.27,Security,24 hour Security for London office
Wales Office,Wales Office,8/6/2010,1000671,BRITISH GAS BUSINESS,863.57,Utility - Electricity,Electricity supplied to London office
Wales Office,Wales Office,10/6/2010,1000683,GOVERNMENT CAR & DESPATCH AGENCY,6607.75,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,10/6/2010,1000685,KNIGHT FRANK LLP,45057.87,Managing Agents Fees,Rent and service charges for Cardiff office
Wales Office,Wales Office,10/6/2010,1000692,STRATAMATRIX LTD,620.13,Design/Print/Reprographic Services,Media monitoring
Wales Office,Wales Office,6/15/2010,1000699,JONES YARRELL & CO LTD,828.3,Publications- incl. Online,Newspapers for London office
Wales Office,Wales Office,6/17/2010,1000704,LANCASTER OFFICE CLEANING CO LTD,2450.5,Cleaning (excl Waste Collctn),Cleaning services for London office
Wales Office,Wales Office,6/18/2010,1000709,NATIONAL SCHOOL OF GOVERNMENT,2240,Training Course,Staff training courses
Wales Office,Wales Office,6/18/2010,1000710,PRIMARY PRINT GROUP,512.3,Stationery & Office Supplies,Printing of Wales Office stationery
Wales Office,Wales Office,6/18/2010,1000711,STRATAMATRIX LTD,998.75,Design/Print/Reprographic Services,Media monitoring
Wales Office,Wales Office,6/18/2010,1000711,STRATAMATRIX LTD,998.75,Design/Print/Reprographic Services,Media monitoring
Wales Office,Wales Office,6/22/2010,1000717,CALDER CONFERENCES LTD,512.12,Staff Subsistence Hotel,MOJ contract for hotel bookings
Wales Office,Wales Office,6/22/2010,1000718,GOVERNMENT CAR & DESPATCH AGENCY,624.82,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,6/22/2010,1000718,GOVERNMENT CAR & DESPATCH AGENCY,13656.02,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,6/22/2010,1000718,GOVERNMENT CAR & DESPATCH AGENCY,858.04,Official Cars - Hire Charges,Ministerial car hire charges
Wales Office,Wales Office,6/22/2010,1000716,BROOK STREET (UK) LTD,502.31,Agency Staff - admin,Agency staff costs
Wales Office,Wales Office,6/29/2010,1000732,CALDER CONFERENCES LTD,513.37,Staff Subsistence Hotel,MOJ contract for hotel bookings
Wales Office,Wales Office,6/30/2010,1000737,CIVIC MAINTENANCE SERVICES LTD,852.44,Cleaning (excl Waste Collctn),Cleaning services for Cardiff office
