Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4022737,"3,390.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Grant in Aid - Current -Other,Energy Markets & Infrastructure - Security and resilience,CIVIL NUCLEAR CONSTABULARY,4022739,"66,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4022740,"6,536.68"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4022741,"26,442.35"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,GFK NOP LTD,4022743,"10,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,GHK CONSULTING LTD,4022744,"8,962.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,GHK CONSULTING LTD,4022744,"8,962.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4022745,734.58
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4022746,815.16
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4022750,"2,712.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4022752,"3,390.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4022753,"1,732.80"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4022753,"1,657.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Science & Innovation Group - Science & Innovation Group,ADECCO UK LTD,4022754,575.53
