Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4022575,"10,891.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4022576,"1,540.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,IT Maintenance and Management Services,National Climate Change & Consumer Support - Communications,E H S BRANN LTD,4022577,"1,340.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4022580,"1,192.13"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,International Subscriptions,Energy Markets & Infrastructure - Security and resilience,INTERNATIONAL ATOMIC ENERGY AGENCY,4022584,"978,397.08"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022585,"426,988.63"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,National Research Development Corporation - Grant in Aid Current,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",UNIVERSITY OF NEWCASTLE UPON TYNE,4022588,"44,948.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4022589,"8,776,250.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,Capital Grants - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4022589,"915,750.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,BRM SOLICITORS,4022590,"16,000.00"
