7 Sustainable Woodland Management,,,,,,
,,,,,,
Percentage sustainably managed,,,,,,
,,,,,,
Year,UK,,England,Scotland,Wales,Norther Ireland
2001,37.2,,25.5,43.4,42.4,75.3
2002,37.4,,25.9,43.7,41.9,74.4
2003,,,,,,
2004,39.8,,25.8,48.7,42.1,74.5
2005,43.1,,29.7,52.1,43.6,75.2
2006,43.4,,30.4,52.3,43.2,74.1
2007,45.0,,31.2,55.0,43.5,73.9
2008,44.6,,30.2,55.1,42.5,73.8
2009,45.1,,30.8,55.6,43.7,74.2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
