TREASURY SOLICITOR’S DEPARTMENT,,
,,
RELEASE OF INFORMATION ABOUT PERMANENT SECRETARIES’ MEETINGS WITH EXTERNAL ORGANISATIONS,,
,,
,,
,,
Permanent Secretary – PAUL JENKINS,,
,,
Month of Meeting ,Name of External Organisation,Purpose of Meeting 
Jan-11,NIL,
Feb-11,NIL,
Mar-11,NIL,
,,
"Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non-departmental public bodies, Government reviewers, and representatives of Parliament, devolved or foreign governments",,
