?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER CODE
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,05/07/2011,193673,160227.35,APOLLO PROPERTY SERVICES GROUP LTD,101260
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,29/07/2011,194200,122958.67,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/07/2011,192806,68250,BULLOCK CONSTRUCTION LTD,100066
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PROFESSIONAL SERVICES,22/07/2011,193773,68222.49,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/07/2011,193669,53358.07,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/07/2011,193671,49509.46,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,29/07/2011,194199,48238.95,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,29/07/2011,194198,48002.93,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/07/2011,193150,47223.18,ROBERT WOODHEAD LTD,100461
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,29/07/2011,194197,46681.41,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/07/2011,193672,42615.17,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/07/2011,193030,35396.81,MILWARD CONSTRUCTION (BELPER) LTD,101194
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/07/2011,192796,28607.37,LOVELL PARTNERSHIP LTD,101192
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,22/07/2011,193791,22908.8,EMO OIL LTD,100728
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,15/07/2011,193227,22380,EMO OIL LTD,100728
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PREMISES REPAIRS & RENEWALS,08/07/2011,192965,21526.07,ROBERT WOODHEAD LTD,100461
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,ELDERLY RESIDENTS ADAPTATIONS,22/07/2011,193937,20000,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/07/2011,193152,17986.88,ROBERT PRETTIE & CO LTD,100972
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,ELDERLY RESIDENTS ADAPTATIONS,22/07/2011,193936,17711,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,EQUIPMENT REPAIRS & RENEWALS,15/07/2011,193140,16925,ZAPP CANOPY UMBRELLAS LTD,100618
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/07/2011,192767,16169.81,BULLOCK CONSTRUCTION LTD,100066
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,AGENCY REPAYMENTS,29/07/2011,193939,15712,REDACTED PERSONAL DATA,101254
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PROFESSIONAL SERVICES,01/07/2011,192721,15000,FRAMEWORK HOUSING ASSOCIATION,100172
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/07/2011,193670,14744.65,APOLLO PROPERTY SERVICES GROUP LTD,100890
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/07/2011,193021,13382.1,ROBERT WOODHEAD LTD,100461
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,COMPUTER SOFTWARE MAINTENANCE,15/07/2011,193285,13000,CIVICA LTD,100092
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REFUSE BIN PURCHASES,15/07/2011,193315,12474,PLASTIC OMNIUM URBAN SYSTEMS,101100
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,ELDERLY RESIDENTS ADAPTATIONS,01/07/2011,192769,11833.99,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CCTV OPERATION,08/07/2011,192935,11234,REMPLOY LIMITED,100451
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,AUDIT FEE,22/07/2011,193740,10925,AUDIT COMMISSION,100025
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,RENT,08/07/2011,193023,10334.53,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,STALL CLEARANCE,15/07/2011,193145,10196.02,REDACTED PERSONAL DATA,100012
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,PROFESSIONAL SERVICES,22/07/2011,193774,10000,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PREMISES REPAIRS & RENEWALS,15/07/2011,193438,9630,J WILKINS LIMITED,100236
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,RENT,05/08/2011,194701,9364.1,WENDGREEN LIMITED,100599
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,COMPUTER SOFTWARE MAINTENANCE,29/07/2011,194189,8955.14,OPEN TEXT UK LTD,100408
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/07/2011,193014,8841.22,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,AGENCY PAYMENTS,29/07/2011,194227,8830.98,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PREMISES REPAIRS & RENEWALS,22/07/2011,193793,8815.53,HERBERT BAGGALEY CONSTRUCTION LTD,100735
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/07/2011,192654,8792,ROBERT PRETTIE & CO LTD,100972
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,COMPUTER SOFTWARE,01/07/2011,192636,8500,ESRI (UK) LTD,100853
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/07/2011,192656,8196.45,AVONSIDE ROOFING LTD,100993
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,COMPUTER SOFTWARE MAINTENANCE,29/07/2011,194189,8127,OPEN TEXT UK LTD,100408
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,15/07/2011,193389,8060.36,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,08/07/2011,193028,7995.43,J JOHNSON & SON,100233
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,PAYMENTS,15/07/2011,193213,7897.98,TMP (UK) LTD,101175
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/07/2011,193151,7791.92,ROBERT PRETTIE & CO LTD,100972
