Supplier,Payment Date,Amount
3663,30/09/2011,743.12 
4CHILDREN,15/09/2011,576.00 
4CHILDREN,23/09/2011,16967.00 
A & B GLASS,12/09/2011,16672.50 
A G CARE LIMITED,07/09/2011,1003.32 
A G CARE LIMITED,07/09/2011,530.01 
A G CARE LIMITED,29/09/2011,769.25 
A G CARE LIMITED,30/09/2011,554.00 
A G CARE LIMITED,30/09/2011,766.60 
A G CARE LIMITED,30/09/2011,2034.40 
A G CARE LIMITED,30/09/2011,501.00 
A G CARE LIMITED,30/09/2011,2027.14 
A G CARE LIMITED,30/09/2011,825.33 
A G CARE LIMITED,30/09/2011,710.75 
A G CARE LIMITED,30/09/2011,888.00 
A G CARE LIMITED,30/09/2011,2390.61 
A G CARE LIMITED,30/09/2011,1743.25 
A G CARE LIMITED,30/09/2011,840.10 
A G CARE LIMITED,30/09/2011,1671.07 
A G CARE LIMITED,30/09/2011,899.50 
A G CARE LIMITED,30/09/2011,641.60 
A G CARE LIMITED,30/09/2011,706.07 
A G CARE LIMITED,30/09/2011,836.06 
A G CARE LIMITED,30/09/2011,718.84 
A G CARE LIMITED,30/09/2011,893.84 
AA MEDIA LTD,22/09/2011,552.00 
ABANDALE LODGE LTD,19/09/2011,2185.71 
ABANDALE LODGE LTD,19/09/2011,1214.29 
ABANDALE LODGE LTD,19/09/2011,6800.00 
ABANDALE LODGE LTD,19/09/2011,6800.00 
ABANDALE LODGE LTD,19/09/2011,3400.00 
ACUMENSION,09/09/2011,1336.32 
ADECCO UK LTD,08/09/2011,917.78 
ADECCO UK LTD,08/09/2011,917.78 
ADECCO UK LTD,08/09/2011,917.78 
ADECCO UK LTD,23/09/2011,917.78 
ADT FIRE AND SECURITY PLC,05/09/2011,21648.26 
ADT FIRE AND SECURITY PLC,22/09/2011,5861.53 
ADT FIRE AND SECURITY PLC,22/09/2011,7920.00 
AF STARR BUILDING CONTRACTORS,05/09/2011,3996.00 
AF STARR BUILDING CONTRACTORS,05/09/2011,2275.20 
AF STARR BUILDING CONTRACTORS,05/09/2011,6247.20 
AF STARR BUILDING CONTRACTORS,23/09/2011,5121.60 
AGE CONCERN GREENWICH,16/09/2011,1012.06 
AGE CONCERN GREENWICH,16/09/2011,1106.94 
AGE CONCERN GREENWICH,16/09/2011,1012.06 
AGE CONCERN GREENWICH,16/09/2011,899.74 
ALAN IVES ESTATES,30/09/2011,2460.00 
ALBION KIDS SHOW,06/09/2011,9804.00 
ALBION KIDS SHOW,06/09/2011,9804.00 
ALLPAY NET LIMITED,16/09/2011,9321.64 
ALLPAY NET LIMITED,16/09/2011,11630.46 
ALSFORD TIMBER LTD,02/09/2011,597.17 
ALTERS RECRUITMENT,16/09/2011,1661.70 
ALTERS RECRUITMENT,16/09/2011,869.18 
AMBER CAR SERVICES LTD,30/09/2011,2053.32 
AMBER LANGIS LIMITED,28/09/2011,540.00 
