Minister,Date received,From,Gift,Value (£), Outcome
Prime Minister,Jan-12,King of Saudi Arabia,Vase and Jewellery,Over Limit,Held by Department
Prime Minister,Feb-12,President of Afghanistan,Rug,Over Limit,Held by Department
Prime Minister,Feb-12,US Secretary of State,Silver Salver,Over Limit,Held by Department
Prime Minister,Feb-12,Israeli Prime Minister,Mosaic ,Over Limit,Held by Department
Prime Minister,Mar-12,President of the United States of America,Barbeque,Over Limit,Official Entertainment/Held by Department
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
