Body,Body Name,Posting Date,Transaction number,Amount,Supplier name,Supplier ID,Service Area,Expense Type,Expense Code,Type
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,15/02/2013,30006706,"1,859.11 ",Eastern Shires Purchasing Organisation,13836,Wirksworth Leisure Centre,Gas,2202,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,30006727,"-1,185.50 ",Eastern Shires Purchasing Organisation,13836,Parks & Recreation,Gas,2202,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006612,"2,475.63 ",Eastern Shires Purchasing Organisation,13836,Matlock Town Hall,Gas,2202,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,15/02/2013,30006703,"3,054.99 ",Eastern Shires Purchasing Organisation,13836,Matlock Town Hall,Gas,2202,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/02/2013,20086767,790.50 ,SIS Chemicals Ltd,14007,Arc Leisure Matlock,Chemicals,4044,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,11/02/2013,20086620,"1,273.00 ",Dawson Rentals Sweepers,14189,Vehicles & Plant,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,04/02/2013,20086522,958.33 ,CPA Horticulture Ltd,14279,Parks & Recreation,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006676,"-3,116.92 ",Southern Electric,14322,Ashbourne Leisure Centre,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006677,"2,889.43 ",Southern Electric,14322,Ashbourne Leisure Centre,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006693,"3,122.76 ",Southern Electric,14322,Ashbourne Leisure Centre,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006692,"1,460.02 ",Southern Electric,14322,Bakewell Swimming Pool,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006662,"5,680.24 ",Southern Electric,14322,Arc Leisure Matlock,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,30006782,"6,188.28 ",Southern Electric,14322,Arc Leisure Matlock,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006652,"2,983.75 ",Southern Electric,14322,Wirksworth Leisure Centre,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,30006780,"2,560.35 ",Southern Electric,14322,Wirksworth Leisure Centre,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006642,"1,145.84 ",Southern Electric,14322,Matlock Market,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006691,"3,633.29 ",Southern Electric,14322,Agricultural Business Centre Bakewell,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006644,718.94 ,Southern Electric,14322,Bus Stations,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006638,572.27 ,Southern Electric,14322,Parks & Recreation,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006643,505.52 ,Southern Electric,14322,Parks & Recreation,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006658,"-1,406.46 ",Southern Electric,14322,Parks & Recreation,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006661,869.15 ,Southern Electric,14322,Public Conveniences - Maintenance,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,30006770,760.16 ,Southern Electric,14322,Public Conveniences - Maintenance,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,30006774,729.44 ,Southern Electric,14322,Public Conveniences - Maintenance,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,30006787,658.28 ,Southern Electric,14322,Public Conveniences - Maintenance,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,30006790,"2,437.31 ",Southern Electric,14322,Public Conveniences - Maintenance,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006650,506.34 ,Southern Electric,14322,Housing Strategy,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006666,539.18 ,Southern Electric,14322,Depot Holding Account,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,30006788,539.18 ,Southern Electric,14322,Depot Holding Account,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,30006789,576.62 ,Southern Electric,14322,Depot Holding Account,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006645,"-2,644.24 ",Southern Electric,14322,Matlock Town Hall,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006646,"1,253.47 ",Southern Electric,14322,Matlock Town Hall,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006647,"1,253.58 ",Southern Electric,14322,Matlock Town Hall,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/02/2013,30006773,"4,881.84 ",Southern Electric,14322,Matlock Town Hall,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006640,533.64 ,Southern Electric,14322,Citizens Advice Bureaux,Electricity,2201,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/02/2013,20086533,"3,762.00 ",Robert L Nadin,14463,Improvement Grants,Decent Homes Grant,C020,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,12/02/2013,20086630,748.00 ,Robert L Nadin,14463,Improvement Grants,Decent Homes Grant,C020,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,06/02/2013,20086560,"1,291.67 ",Heatherdene Boarding Ltd,14532,Dog Warden Service,Dog Warden Contract,4465,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,30006689,"1,982.50 ",The Co-operative Group Ltd,14623,Car Parking,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/02/2013,20086648,627.32 ,Lyreco UK Ltd,14661,Reprographics & Mail,Paper and card,4301,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,11/02/2013,20086625,"2,652.95 ",Peter Thomas,14694,Vehicles & Plant,"Vehicle Parts, Servicing & Repairs",3110,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,04/02/2013,20086531,863.50 ,The Millward Partnership Ltd,14711,Building Regs - Charge Earning,Consultancy Services,4403,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,27/02/2013,20086863,"1,921.00 ",Thomas Greatorex & Sons Limited,14750,Statutory Funeral Expenses,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/02/2013,20086782,860.20 ,Abbey Business Solutions Ltd,14753,Council Tax Collection,Software Maintenance & Support,4512,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/02/2013,20086782,860.20 ,Abbey Business Solutions Ltd,14753,Housing & Council Tax Benefits,Software Maintenance & Support,4512,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/02/2013,20086544,"1,768.00 ",Paul McLean Graphic Design,14771,Tourism - Publications,Publications - Mini Guides,4314,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/02/2013,20086786,511.61 ,Daisy Communications Ltd,14938,Customer Services,Telephone Calls,4541,Revenue
