Year,Cattle and Calves England,Cattle and Calves Wales,Cattle and Calves England & Wales,Cattle and Calves Scotland,Cattle and Calves Great Britain,Cattle and Calves Northern Ireland ,Cattle and Calves United Kingdom,Sheep and lambs England,Sheep and lambs Wales,Sheep and lambs England & Wales,Sheep and lambs Scotland,Sheep and lambs Great Britain,Sheep and lambs Northern Ireland ,United Kingdom,Pigs England,Pigs Wales,Pigs England & Wales,Pigs Scotland,Pigs Great Britain,Pigs Northern Ireland ,Pigs United Kingdom
1866,,,3848,937,4785,,,,,16800,5300,22100,,,,,2300,200,2500,,
1867,,,4014,979,4993,,,,,22000,6900,28900,,,,,2800,200,3000,,
1868,,,4373,1051,5424,,,,,23600,7100,30700,,,,,2200,100,2300,,
1869,,,4296,1018,5314,,,,,22500,7000,29500,,,,,1800,100,1900,,
1870,,,4362,1041,5403,,,,,21600,6800,28400,,,,,2000,200,2200,,
1871,,,4268,1070,5338,,,,,20200,6900,27100,,,,,2300,200,2500,,
1872,,,4504,1121,5625,,,,,20800,7100,27900,,,,,2600,200,2800,,
1873,,,4816,1148,5964,,,,,22100,7300,29400,,,,,2400,100,2500,,
1874,,,4971,1155,6126,,,,,22900,7400,30300,,,,,2300,200,2500,,
1875,,,4870,1143,6013,,,,,22100,7100,29200,,,,,2100,200,2300,,
1876,,,4713,1131,5844,,,,,21200,7000,28200,,,,,2100,200,2300,,
1877,,,4596,1102,5698,,,,,21200,7000,28200,,,,,2300,200,2500,,
1878,,,4643,1095,5738,,,,,21400,7000,28400,,,,,2300,100,2400,,
1879,,,4773,1084,5857,,,,,21300,6800,28100,,,,,2000,100,2100,,
1880,,,4813,1099,5912,,,,,19500,7100,26600,,,,,1900,100,2000,,
1881,,,4815,1096,5911,,,,,17900,6700,24600,,,,,1900,100,2000,,
1882,,,4726,1081,5807,,,,,17500,6900,24400,,,,,2400,200,2600,,
1883,,,4868,1094,5962,,,,,18200,6900,25100,,,,,2500,200,2700,,
1884,,,5133,1137,6270,,,,,19100,7000,26100,,,,,2400,200,2600,,
1885,,,5422,1176,6598,,,,,19600,7000,26600,,,,,2300,200,2500,,
1886,,,5489,1157,6646,,,,,18900,6600,25500,,,,,2100,100,2200,,
1887,,,5321,1120,6441,,,,,19200,6800,26000,,,,,2200,100,2300,,
1888,,,5019,1110,6129,,,,,18500,6700,25200,,,,,2300,200,2500,,
1889,,,5019,1121,6140,,,,,18700,7000,25700,,,,,2400,200,2600,,
1890,,,5323,1186,6509,,,,,19900,7400,27300,,,,,2600,200,2800,,
1891,,,5630,1223,6853,,,,,21100,7600,28700,,,,,2700,200,2900,,
1892,,,5723,1222,6945,,,,,21200,7500,28700,,,,,2000,100,2100,,
1893,,,5483,1218,6701,,,,,19900,7400,27300,,,,,2000,100,2100,,
1894,,,5146,1202,6348,,,,,18600,7300,25900,,,,,2200,200,2400,,
1895,,,5176,1178,6354,,,,,18600,7200,25800,,,,,2700,200,2900,,
1896,,,5287,1207,6494,,,,,19200,7500,26700,,,,,2700,100,2800,,
1897,,,5277,1224,6501,,,,,18900,7400,26300,,,,,2200,100,2300,,
1898,,,5376,1246,6622,,,,,19200,7600,26800,,,,,2300,100,2400,,
1899,,,5579,1217,6796,,,,,19700,7600,27300,,,,,2500,100,2600,,
1900,,,5607,1198,6805,,,,,19300,7300,26600,,,,,2300,100,2400,,
1901,,,5535,1229,6764,,,,,19000,7400,26400,,,,,2100,100,2200,,
1902,,,5334,1222,6556,,,,,18500,7300,25800,,,,,2200,100,2300,,
1903,,,5457,1247,6704,,,,,18400,7200,25600,,,,,2600,100,2700,,
