Transaction Date,Merchant Name, Total 
03.08.17,CORNFLOWER LTD," 2,256.00 "
25.08.17,BOOKMARK REMAINDERS LT," 1,382.71 "
31.08.17,FLAME TREE," 1,017.60 "
25.08.17,WWW.PLOT-IT.CO.UK, 886.26 
10.08.17,PAYPAL *DATAFORPOLI, 800.00 
03.08.17,I F CARDBOARD CREA, 761.70 
03.08.17,Amazon web services, 683.29 
07.08.17,WWW.THEKNOWLEDGEACADEM, 658.80 
03.08.17,2020, 656.80 
03.08.17,ROYAL MAIL, 642.60 
23.08.17,DLM KONFERENCIA, 627.62 
30.08.17,PAYPAL *BARCODEDATA, 618.95 
08.08.17,WWW.ARCHIVES.ORG.UK, 549.00 
29.08.17,BAKER ROSS LTD, 520.67 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
