,,,,,
Full Property Address,Property Reference Number,Current Rateable Value,Current Relief Type Description,Primary Liable party name,Account Start date
,,,,,
,,,,,
"100, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",105112501000N,4300,Mandatorary Relief,Thrift Charitable Trust,14/09/2005
"100, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",105112501000N,4300,Retail Relief,Thrift Charitable Trust,14/09/2005
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"102, Duke Street, Barrow In Furness, Cumbria, LA14 1RD",104519501020N,13250,Small Business Relief England,R F Miller & Co,01/04/1990
,,,,,
,,,,,
,,,,,
,,,,,
"104-106, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1DA",104408901040N,4350,Small Business Relief England,Lbh Ghuman Ltd,03/09/2004
,,,,,
,,,,,
,,,,,
"107-109, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117301071N,42000,Retail Relief,Bon Marche Ltd,19/10/2012
,,,,,
,,,,,
"108-110, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",105119501080N,10750,Retail Relief,"J N Murray Ltd,",01/04/1990
,,,,,
,,,,,
,,,,,
,,,,,
"108a,, Mill Lane, Barrow In Furness, Cumbria, LA14 3NS",101342901081N,3600,Mandatorary Relief,Action For Children,01/02/2011
"109, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",105457301091N,1050,Small Business Relief England," Barrow Taxi Drivers Assoc,",01/04/1990
"10, Allison Street, Barrow In Furness, Cumbria, LA14 1DT",105301300103N,5400,Small Business Relief England,Rocket Asset Management Ltd,02/07/2009
,,,,,
,,,,,
"10, Lawson Street, Barrow In Furness, Cumbria, LA14 2LW",104531209511N,40750,Empty Property Rate Non-Industrial,Barrow Printing Co Ltd,01/02/2013
"10, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000100N,28000,Retail Relief,Max Spielmann Limited,19/12/2008
"10, Stephen Street, Barrow In Furness, Cumbria, LA14 1HQ",105165350010N,7200,Retail Relief,Fishbowl Aquatics Ltd,06/01/2014
"10, Stephen Street, Barrow In Furness, Cumbria, LA14 1HQ",105165350010N,7200,Small Business Relief England,Fishbowl Aquatics Ltd,06/01/2014
,,,,,
"110, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",101342901100N,9900,Retail Relief,Mill Lane Stores Ltd,01/04/2010
"110, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",101342901100N,9900,Small Business Relief England,Mill Lane Stores Ltd,01/04/2010
"111, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501113N,8600,Small Business Relief England,Craig And Meyer Architects Ltd,14/11/2012
"111, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",105457301111N,1750,Small Business Relief England,T & J Photographic Ltd,01/04/1991
"112, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",101342901120N,5500,Small Business Relief England,Ingrid Goodings Ltd,08/08/1996
"113, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",105457301130N,2250,Small Business Relief England,Christophers Corner Limited,01/07/2011
