Name,Date,Person or Organisation that offered hospitality,Type of Hospitality received,"Accompanied by spouse, family member or friend"
Edward Hobart ,Nil return,Nil return,Nil return,Nil return
Gareth Bayley,Nil return,Nil return,Nil return,Nil return
Neil Crompton,2017-11-29,"John Sawers, Macro Advisory Partners",Lunch,No
Caroline Wilson,2017-10-31,"Jonathan Bewes, Standard Chartered Bank",Lunch,No
Colin Martin-Reynolds,Nil return,Nil return,Nil return,Nil return
Prof Robin Grimes,Nil return,Nil return,Nil return,Nil return
Julia Longbottom,Nil return,Nil return,Nil return,Nil return
Simon McDonald,2017-10-04,"Peter Ludlow, Philosopher",Lunch,No
Simon McDonald,2017-11-08,BP,Dinner,No
Simon McDonald,2017-12-20,Sir Ivan Rogers,Lunch,No
Deborah Bronnert,2017-12-06,City of London,Dinner,No 
Deborah Bronnert,2017-10-12,CsAP Annual Reception,Dinner,No 
Iain Macleod,Nil return,Nil return,Nil return,Nil return
Kate White,2017-10-05,RCDS,Dinner,No
Andrew Murdoch,Nil return,Nil return,Nil return,Nil return
Paul McKell ,Nil return,Nil return,Nil return,Nil return
Andrew Sanderson,Nil return,Nil return,Nil return,Nil return
Patrick Moody,Nil return,Nil return,Nil return,Nil return
Peter Jones,Nil return,Nil return,Nil return,Nil return
Neil Wigan,Nil return,Nil return,Nil return,Nil return
Shamik Dhar,2017-10-26,"Spencer Dale, Chief Economist BP",Breakfast,No
Martin Harris,2017-11-27,"Ed Lucas, The Economist",Drinks,No
Martin Harris,2017-12-12,"Robert Brinkley, Chatham House",Lunch,No
Kara Owen,Nil return,Nil return,Nil return,Nil return
Lewis Neal,Nil return,Nil return,Nil return,Nil return
Martin Reynolds,Nil return,Nil return,Nil return,Nil return
Philip Barton,Nil return,Nil return,Nil return,Nil return
Ric Todd,Nil return,Nil return,Nil return,Nil return
Jane Marriott ,2017-10-25,Global Strategy Forum,Dinner ,No 
Jane Marriott ,2017-10-27,Oxford University ,Lunch ,No 
Jane Marriott ,2017-11-22,The Caffeine Partnership,Dinner ,No 
Jane Marriott ,2017-11-23,RUSI,Dinner ,No 
Jane Marriott ,2017-12-05,Annual Defence Enterprise - RUSI ,Dinner ,No 
Timothy Dowse,Nil return,Nil return,Nil return,Nil return
Robert Macaire,Nil return,Nil return,Nil return,Nil return
Helen Bower-Easton,2017-11-20,Foreign Press Association,Dinner,Yes
Simon Smith,Nil return,Nil return,Nil return,Nil return
John Duncan,Nil return,Nil return,Nil return,Nil return
Alastair McPhail,Nil return,Nil return,Nil return,Nil return
Stephen Lillie,Nil return ,Nil return,Nil return,Nil return
Corin Robertson ,Nil return,Nil return,Nil return,Nil return
Lindsay Appleby,Nil return,Nil return,Nil return,Nil return
Jill Gallard,Nil return,Nil return,Nil return,Nil return
Karen Pierce ,Nil return,Nil return,Nil return,Nil return
James Kariuki,Nil return,Nil return,Nil return,Nil return
Paul Williams,Nil return,Nil return,Nil return,Nil return
Andrew Noble,Nil return,Nil return,Nil return,Nil return
Ben Merrick,Nil return,Nil return,Nil return,Nil return
Liane Saunders,2017-11-08,BP,Dinner,No
Liane Saunders,2017-11-21,LSE Ideas,Dinner,No
Joanna Roper,Nil return,Nil return,Nil return,Nil return
