Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,VAT Registration Number,Type,Account Code,Cost Centre,Reporting Month,Currency Unit
BIS,NERC,01-SEP-2010,,,Key Travel,133201," 16,576.06 ",,SUPPLIERS,,,September 2010,GBP
BIS,NERC,01-SEP-2010,,,Plymouth Hospitals NHS Trust,129989," 71,668.00 ",,SUPPLIERS,,,September 2010,GBP
BIS,NERC,01-SEP-2010,,,United Nations Environment Programme,133093," 100,000.00 ",,SUPPLIERS,,,September 2010,GBP
BIS,NERC,01-SEP-2010,,,Bbc Security Systems,130587," 34,176.05 ",,SUPPLIERS,,,September 2010,GBP
BIS,NERC,01-SEP-2010,,,Dionex (UK) Ltd,119538," 69,183.46 ",,SUPPLIERS,,,September 2010,GBP
BIS,NERC,01-SEP-2010,,,Gardline Environmental Ltd,115110," 29,962.50 ",,SUPPLIERS,,,September 2010,GBP
BIS,NERC,01-SEP-2010,T&S UK - Subsistence,NERC - BAS HR,Key Travel,133201, 119.00 ,,SUPPLIERS,2302,62530,September 2010,GBP
BIS,NERC,01-SEP-2010,T&S UK - Public Transport,NERC - SO Corporate Human Resources,Key Travel,133201, 32.26 ,,SUPPLIERS,2304,60152,September 2010,GBP
BIS,NERC,01-SEP-2010,T&S UK - Public Transport,NERC - SO Corporate Finance,Key Travel,133201, 61.48 ,,SUPPLIERS,2304,60202,September 2010,GBP
BIS,NERC,01-SEP-2010,T&S UK - Public Transport,NERC - SO PROGS RProject,Key Travel,133201, 129.00 ,,SUPPLIERS,2304,60606,September 2010,GBP
BIS,NERC,01-SEP-2010,T&S UK - Flights,NERC - POL Science General,Key Travel,133201, 518.20 ,,SUPPLIERS,2305,65110,September 2010,GBP
BIS,NERC,01-SEP-2010,T&S Overseas - Subsistence,NERC - BAS Ice Cores-Climate and Develo,Key Travel,133201, 349.98 ,,SUPPLIERS,2402,62301,September 2010,GBP
BIS,NERC,01-SEP-2010,T&S Overseas - Subsistence,NERC - BAS Programme Office,Key Travel,133201," 2,078.60 ",,SUPPLIERS,2402,62509,September 2010,GBP
BIS,NERC,01-SEP-2010,T&S Overseas - Subsistence,NERC - BAS HR,Key Travel,133201, 473.20 ,,SUPPLIERS,2402,62530,September 2010,GBP
BIS,NERC,01-SEP-2010,T&S Overseas - Flights,NERC - SO Strategic Management,Key Travel,133201," 2,433.40 ",,SUPPLIERS,2405,60051,September 2010,GBP
BIS,NERC,01-SEP-2010,T&S Overseas - Flights,NERC - SO Responsive Mode Control Centr,Key Travel,133201," 2,433.40 ",,SUPPLIERS,2405,60500,September 2010,GBP
BIS,NERC,02-SEP-2010,,,Orskov Yard A/S,134041," 333,841.51 ",,SUPPLIERS,,,September 2010,GBP
BIS,NERC,09-SEP-2010,,,Cardiff University,135852," 25,125.13 ",,GRANTS,,,September 2010,GBP
BIS,NERC,09-SEP-2010,,,Codan Uk Ltd,135310," 55,084.57 ",,SUPPLIERS,,,September 2010,GBP
BIS,NERC,09-SEP-2010,,,Imperial College London,135769," 30,785.67 ",,GRANTS,,,September 2010,GBP
BIS,NERC,09-SEP-2010,,,Imperial College London,136196," 48,644.66 ",,GRANTS,,,September 2010,GBP
BIS,NERC,09-SEP-2010,,,NERC Centre for Ecology and Hydrology (CEH Wallingford),135749," 33,423.88 ",,INTERNAL GRANTS,,,September 2010,GBP
BIS,NERC,09-SEP-2010,,,NERC Centre for Ecology and Hydrology (CEH Wallingford),135767," 33,805.04 ",,INTERNAL GRANTS,,,September 2010,GBP
BIS,NERC,09-SEP-2010,,,NERC Centre for Ecology and Hydrology (CEH Wallingford),136007," 36,898.06 ",,INTERNAL GRANTS,,,September 2010,GBP
