ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,MonthOfClaim,MonthPaid,ExpenseType,Amount
20/01/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1656,Staff- busines travel,Dec-15,Jan-16,Car mileage,7226.4
20/01/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1656,Staff- busines travel,Dec-15,Jan-16,Essential user lump sum,7334.25
20/01/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1656,Staff- busines travel,Dec-15,Jan-16,Rail Equivalent (car used but paid second class rail fare),0
20/01/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1656,Staff- busines travel,Dec-15,Jan-16,Public Transport,77.8
20/01/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1727,Staff - expenses,Dec-15,Jan-16,Subsistance,43.97
20/01/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1028,Members - allowances,Dec-15,Jan-16,Car mileage,1026.9
20/01/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1028,Members - allowances,Dec-15,Jan-16,Public Transport,20.25
20/01/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1028,Members - allowances,Dec-15,Jan-16,Subsistance,0
