VAW Crime Types,2006 - 07 Volume,2006 - 07 Percentage,2007 - 08 Volume,2007 - 08 Percentage,2008 - 09 Volume,2008 - 09 Percentage,2009 - 10 Volume,2009 - 10 Percentage
Domestic Violence,57361,83.20%,63819,84.60%,67094,85.40%,74113,86.30%
Rape,3264,4.70%,3503,4.60%,3495,4.50%,3819,4.40%
Sexual Offences excluding rape,8305,12.00%,8130,10.80%,7934,10.10%,7972,9.30%
Total,68930,100.00%,75452,100.00%,78523,100.00%,85904,100.00%
