?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,06/07/2012,211854,419,RADCOMM UK LTD,100822
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,20/07/2012,212559,420,WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,100602
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,ELECTRICITY,06/07/2012,211873,427.66,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,AGENCY REPAYMENTS,06/07/2012,211837,441.75,LINCOLNSHIRE AGRICULTURAL SOCIETY,101677
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROFESSIONAL SERVICES,13/07/2012,212196,450,ACCEPT MANAGEMENT,101627
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PREMISES REPAIRS & RENEWALS,20/07/2012,212333,450,ADVANCED FIRE SYSTEMS,101651
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,PREMISES REPAIRS & RENEWALS,27/07/2012,212867,450,ADVANCED FIRE SYSTEMS,101651
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,27/07/2012,212863,465.99,KILLGERM CHEMICALS LTD,100257
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ADVERTISING,20/07/2012,212405,468,NEWARK ADVERTISER CO LTD,100363
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,20/07/2012,212646,469.3,G4S CASH SOLUTIONS (UK) LTD,100731
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ADVERTISING,20/07/2012,212400,470,SCHOOLS PUBLISHING LTD,101660
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,STATIONERY,13/07/2012,212111,478.62,WILLSONS PRINTERS (NEWARK) LTD,100607
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,06/07/2012,211810,480,WILLSONS PRINTERS (NEWARK) LTD,100607
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PLANNED MAINTENANCE - GROVE,20/07/2012,212533,485,WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,100602
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,20/07/2012,212388,485.36,NATIONWIDE WINDOWS LIMITED,101404
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,20/07/2012,212590,498,FRN STEEPLEJACKS LTD,101648
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212437,500,BALDERTON PARISH COUNCIL,100029
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212428,500,BLIDWORTH PARISH COUNCIL,100045
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,03/08/2012,212412,500,CAUNTON PARISH COUNCIL,100077
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212455,500,CLIPSTONE PARISH COUNCIL,100097
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212424,500,COLLINGHAM PARISH COUNCIL,100104
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212411,500,EAKRING PARISH COUNCIL,100138
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212419,500,EDWINSTOWE PARISH COUNCIL,100143
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212459,500,NEWARK TOWN COUNCIL,100374
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212420,500,RUFFORD PARISH COUNCIL,100471
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,13/07/2012,212177,500,NEWARK WOMENS AID,101031
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212418,500,WINTHORPE WITH LANGFORD PARISH COUNCIL,101576
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212408,500,LOWDHAM VILLAGE HALL COMMITTEE,101612
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212425,500,NEWARK CARNIVAL CIC LTD,101667
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212433,500,EDWINSTOWE TENANTS & RESIDENTS ASSOCIATION,101668
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212446,500,REDACTED PERSONAL DATA,101669
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212450,500,LAXTON JUBILEE CELEBRATIONS,101670
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212451,500,THURGARTON COMMUNITY ASSOCIATION,101671
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212452,500,SOUTHWELL RUGBY UNION FOOTBALL CLUB,101672
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,20/07/2012,212460,500,UPTON CRICKET CLUB,101673
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PROMOTION OF EVENTS,03/08/2012,212445,500,SPECTRUM WASP,101674
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM PUBLIC LIABILITY,20/07/2012,212528,503,ZURICH FINANCIAL SERVICES,100620
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,13/07/2012,212091,522,NEWARK SECURITY SERVICES LTD,100371
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,ELECTION EXPENSES,06/07/2012,211834,532,ASSOCIATION OF ELECTORAL ADMINISTRATORS,101675
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,OTHER EQUIPMENT AND TOOLS,20/07/2012,212391,535.32,STAR TRAC UK LTD,101256
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,PREMIUM OFFICIALS INDEMNITY,20/07/2012,212527,540.5,ZURICH FINANCIAL SERVICES,100620
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,INTERNAL TRAINING,20/07/2012,212337,555,NOTTS SAVE A LIFE LTD,101541
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,PUBLICATIONS,20/07/2012,212334,558.35,LEXISNEXIS,100276
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,06/07/2012,211819,564.72,EDMUNDSON ELECTRICAL LTD,101640
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,27/07/2012,212907,570,REDACTED PERSONAL DATA,100454
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,20/07/2012,212470,575,REDACTED PERSONAL DATA,101604
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,13/07/2012,212097,579,REDACTED PERSONAL DATA,100454
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,27/07/2012,212909,591,REDACTED PERSONAL DATA,100454
