Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,(£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",128,122,251,237,997,976,329,319,30,28,60,53,"1,795","1,735",11,10,1,1,8,8,,,20,19,"1,815","1,754","£5,103,554.00","£192,939.00",£0.00,"£136,782.00","£1,326,805.00","£440,777.00","7,200,857.00","£100,000.00",,"100,000.00","7,300,857.00",
Skills Funding Agency ,Executive Agency,"Department for Business, Innovation & Skills",79,76.12,345,333.45,430,421.68,124,123.57,27,27,1,0.68,"1,006",983,7,7,0,0,55,55,1,1,63,63,"1,069","1,046","£3,330,422.55","£80,812.41",£0.00,£948.41,"£673,522.41","£302,568.88","4,388,274.66","£911,274.00",£0.00,"911,274.00","5,299,548.66",
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1790,1676,692,662.5,117,113.9,13,13,9,9,7,0.96,"2,628","2,475",255,255,,,32,32,,,287,287,"2,915","2,762","£4,562,112.72","£152,222.14","£9,085.63","£136,132.29","£314,298.62","£339,488.97","5,513,340.37","£932,956.86",£0.00,"932,956.86","6,446,297.23",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,57,57,58,58,139,139,5,5,1,1,260,260,27,27,10,10,,,,,37,37,297,297,"£880,511.12","£146,054.58",,,"£206,581.62","£103,109.06","1,336,256.38","£441,016.53",,"441,016.53","1,777,272.91",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",25,25,10,9.8,59,57.8,12,11.6,6,6,,,112,110,,,,,1,0.6,,,1,0.6,113,111,"£341,596.89",,,,"£65,031.00","£29,155.83","435,783.72",,"£22,342.55","22,342.55","458,126.27",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",231,204.23,256,242.93,288,281.23,233,220.09,26,26,,,"1,034",974,14,14,,,21,21,,,35,35,"1,069","1,009","£2,579,056.00","£103,202.00","£10,183.00","£109,112.00","£531,998.00","£237,125.00","3,570,676.00","£224,806.00",,"224,806.00","3,795,482.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",0,0,7,7,20,20,23,22.8,6,5.6,,,56,55,,,,,,,,,0,0,56,55,"£190,258.79","£1,228.71",£0.00,£0.00,"£35,608.20","£15,214.98","242,310.68",,,0,"242,310.68",
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",53,50.17,92,90.58,349,344.59,121,119.73,11,10.6,19,19,645,635,3,3,0,0,437,437,0,0,440,440,"1,085","1,075","£2,196,872.00",£0.00,"£89,045.00","£65,484.00","£314,424.00","£208,784.00","2,874,609.00","£1,586,733.00",£0.00,"1,586,733.00","4,461,342.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Ordnance Survey ,Non-Ministerial Department,"Department for Business, Innovation & Skills",31,26.98,550,537.39,452,443.29,149,146.54,4,4,3,0.73,"1,189","1,159",48,48,5,5,47,47,,,100,100,"1,289","1,259","£3,198,767.00","£104,628.00","£11,654.00","£24,959.00","£643,609.00","£272,309.00","4,255,926.00","£865,887.93",,"865,887.93","5,121,813.93",
Met Office,Executive Agency,"Department for Business, Innovation & Skills",,,,,,,,,2,2,2060,1979.3,"2,062","1,981",54,54,,,18,18,,,72,72,"2,134","2,053","£5,219,685.00","£328,485.00","£80,468.00","£198,783.00","£1,074,398.00","£454,199.00","7,356,018.00","£363,810.00",,"363,810.00","7,719,828.00",
