Transcation posting date,Supplier Name,Transaction Amount ,Comments
29/05/2015,WWW.CLEVERBOXES.COM,563.89,Payment for IT consumables
29/05/2015,LINK UP MITAKA LTD,532.84,Payment of interpreter services
21/05/2015,EBUYER (UK) LTD,525.83,Payment of equipment for fraud investigators
20/05/2015,EBUYER (UK) LTD,520.67,Payment of equipment for fraud investigators
14/05/2015,EBUYER (UK) LTD,534.95,Payment of equipment for fraud investigators
14/05/2015,N/A AS MOTO ONLY,509.92,Payment of interpreter services
13/05/2015,UKBA3917472714,"1,476.00",Payment for Other Government Departments for Service to DWP
12/05/2015,BLACKWELLS,519.48,Payment of work related books/journals
04/05/2015,WWW.ROYALMAIL.COM,540,Payment of Royal Mail services
