DfE No,School,Establishment type,PT (Nursery),FT (Nursery),Total,Reception,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Total number of pupils on roll,Full time equivalent,Compulsory school age pupils
2005,Abbey Park Primary Academy,Academy,0,30,30,30,32,28,23,22,33,21,0,219,219,168
5201,All Saints' CE (VA) J & I School,LA Maintained,0,0,0,30,31,30,30,30,30,30,0,211,211,190
2093,Ash Green Community Primary School,LA Maintained,69,0,69,61,51,59,57,50,59,56,0,462,427.5,355
2040,Bailiffe Bridge J & I School,LA Maintained,0,0,0,30,30,30,30,30,30,28,0,208,208,188
3321,Barkisland CE (VA) Primary School,LA Maintained,0,0,0,30,30,28,30,29,28,28,0,203,203,177
2019,Beech Hill School,Academy,58,3,61,61,75,74,82,84,60,82,0,579,550,477
2063,Bolton Brow Primary Academy,Academy,11,9,20,30,30,32,32,30,31,30,0,235,229.5,199
2048,Bowling Green Primary School,LA Maintained,0,0,0,23,23,22,23,23,22,24,0,160,160,146
2004,Bradshaw Primary School,Academy,0,0,0,59,53,46,52,47,38,36,0,331,331,293
2053,Burnley Road Academy,Academy,3,22,25,29,23,32,49,26,29,31,0,244,242.5,200
2042,Carr Green Primary School,LA Maintained,31,0,31,45,45,44,45,45,45,45,0,345,329.5,285
2068,Castle Hill Primary School,LA Maintained,16,8,24,37,35,37,35,34,35,37,0,274,266,225
2054,Central Street Infant & Nursery School,LA Maintained,5,0,5,20,19,24,0,0,0,0,0,68,65.5,50
3001,Christ Church (Pellon) CE (VC) Primary School,LA Maintained,0,0,0,26,31,29,30,27,17,30,0,190,190,173
3323,Christ Church CE (VA) Junior School (Sowerby Bridge),LA Maintained,0,0,0,0,0,0,40,38,26,32,0,136,136,136
2076,Cliffe Hill Community Primary School,LA Maintained,10,0,10,16,22,24,26,29,31,20,0,178,173,155
2059,Colden J & I School,LA Maintained,0,0,0,13,9,12,13,10,16,14,0,87,87,77
2006,Copley Primary School,LA Maintained,0,0,0,35,32,35,32,34,33,34,0,235,235,213
2069,"Cornholme J, I & N School",LA Maintained,23,0,23,29,30,26,22,26,30,23,0,209,197.5,166
2055,Cragg Vale J & I School,LA Maintained,0,0,0,6,4,10,6,8,7,13,0,54,54,51
2087,Cross Lane Primary and Nursery School,LA Maintained,19,0,19,46,38,38,41,43,40,45,0,310,300.5,257
2007,Dean Field Community Primary School,LA Maintained,20,1,21,29,29,28,28,23,24,28,0,210,200,168
3318,"Elland CE (VA) J, I & N School",LA Maintained,18,0,18,30,30,30,29,27,24,30,0,218,209,181
2003,Ferney Lee Primary School,LA Maintained,5,9,14,31,21,26,23,29,30,28,0,202,199.5,167
2000,Field Lane Primary School,Academy,10,4,14,13,12,20,19,21,15,25,0,139,134,116
3319,Hebden Royd CE (VA) Primary School,LA Maintained,14,2,16,18,9,20,17,26,25,20,0,151,144,124
2058,"Heptonstall J, I & N School",LA Maintained,6,0,6,15,15,16,15,15,14,14,0,110,107,93
7010,Highbury School,LA Maintained,5,0,5,10,9,10,15,5,8,10,0,72,69.5,61
3331,Holy Trinity Primary School (COEA),Academy,0,0,0,60,59,58,59,59,59,60,0,414,414,369
2050,Holywell Green Primary School,LA Maintained,26,1,27,30,27,25,30,30,33,31,0,233,220,185
2010,Lee Mount Primary School,LA Maintained,34,0,34,50,47,47,51,50,47,50,0,376,359,308
5204,Lightcliffe CE (VA) Primary School,LA Maintained,0,0,0,59,60,61,62,60,59,60,0,421,421,378
2033,"Ling Bob J, I & N School",LA Maintained,51,0,51,46,45,42,45,43,33,45,0,350,324.5,268
5207,Longroyde Primary School,LA Maintained,0,0,0,46,41,59,55,54,64,66,0,385,385,355
3014,Luddenden CE School,LA Maintained,20,1,21,25,24,26,19,26,26,29,0,196,186,156
2064,Luddendenfoot Academy,Academy,0,0,0,22,17,28,21,26,19,19,0,152,152,138
2065,Midgley School,LA Maintained,0,0,0,15,15,15,14,14,13,14,0,100,100,90
3332,Moorside Community Primary School,LA Maintained,24,0,24,30,31,36,43,28,38,31,0,261,249,220
2002,Mount Pellon Primary Academy,Academy,11,32,43,53,64,75,76,75,59,72,0,517,511.5,441
2066,New Road Primary School,LA Maintained,0,0,0,19,23,19,24,24,15,11,0,135,135,120
3010,Norland CE (VC) J & I School,LA Maintained,0,0,0,15,12,13,14,13,13,15,0,95,95,85
2015,Northowram Primary School,LA Maintained,51,0,51,60,58,60,62,60,62,59,0,472,446.5,383
2083,Old Earth School,Academy,38,4,42,58,61,60,60,60,56,60,0,457,438,377
2075,Old Town Primary School,LA Maintained,0,0,0,15,15,13,12,16,15,16,0,102,102,94
2017,Parkinson Lane Community Primary School,LA Maintained,66,1,67,74,67,65,68,75,63,64,0,543,510,421
2001,"Rawson J, I & N School",LA Maintained,34,5,39,58,55,57,51,35,37,48,0,380,363,299
2061,Ripponden J & I School,LA Maintained,0,0,0,30,22,40,29,38,31,31,0,221,221,200
2082,Riverside Junior School,LA Maintained,0,0,0,0,0,0,43,50,37,25,0,155,155,155
3328,Sacred Heart Catholic Primary School (Sowerby Bridge),Academy,0,0,0,30,19,26,29,31,29,27,0,191,191,172
2021,Salterhebble J & I School,LA Maintained,0,0,0,30,30,30,28,28,30,30,0,206,206,186
5200,Salterlee Academy Trust,Academy,0,0,0,15,15,13,16,13,15,13,0,100,100,91
2009,Savile Park Primary School,LA Maintained,0,0,0,55,37,60,31,31,34,33,0,281,281,243
2056,Scout Road Academy,Academy,0,0,0,15,15,14,14,14,16,8,0,96,96,87
2073,Shade Primary School,LA Maintained,22,2,24,29,29,28,28,27,29,26,0,220,209,173
2060,Shelf J & I School,LA Maintained,0,0,0,46,41,47,43,45,45,45,0,312,312,283
2094,Siddal Primary School,Academy,1,20,21,43,36,40,28,29,30,26,0,253,252.5,205
2095,Sowerby Village CE (VC) Primary School,LA Maintained,19,0,19,16,17,22,17,25,26,19,0,161,151.5,133
