Department for Work and Pensions,,,
Hospitality received[1] by Special Advisers,,,
Period: 1 October to 31 December 2013,,,

Name,Date of hospitality,Name of organisation ,Type of hospitality received
Philippa Stroud,23-Oct,Centre for Social Justice,Lunch
Philippa Stroud,24-Oct,The Spectator,Lunch
Philippa Stroud,06-Nov,John Frieda,Lunch
Philippa Stroud,14-Nov,The Times,Breakfast
Philippa Stroud,27-Nov,The Telegraph,Lunch
Philippa Stroud,16-Dec,The Times,Breakfast
Lizzie Loudon,NIL return,,
Romilly Dennys,NIL return,,




"1.‘Does not normally include attendance at functions hosted by HM Government or the Royal Household; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.’ "
