Body Name,Body                   (ONS SNAC code),Service Area (SeRCOP Category),Dept. responsible for budget  (if different from service area),Cost Centre,Title of Contract,Scope ( CBC only or with other authorities or for benefit of others),Contract Reference number,"Description of works, goods or services and to whom",Procurement Route,Number of Tenders / Quotations received,Start date       (DD/MM/YYYY),End Date (DD/MM/YYYY),Extension Period (included any criteria),Contract Review Date, Contract Value (per annum or Total) , Irrecoverable VAT ,Suppliers Name,Supplier Clasification,Contact Point for Queries,Procurement Category (Proclass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham Borough Council,UKK 1301,Central Services,Built Environment,PLP001,"Sustainability Appraisal Incorporating SEA, HRA, HIA and EQIA Cheltenham Plan",CBC only,19287,"Sustainability Appraisal Incorporating SEA, HRA, HIA and EQIA Cheltenham Plan",Waiver,0,01/05/2015,31/05/2015,12 months for examination of Cheltenham Plan or JCS,n/a,"£19,995.00",n/a,Enfusion Limited,SME,Philip Stephenson,Consultancy 152100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham Borough Council,UKK 1301,Central Services,Finance,COR006,Banking Services,CBC only,18979,Banking Services,OJEU Tender,4,01/06/2015,01/04/2022,early termination giving 6 months notice,n/a," 37,440.00 per annum ",n/a,Lloyds Bank Plc,n/a,Mark Sheldon,Financial - Banking Services 201200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham Borough Council,UKK 1301,Central Services,Commissioning,,Consultant for options appraisal for crematorium,CBC only ,18988,Feasibility study on the Cheltenham Cemetery and Crematorium,Tender,7,09/03/2015,13/06/2015,6 months ,n/a,"£35,631.00",n/a,Robert Potter and Partners LLP,SME,Mike Redman,Consultancy 151911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham Borough Council,UKK 1301,Housing Services,Cheltenham Borough Homes,CAH010,Door Entry Systens - new and replacement - various locations,CBC only ,19319,Electrical and mechanical reactive maintenance and repair for door entry installation to Council owned dwellings,Tender,6,02/06/2015,01/06/2020,None ,n/a," £149,000.00 ",n/a,Allhands Limited trading as Harold Jones Services,SME,Vince Hancock,Facilities and Management Services 192200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham Borough Council,UKK 1301,Environmental and Regulatory Services,Built Environment,PLP001,Cheltenham Plan Consultation software,CBC only,19518,Consultation software,GCloud Framework,0,26/05/2015,26/05/2017,None,01/04/2017," £18,618.00 ",n/a,Inovem Limited,SME,Philip Stephenson,ICT Software 271600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham Borough Council,UKK 1301,Environmental and Regulatory Services,Community Rangers,OPS002,Grass cutting etc - Charlton Kings Common,CBC only ,19540,"Grass cutting and auxillary services in connection with the maintenance and upkeep of Leckampton Hill and Charlton Kings Common, Cheltenham",Tender,1,01/06/2015,31/05/2018,2 years,31/03/2018," Schedule of Rates approx £10,000.00 per annum  ",n/a,John-Paul North,SME,Wayne Sedgwick,Environmental Services 181300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham Borough Council,UKK 1301,Environmental and Regulatory Services,Built Environment,CAP152,Refurbishment of Telephone Kiosks,CBC only ,18912,Refurbishment of Listed telephone kiosks on the Promenade in Cheltenham,Tender,2,30/06/2015,13/10/2015,None,n/a," £46,467.00 ",n/a,X2 Connect Limited,SME,Howard Barber,Highways - Street Furniture 231700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham Borough Council,UKK 1301,Housing Services,Cheltenham Borough Homes,CAH003,Roof Works 16 Eldorado Road,CBC only ,19563,"Take down and re-build existing chimney stacks to 16 Eldorado Road, Cheltenham",Tender,3,24/08/2015,02/10/2015,None,n/a," £19,198.00 ",n/a,McDonnell-Price (Roofing) Contractors Ltd,SME,Gordon Perry,Housing 259999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham Borough Council,UKK 1301,Central Services,Environmental and regulatory services,HLD130,Temporary management cover - Cheltenham Business Partnership,CBC only ,19193,Temporary management cover - Cheltenham Business Partnership,Tender,2,27/07/2015,27/05/2016,6 months,01/02/2015," £42,900.00 ",n/a,Blackadder Media Limited,SME,Wilf Tomaney,Consultancy 151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham Borough Council,UKK 1301,Environmental and Regulatory Services,Environmental and regulatory services,PLP101,JCS Consultant - Green Belt,CBC only ,19610,Agreement for consultancy services to attend the examination of the JCS in respect of the Green Belt review as part of the evidence base for the Joint Core Strategy,Quote,1,07/07/2015,31/12/2015,6 months,06/08/2015," £1,383.00 ",n/a,Amec Foster Wheeler E&I UK Ltd,SME,Jonathan Dibble ,Consultancy 152100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
