Local Authority,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
ALL COUNTIES,2,0,0,1,0,0,0,0,0,0,58,61
ADUR,10,15,3,347,185,1,14,0,29,476,104,1184
ALLERDALE,30,10,28,491,229,6,24,0,140,727,117,1802
AMBER VALLEY,58,32,28,574,270,6,31,0,132,871,172,2174
ARUN,36,62,27,970,454,3,42,3,126,1682,394,3799
ASHFIELD,50,39,43,579,234,8,53,0,91,732,175,2004
ASHFORD,17,38,38,718,326,6,71,0,179,1339,451,3183
AYLESBURY VALE,50,55,61,1020,419,4,119,0,221,1455,350,3754
BABERGH,39,10,20,490,209,1,26,0,128,698,152,1773
BARKING AND DAGENHAM,5,33,10,671,340,7,62,0,66,1545,226,2965
BARNET,5,206,15,2057,956,7,154,0,152,3786,729,8067
BARNSLEY,49,44,57,1112,505,12,100,0,215,1662,318,4074
BARROW-IN-FURNESS,16,4,5,354,199,5,6,0,53,476,51,1169
BASILDON,19,60,25,820,411,7,113,0,127,1370,305,3257
BASINGSTOKE AND DEANE,45,90,44,1020,528,10,88,0,149,1277,357,3608
BASSETLAW,112,28,23,561,252,1,24,1,127,889,154,2172
BATH AND NORTH EAST SOMERSET,49,56,30,974,520,4,65,0,236,1851,354,4139
BEDFORD,22,47,47,838,414,5,121,0,157,1282,264,3197
BEXLEY,13,43,14,1145,526,12,88,0,102,1776,327,4046
BIRMINGHAM,90,203,126,5050,1957,41,297,0,774,8486,1296,18320
BLABY,21,7,18,450,216,1,35,0,60,621,140,1569
BLACKBURN WITH DARWEN,41,47,9,590,276,6,30,0,115,1109,214,2437
BLACKPOOL,40,14,5,761,323,27,18,0,147,1329,208,2872
BLAENAU GWENT,24,12,9,333,141,5,11,0,81,505,98,1219
BOLSOVER,18,16,10,422,175,2,30,0,60,477,120,1330
BOLTON,24,59,30,1313,549,18,75,0,221,2233,391,4913
BOSTON,39,12,21,325,140,6,28,0,83,444,75,1173
BOURNEMOUTH,30,107,13,1033,476,6,81,1,98,1829,392,4066
BRACKNELL FOREST,3,49,27,672,323,6,61,0,125,1218,274,2758
BRADFORD,64,33,62,2444,960,36,83,0,369,3766,592,8409
BRAINTREE,56,22,25,846,406,5,51,0,179,1212,294,3096
BRECKLAND,60,29,45,623,304,4,66,0,214,910,220,2475
BRENT,2,148,13,1341,638,8,67,0,148,3134,556,6055
BRENTWOOD,14,17,12,411,218,2,51,0,85,726,146,1682
BRIDGEND,36,46,40,766,330,10,77,0,212,1217,184,2918
BRIGHTON AND HOVE,14,227,15,1900,871,11,90,0,140,3255,598,7121
BROADLAND,46,28,19,667,310,4,49,0,163,903,213,2402
BROMLEY,16,110,39,2005,877,14,125,0,152,3076,613,7027
BROMSGROVE,27,19,17,581,208,4,30,0,94,722,130,1832
BROXBOURNE,42,7,23,526,235,5,44,0,77,831,187,1977
BROXTOWE,24,25,11,545,235,3,13,0,49,701,132,1738
BURNLEY,5,75,13,605,239,5,19,1,123,1164,124,2373
BURY,23,34,21,987,463,10,23,0,203,1764,282,3810
CAERPHILLY,49,39,53,863,385,8,40,0,151,1153,188,2929
CALDERDALE,28,29,36,1055,472,11,49,0,261,1855,268,4064
CAMBRIDGE,30,44,12,604,266,4,61,0,112,881,149,2163
CAMDEN,13,192,178,1625,660,11,162,0,221,4377,956,8395
CANNOCK CHASE,20,8,18,617,223,4,23,0,52,686,146,1797
CANTERBURY,12,57,26,935,423,4,97,0,146,1534,307,3541
CARDIFF,65,89,28,1853,826,10,87,0,257,2837,516,6568
CARLISLE,73,19,33,590,290,1,44,0,152,794,139,2135
CARMARTHENSHIRE,135,84,90,976,391,6,98,0,346,1571,208,3905
CARRICK,0,0,0,1,1,0,0,0,0,0,0,2
CASTLE POINT,25,11,4,461,197,22,11,0,111,627,64,1533
CENTRAL BEDFORDSHIRE,49,62,92,1454,721,10,154,1,265,2223,541,5572
CEREDIGION,46,23,31,382,158,1,34,0,136,561,79,1451
CHARNWOOD,29,29,58,831,363,6,67,3,121,1192,239,2938
CHELMSFORD,29,15,17,845,441,9,49,0,177,1546,294,3422
CHELTENHAM,37,21,5,760,296,5,10,0,100,996,221,2451
CHERWELL,27,26,26,791,404,6,51,0,177,1333,306,3147
CHESHIRE EAST,68,47,74,2163,974,22,115,0,458,3219,673,7813
CHESHIRE WEST AND CHESTER,96,57,43,1719,786,10,114,1,351,3036,649,6862
CHESTERFIELD,28,21,9,503,230,7,16,0,84,696,144,1738
CHICHESTER,62,75,35,769,293,4,115,2,243,1393,289,3280
CHILTERN,29,19,31,491,225,1,35,0,129,840,188,1988
CHORLEY,32,50,45,562,259,6,60,0,167,882,171,2234
CHRISTCHURCH,7,15,6,260,145,5,11,0,41,419,90,999
CITY OF BRISTOL,67,239,55,2326,1062,7,164,0,342,4035,780,9077
CITY OF DERBY,24,52,25,2094,558,11,56,0,120,1657,355,4952
CITY OF KINGSTON UPON HULL,32,30,35,1312,465,20,56,1,105,1500,312,3868
CITY OF LONDON,5,44,50,547,93,9,49,0,194,2101,354,3446
CITY OF NOTTINGHAM,24,61,19,1164,597,30,87,0,181,2365,443,4971
CITY OF PETERBOROUGH,29,40,57,963,396,7,116,0,124,1387,379,3498
CITY OF PLYMOUTH,36,149,39,1954,690,5,101,0,130,2003,406,5513
CITY OF WESTMINSTER,23,401,42,3101,1301,32,383,0,535,11578,2181,19577
COLCHESTER,48,75,54,1012,444,8,130,0,179,1507,281,3738
CONWY,81,33,43,614,290,6,52,0,145,951,159,2374
COPELAND,27,5,29,373,178,4,22,0,131,527,71,1367
