DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,National Offender Management Service,03/02/2011,South East DOMS Office,Contracted-out Probation Trusts,THAMES VALLEY PROBATION TRUST,3874106,2156833.42
Ministry of Justice,National Offender Management Service,03/02/2011,Durham Tees Valley Probation Trust,Contracted-out Probation Trusts,DURHAM TEES VALLEY PROBATION TRUST,3872738,1925072
Ministry of Justice,National Offender Management Service,03/02/2011,Director of HRs Office & Strategic Planning,Specialist Contractors,PARITY RESOURCES LTD,3874486,396522.86
Ministry of Justice,National Offender Management Service,03/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3875686,183552.01
Ministry of Justice,National Offender Management Service,03/02/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3875687,177030.19
Ministry of Justice,National Offender Management Service,03/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3873187,157231.12
Ministry of Justice,National Offender Management Service,03/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3875683,154510.33
Ministry of Justice,National Offender Management Service,03/02/2011,NOMS CFO,Contracted-out Resettlement Services,THE MANCHESTER COLLEGE,3858659,129794.26
Ministry of Justice,National Offender Management Service,03/02/2011,ROM - Yorkshire & Humberside,Counselling & Advisory Costs,LIFELINE PROJECT,3871768,118399.77
Ministry of Justice,National Offender Management Service,03/02/2011,Isis,Contracted-out Building Maintenance,CARILLION CONSTRUCTION LTD,3860779,103540.52
Ministry of Justice,National Offender Management Service,03/02/2011,HOPS Payroll Charge,Subsistence,CALDER CONFERENCE,3875809,82697.52
Ministry of Justice,National Offender Management Service,03/02/2011,Estates Capacity,Contracted-out Building Maintenance,HOME OFFICE,3875611,62925
Ministry of Justice,National Offender Management Service,03/02/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3875681,51956.85
Ministry of Justice,National Offender Management Service,03/02/2011,NOMIS Programme,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3857164,47496.9
Ministry of Justice,National Offender Management Service,03/02/2011,Nottingham,Contracted-out Probation Boards,NOTTINGHAM PROBATION COMMITTEE,3874016,43669.94
Ministry of Justice,National Offender Management Service,03/02/2011,Whatton,Contracted-out Probation Trusts,NOTTINGHAMSHIRE PROBATION TRUST,3872529,39952.82
Ministry of Justice,National Offender Management Service,03/02/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3875650,38852
Ministry of Justice,National Offender Management Service,03/02/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3875229,34127.3
Ministry of Justice,National Offender Management Service,03/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3875648,33333.14
Ministry of Justice,National Offender Management Service,03/02/2011,Usk,Contracted-out Probation Trusts,WALES PROBATION TRUST,3875324,29312.78
Ministry of Justice,National Offender Management Service,03/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3875680,28969.2
Ministry of Justice,National Offender Management Service,03/02/2011,HOPS Payroll Charge,Subsistence,CALDER CONFERENCE,3875812,27609.05
Ministry of Justice,National Offender Management Service,03/02/2011,Styal,Inter-Unit Charge (IUC),ACTION FOR CHILDREN SERVICES LTD,3856037,26855
Ministry of Justice,National Offender Management Service,03/02/2011,Transport Group,Other Fuels,HARVEST ENERGY LTD,3872857,26003.39
Ministry of Justice,National Offender Management Service,03/02/2011,TSS Kent and Sussex,Contracted-out Plant and Equipment Maintenance,WB & AD MORGAN LTD,3874539,25497
Ministry of Justice,National Offender Management Service,04/02/2011,HOPS Payroll Charge,Payroll Services,HOME OFFICE,3873363,4676218.82
Ministry of Justice,National Offender Management Service,04/02/2011,Central Budgets,In Cell TV Costs,COMPUTACENTER (U K) LTD,3875713,483242.84
Ministry of Justice,National Offender Management Service,04/02/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3876796,335395.2
Ministry of Justice,National Offender Management Service,04/02/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3833327,154294.87
Ministry of Justice,National Offender Management Service,04/02/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3876799,102262.8
Ministry of Justice,National Offender Management Service,04/02/2011,Offender Employment Skills & Services Group,"Books, Stationery & IT Consumables",BURLINGTON UNIFORMS LTD,3864078,99086.98
Ministry of Justice,National Offender Management Service,04/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3876402,89100
Ministry of Justice,National Offender Management Service,04/02/2011,NOMS CFO,Contracted-out Resettlement Services,PERTEMPS PEOPLE DEVELOPMENT GROUP,3876513,82917.65
Ministry of Justice,National Offender Management Service,04/02/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3876797,82881.6
Ministry of Justice,National Offender Management Service,04/02/2011,Estates Capacity,WIP - Acquisitions,HENRY BOOT CONSTRUCTION (U K) LTD,3876432,75895.04
Ministry of Justice,National Offender Management Service,04/02/2011,Offender Employment Skills & Services Group,"Books, Stationery & IT Consumables",CARPENTER LTD,3876634,53811.88
Ministry of Justice,National Offender Management Service,04/02/2011,Wiltshire Probation Trust,Contracted-out Probation Trusts,WILTSHIRE PROBATION TRUST,3871484,50000
Ministry of Justice,National Offender Management Service,04/02/2011,Chief Operating Officers Office,Miscellaneous,NPIA,3868318,39795.21
Ministry of Justice,National Offender Management Service,04/02/2011,Director of Probation's Office,Legal Representation,LONDON PROBATION TRUST,3809601,31204.87
Ministry of Justice,National Offender Management Service,04/02/2011,Estates Capacity,Specialist Contractors,DRIVERS JONAS DELOITTE,3867974,30276.97
Ministry of Justice,National Offender Management Service,04/02/2011,TSS West Midlands Area,"New structural works, structural maintenance and equipment",FORD-MAINWARING LTD,3873878,27600
Ministry of Justice,National Offender Management Service,07/02/2011,Altcourse,Contracted-out operation of prisons and detention centres,FAZAKERLEY PRISON SERVICES LTD,3877220,660804.37
Ministry of Justice,National Offender Management Service,07/02/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3877203,527574.42
Ministry of Justice,National Offender Management Service,07/02/2011,Chief Operating Officers Office,Prison Shop Cost of Sales,EXEL EUROPE1 LTD,3874414,309077.34
Ministry of Justice,National Offender Management Service,07/02/2011,Lowdham Grange,Contracted-out operation of prisons and detention centres,LOWDHAM GRANGE PRISON SERVICES LTD,3877216,194963.94
Ministry of Justice,National Offender Management Service,07/02/2011,Chief Operating Officers Office,Prison Shop Cost of Sales (No VAT),EXEL EUROPE1 LTD,3874414,175240.01
Ministry of Justice,National Offender Management Service,07/02/2011,Estates Capacity,Consultancy,FAITHFUL + GOULD,3876894,175048.8
Ministry of Justice,National Offender Management Service,07/02/2011,NOMS CFO,Contracted-out Resettlement Services,LONDON PROBATION TRUST,3842929,164183.26
Ministry of Justice,National Offender Management Service,07/02/2011,NOMS CFO,Contracted-out Resettlement Services,LONDON PROBATION TRUST,3842928,164183.26
Ministry of Justice,National Offender Management Service,07/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3858654,117121.27
Ministry of Justice,National Offender Management Service,07/02/2011,Manchester,Contracted-out Probation Boards,GREATER MANCHESTER PROBATION TRUST,3869202,115602.24
Ministry of Justice,National Offender Management Service,07/02/2011,New Hall,Contracted-out Other Services,COFATHEC ENERGY PFI LTD,3844520,97788.28
Ministry of Justice,National Offender Management Service,07/02/2011,Wymott,Electricity,EDF ENERGY,3879099,77019.16
Ministry of Justice,National Offender Management Service,07/02/2011,NOMS CFO,Contracted-out Resettlement Services,SOVA,3876512,75169.41
Ministry of Justice,National Offender Management Service,07/02/2011,NOMS CFO,Contracted-out Resettlement Services,SOVA,3876511,75169.41
Ministry of Justice,National Offender Management Service,07/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3858655,72857.28
Ministry of Justice,National Offender Management Service,07/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3858650,63734.6
Ministry of Justice,National Offender Management Service,07/02/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3877209,58464
Ministry of Justice,National Offender Management Service,07/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3858653,58461
Ministry of Justice,National Offender Management Service,07/02/2011,Estates Capacity,WIP - Professional Fees,JACOBS ENGINEERING UK,3877504,55002.77
Ministry of Justice,National Offender Management Service,07/02/2011,Brixton,Counselling & Advisory Costs,R A P T,3877660,54937
Ministry of Justice,National Offender Management Service,07/02/2011,Offender Employment Skills & Services Group,Clothing,JIANGSU SAINTY CORP LTD,3878897,51999.75
Ministry of Justice,National Offender Management Service,07/02/2011,Offender Employment Skills & Services Group,Clothing,JIANGSU SAINTY CORP LTD,3877182,51999.75
Ministry of Justice,National Offender Management Service,07/02/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3880529,50577.12
Ministry of Justice,National Offender Management Service,07/02/2011,Frankland,Electricity,EDF ENERGY,3879157,46487.68
Ministry of Justice,National Offender Management Service,07/02/2011,Acklington,Electricity,EDF ENERGY,3879010,46000.62
Ministry of Justice,National Offender Management Service,07/02/2011,New Hall,Buildings - Acquisitions,ELITE SYSTEMS (GB) LTD,3874650,45357.6
Ministry of Justice,National Offender Management Service,07/02/2011,Offender Employment Skills & Services Group,Clothing,JIANGSU SAINTY CORP LTD,3878900,44382.24
Ministry of Justice,National Offender Management Service,07/02/2011,Highdown,Electricity,EDF ENERGY,3879048,43032.66
Ministry of Justice,National Offender Management Service,07/02/2011,Wandsworth,Electricity,EDF ENERGY,3878988,42748.03
Ministry of Justice,National Offender Management Service,07/02/2011,Manchester,Electricity,EDF ENERGY,3879154,42291.49
Ministry of Justice,National Offender Management Service,07/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3858651,40324
Ministry of Justice,National Offender Management Service,07/02/2011,Birmingham,Electricity,EDF ENERGY,3879104,40217.29
Ministry of Justice,National Offender Management Service,07/02/2011,Liverpool,Electricity,EDF ENERGY,3879137,39230.65
Ministry of Justice,National Offender Management Service,07/02/2011,Lowdham Grange,Contracted-out operation of prisons and detention centres,LOWDHAM GRANGE PRISON SERVICES LTD,3877212,38993.92
Ministry of Justice,National Offender Management Service,07/02/2011,Ranby,Electricity,EDF ENERGY,3879119,38789.02
Ministry of Justice,National Offender Management Service,07/02/2011,Estates Capacity,WIP - Professional Fees,JACOBS ENGINEERING UK,3877502,37756.78
Ministry of Justice,National Offender Management Service,07/02/2011,Sheppey Clustered Services,Electricity,EDF ENERGY,3879077,37724.35
Ministry of Justice,National Offender Management Service,07/02/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3880532,37516.06
Ministry of Justice,National Offender Management Service,07/02/2011,Risley,Electricity,EDF ENERGY,3879166,36473.87
Ministry of Justice,National Offender Management Service,07/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3858652,36366
Ministry of Justice,National Offender Management Service,07/02/2011,Sheppey Clustered Services,Electricity,EDF ENERGY,3879026,35360.31
Ministry of Justice,National Offender Management Service,07/02/2011,Rye Hill,Contracted-out operation of prisons and detention centres,ONLEY PRISON SERVICES LTD,3877197,33943.06
Ministry of Justice,National Offender Management Service,07/02/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3879409,33916.25
Ministry of Justice,National Offender Management Service,07/02/2011,New Hall,Contracted-out Building Maintenance,CX ACCESS SYSTEMS LT D,3877650,33445.73
Ministry of Justice,National Offender Management Service,07/02/2011,Lowdham Grange,Contracted-out operation of prisons and detention centres,LOWDHAM GRANGE PRISON SERVICES LTD,3877210,33226.78
Ministry of Justice,National Offender Management Service,07/02/2011,Bullingdon,Electricity,EDF ENERGY,3879081,32981.16
Ministry of Justice,National Offender Management Service,07/02/2011,Full Sutton,Electricity,EDF ENERGY,3879083,32710.81
Ministry of Justice,National Offender Management Service,07/02/2011,NOMS CFO,Contracted-out Resettlement Services,SOVA,3876507,31998
Ministry of Justice,National Offender Management Service,07/02/2011,Highpoint,Electricity,EDF ENERGY,3879111,31305.04
Ministry of Justice,National Offender Management Service,07/02/2011,Wormwood Scrubs,Electricity,EDF ENERGY,3879071,30912.56
Ministry of Justice,National Offender Management Service,07/02/2011,Wakefield,Electricity,EDF ENERGY,3878982,30099.13
Ministry of Justice,National Offender Management Service,07/02/2011,Hewell,Electricity,EDF ENERGY,3879011,29663.86
Ministry of Justice,National Offender Management Service,07/02/2011,Holme House,Electricity,EDF ENERGY,3879112,29345.46
Ministry of Justice,National Offender Management Service,07/02/2011,Leeds,Electricity,EDF ENERGY,3877081,28936.06
Ministry of Justice,National Offender Management Service,07/02/2011,Mount (The),Electricity,EDF ENERGY,3879116,28719.67
Ministry of Justice,National Offender Management Service,07/02/2011,Leeds,Electricity,EDF ENERGY,3879055,28682.63
Ministry of Justice,National Offender Management Service,07/02/2011,East of England Regional NOMS Office,Structural works / maintenance - Fees & professional services,WILTS WHOLESALE ELECTRICAL CO LTD,3849602,28553.86
Ministry of Justice,National Offender Management Service,07/02/2011,Long Lartin,Electricity,EDF ENERGY,3879079,28263.85
Ministry of Justice,National Offender Management Service,07/02/2011,ROM - Yorkshire & Humberside,Resource Grants / Grant-in-Aid,TOGETHER WOMEN PROJECTS (YORKSHIRE AND HUMBERSIDE),3878078,27500
Ministry of Justice,National Offender Management Service,07/02/2011,Altcourse,Contracted-out operation of prisons and detention centres,FAZAKERLEY PRISON SERVICES LTD,3877343,27472.42
Ministry of Justice,National Offender Management Service,07/02/2011,Mount (The),Electricity,EDF ENERGY,3877070,27458.55
Ministry of Justice,National Offender Management Service,07/02/2011,Long Lartin,Electricity,EDF ENERGY,3877076,27439.35
Ministry of Justice,National Offender Management Service,07/02/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3876613,27408.58
Ministry of Justice,National Offender Management Service,07/02/2011,Grendon,"Staff Compensation over œ5,000",TREASURY SOLICITORS,3878931,27250
Ministry of Justice,National Offender Management Service,07/02/2011,Styal,Contracted-out Probation Boards,CHESHIRE PROBATION TRUST,3877587,26508.27
Ministry of Justice,National Offender Management Service,07/02/2011,Kirkham,Electricity,EDF ENERGY,3879132,26208.74
Ministry of Justice,National Offender Management Service,07/02/2011,Featherstone,Electricity,EDF ENERGY,3879052,25273.15
Ministry of Justice,National Offender Management Service,07/02/2011,Rochester,Electricity,EDF ENERGY,3879069,25248.25
Ministry of Justice,National Offender Management Service,07/02/2011,Whitemoor,Electricity,EDF ENERGY,3879024,25146.44
Ministry of Justice,National Offender Management Service,07/02/2011,Hull,Electricity,EDF ENERGY,3879159,25098.99
Ministry of Justice,National Offender Management Service,07/02/2011,Mount (The),Electricity,EDF ENERGY,3877069,-27293.49
Ministry of Justice,National Offender Management Service,07/02/2011,Long Lartin,Electricity,EDF ENERGY,3877075,-27343.44
Ministry of Justice,National Offender Management Service,07/02/2011,Leeds,Electricity,EDF ENERGY,3877080,-28899.21
Ministry of Justice,National Offender Management Service,07/02/2011,Altcourse,Contracted-out operation of prisons and detention centres,FAZAKERLEY PRISON SERVICES LTD,3853644,-256470.75
Ministry of Justice,National Offender Management Service,07/02/2011,Altcourse,Contracted-out operation of prisons and detention centres,FAZAKERLEY PRISON SERVICES LTD,3853643,-256470.75
Ministry of Justice,National Offender Management Service,08/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3875155,508348.33
Ministry of Justice,National Offender Management Service,08/02/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3877200,233808.19
Ministry of Justice,National Offender Management Service,08/02/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3881020,192897.6
Ministry of Justice,National Offender Management Service,08/02/2011,Estates Capacity,Contracted-out Building Maintenance,HOME OFFICE,3880127,169467.53
Ministry of Justice,National Offender Management Service,08/02/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3880744,145774.8
Ministry of Justice,National Offender Management Service,08/02/2011,Leeds,Other - Acquisitions,FALCON FOODSERVICE EQUIPMENT,3872605,117074.67
Ministry of Justice,National Offender Management Service,08/02/2011,Learning and Development Group,Training and Further Education Courses,SHEFFIELD HALLAM UNIVERSITY,3877758,88185
Ministry of Justice,National Offender Management Service,08/02/2011,Drake Hall,Contracted-out Other Services,COFATHEC ENERGY PFI LTD,3777638,66725.39
Ministry of Justice,National Offender Management Service,08/02/2011,Lindholme,Electricity,EDF ENERGY,3879092,66028.53
Ministry of Justice,National Offender Management Service,08/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3881013,64758
Ministry of Justice,National Offender Management Service,08/02/2011,HOPS Payroll Charge,Travel - Non-Taxable,CARLSON WAGONLIT TRAVEL,3881459,64745.02
Ministry of Justice,National Offender Management Service,08/02/2011,NOMS CFO,Contracted-out Resettlement Services,SOVA,3876508,64101.54
Ministry of Justice,National Offender Management Service,08/02/2011,NOMS CFO,Contracted-out Resettlement Services,SOVA,3876509,64101.54
Ministry of Justice,National Offender Management Service,08/02/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3864472,57065.21
Ministry of Justice,National Offender Management Service,08/02/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3877202,56525.83
Ministry of Justice,National Offender Management Service,08/02/2011,Offender Employment Skills & Services Group,Clothing,JIANGSU SAINTY CORP LTD,3877183,52875.6
Ministry of Justice,National Offender Management Service,08/02/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3877207,51846.24
Ministry of Justice,National Offender Management Service,08/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3880789,51336
Ministry of Justice,National Offender Management Service,08/02/2011,Belmarsh,Electricity,EDF ENERGY,3881681,43545.66
Ministry of Justice,National Offender Management Service,08/02/2011,Public Protection and Mental Health Group,Secondments,STAFFORDSHIRE AND WEST MIDLANDS PROBATION TRUST,3864017,43117.88
Ministry of Justice,National Offender Management Service,08/02/2011,Hull,Office Equipment Purchases Under œ10k,FALCON FOODSERVICE EQUIPMENT,3869348,40905.6
Ministry of Justice,National Offender Management Service,08/02/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3879410,38182.08
Ministry of Justice,National Offender Management Service,08/02/2011,Business and Service Development Group,Payments to voluntary Organisations,CSV LTD,3880654,33750
Ministry of Justice,National Offender Management Service,08/02/2011,Birmingham,Pin Phone Suspense,BT PAYPHONES,3881291,29547.35
Ministry of Justice,National Offender Management Service,08/02/2011,Gartree,Contracted-out Probation Boards,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3880161,28729.78
Ministry of Justice,National Offender Management Service,08/02/2011,MoJ ICT,Contract IT Maintenance,SUNGARD PUBLIC SECTOR LTD,3881214,26976.27
Ministry of Justice,National Offender Management Service,08/02/2011,Wealstun,Electricity,EDF ENERGY,3881458,26407.92
Ministry of Justice,National Offender Management Service,08/02/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3880530,25833.08
Ministry of Justice,National Offender Management Service,09/02/2011,Gloucestershire Probation Trust,Contracted-out Probation Trusts,GLOUCESTERSHIRE PROBATION TRUST,3883539,611504.99
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3880788,498861.6
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,WILLMOTT DIXON CONSTRUCTION LTD,3883064,418493.71
Ministry of Justice,National Offender Management Service,09/02/2011,Kirkham,Water and Sewage,UNITED UTILITIES WATER PLC,3881650,282117.46
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3884394,233280
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,LORNE STEWART PLC,3883491,226246.8
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,ISG REGIONS LTD,3879872,206991.12
Ministry of Justice,National Offender Management Service,09/02/2011,NOMS ICT,Contract IT Maintenance,MINISTRY OF JUSTICE,3879741,200000
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,ISG REGIONS LTD,3883560,184335.6
