Grade,Bisexual Man Headcount,Bisexual Man Percentage,Bisexual Woman Headcount,Bisexual Woman Percentage,Gay Man Headcount,Gay Man Percentage,Gay Woman / Lesbian Headcount,Gay Woman / Lesbian Percentage,Heterosexual (Straight) Man Headcount,Heterosexual (Straight) Man Percentage,Heterosexual (Straight) Woman Headcount,Heterosexual (Straight) Woman Percentage,Other Headcount,Other Percentage,Prefer Not to Say/Declined to specify Headcount,Prefer Not to Say/Declined to specify Percentage,No Reply Headcount,No Reply Percentage,Grand Total
A1/AA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,30,34.48%,22,25.29%,3,3.45%,0,0.00%,32,36.78%,87
A2/AO,2,0.11%,8,0.46%,11,0.63%,8,0.46%,277,15.84%,842,48.14%,31,1.77%,8,0.46%,562,32.13%,1749
AP,0,0.00%,0,0.00%,2,0.51%,0,0.00%,66,16.97%,140,35.99%,5,1.29%,4,1.03%,172,44.22%,389
PA,0,0.00%,2,0.82%,1,0.41%,0,0.00%,22,9.02%,125,51.23%,3,1.23%,3,1.23%,88,36.07%,244
B1/EO/LT,1,0.13%,4,0.50%,6,0.76%,4,0.50%,130,16.37%,410,51.64%,34,4.28%,12,1.51%,193,24.31%,794
PO,2,0.26%,0,0.00%,6,0.78%,1,0.13%,104,13.45%,297,38.42%,12,1.55%,13,1.68%,338,43.73%,773
B2/HEO,1,0.40%,0,0.00%,4,1.61%,2,0.80%,64,25.70%,117,46.99%,5,2.01%,2,0.80%,54,21.69%,249
PBM,0,0.00%,0,0.00%,1,1.37%,0,0.00%,9,12.33%,41,56.16%,1,1.37%,1,1.37%,20,27.40%,73
B3/SEO,0,0.00%,1,0.72%,3,2.16%,1,0.72%,39,28.06%,66,47.48%,0,0.00%,1,0.72%,28,20.14%,139
CP/SCP/SLA,6,0.38%,3,0.19%,17,1.08%,5,0.32%,254,16.12%,492,31.22%,33,2.09%,9,0.57%,757,48.03%,1576
CA,2,0.35%,1,0.18%,6,1.06%,2,0.35%,144,25.40%,128,22.57%,15,2.65%,4,0.71%,265,46.74%,567
SP,0,0.00%,1,0.66%,3,1.99%,1,0.66%,36,23.84%,31,20.53%,12,7.95%,2,1.32%,65,43.05%,151
SCA,0,0.00%,0,0.00%,1,2.44%,0,0.00%,19,46.34%,5,12.20%,2,4.88%,0,0.00%,14,34.15%,41
PCA,2,9.09%,0,0.00%,0,0.00%,0,0.00%,5,22.73%,1,4.55%,0,0.00%,1,4.55%,13,59.09%,22
D/G7,2,0.60%,0,0.00%,7,2.08%,3,0.89%,99,29.46%,112,33.33%,8,2.38%,3,0.89%,102,30.36%,336
E/G6,0,0.00%,0,0.00%,2,1.29%,2,1.29%,49,31.61%,48,30.97%,7,4.52%,2,1.29%,45,29.03%,155
SCS,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,45.45%,3,27.27%,1,9.09%,0,0.00%,2,18.18%,11
CCP/SLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19,35.19%,20,37.04%,3,5.56%,0,0.00%,12,22.22%,54
ALL CPS,18,0.24%,20,0.27%,70,0.94%,29,0.39%,1371,18.50%,2900,39.14%,175,2.36%,65,0.88%,2762,37.27%,7410
,,,,,,,,,,,,,,,,,,,
