Government Procurement Card Spend over £500,,,
,,,
Transaction,Merchant,Transaction,Comments
Posting,Name,Amount,Reference
28/09/2012,SODEXHO PRESTIGE,1220.4,Conferencing & Events
15/10/2012,SYM SECURE SITE SSL    ,645.75,IT Annual Licences and Support
