Name of Official,Mode of Travel,Date of Departure/Hotel check in date,Duration of Stay,Destination,City of Accommodation (if different to destination),Class of Travel,Base Sales including Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTER/RICHARD MR,AIR,5/16/2013,2,Dublin,,ECONOMY                  ,167.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTER/RICHARD MR,RAIL,5/27/2013,2,,,STANDARD                ,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTER/RICHARD MR,HOTEL,,2,,PARIS,,170.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHISHOLM/ALEXANDER MR,RAIL,5/22/2013,1,,,STANDARD                ,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODDS/JOHN MR,AIR,4/10/2013,2,Warsaw,,DISCOUNT ECONOMY         ,247.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONNELLY/MARTIN MR,AIR,4/10/2013,4,Dulles,,DISCOUNT BUSINESS        ,3939.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONNELLY/MARTIN MR,AIR,4/11/2013,1,Chicago Ord,,DISCOUNT ECONOMY         ,213.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONNELLY/MARTIN MR,RAIL,5/2/2013,2,,,STANDARD                ,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONNELLY/MARTIN MR,AIR,5/30/2013,3,Berlin Germa,,DISCOUNT ECONOMY         ,664.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,RAIL,4/4/2013,2,,,STANDARD PREMIER        ,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,AIR,4/17/2013,2,Dublin,,ECONOMY                  ,103.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,RAIL,4/22/2013,1,,,STANDARD                ,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
