DEPARTMENT,ENTITY,Date of Payment,Expense Type,Project,Expense Area,Supplier,Transaction Number,Amount,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PLANT SPARES,23621,Fusion,A W CLARKE,5100309015,"1,147.50",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,PLANT SPARES,25103,Fusion,A W CLARKE,5100308170,"1,255.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PLANT SPARES,23621,Fusion,A W CLARKE,5100309014,"1,270.20",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PLANT SPARES,23621,Fusion,A W CLARKE,5100309005,"1,328.70",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,PLANT SPARES,25103,Fusion,A W CLARKE,5100307958,"2,350.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PLANT SPARES,25103,Fusion,A W CLARKE,5100309273,"2,512.50",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PLANT SPARES,25103,Fusion,A W CLARKE,5100309300,"2,512.50",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PLANT SPARES,25103,Fusion,A W CLARKE,5100307956,"3,525.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PLANT SPARES,25103,Fusion,A W CLARKE,5100307961,"3,525.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,PLANT SPARES,23621,Fusion,A W CLARKE,5100309026,"4,185.60",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PLANT SPARES,25103,Fusion,A W CLARKE,5100309267,"4,865.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PLANT & EQUIPMENT,23123,Fusion,AALCO LIMITED,5100308600,25.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PLANT & EQUIPMENT,23123,Fusion,AALCO LIMITED,5100308601,33.50,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PLANT & EQUIPMENT,23123,Fusion,AALCO LIMITED,5100308604,33.50,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",24/09/2014,PLANT & EQUIPMENT,23123,Fusion,AALCO LIMITED,5100309336,33.50,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PLANT & EQUIPMENT,23123,Fusion,AALCO LIMITED,5100308450,37.50,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",24/09/2014,PLANT & EQUIPMENT,23123,Fusion,AALCO LIMITED,5100309338,37.50,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PLANT & EQUIPMENT,23123,Fusion,AALCO LIMITED,5100308449,54.50,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",24/09/2014,PLANT & EQUIPMENT,23123,Fusion,AALCO LIMITED,5100309334,54.50,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PLANT & EQUIPMENT,23123,Fusion,AALCO LIMITED,5100308448,67.50,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PLANT & EQUIPMENT,23123,Fusion,AALCO LIMITED,5100308733,72.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PLANT & EQUIPMENT,25103,Fusion,AALCO LIMITED,5100308334,110.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,PLANT & EQUIPMENT,23128,Fusion,AALCO LIMITED,5100309146,117.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PLANT & EQUIPMENT,23106,Fusion,AALCO LIMITED,5100308495,165.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,PLANT & EQUIPMENT,25704,Fusion,AALCO LIMITED,5100308770,215.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PLANT & EQUIPMENT,23150,Fusion,AALCO LIMITED,5100309340,270.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PLANT & EQUIPMENT,25704,Fusion,AALCO LIMITED,5100308901,295.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PLANT & EQUIPMENT,25103,Fusion,AALCO LIMITED,5100308335,612.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PLANT & EQUIPMENT,23123,Fusion,AALCO LIMITED,5100308710,768.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",24/09/2014,SOFTWARE,25704,Fusion,ABB LTD,5100309987,"-35,766.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",24/09/2014,SOFTWARE,25704,Fusion,ABB LTD,5100309950,"32,861.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",24/09/2014,SOFTWARE,25704,Fusion,ABB LTD,5100309409,"35,766.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,SOFTWARE,23128,Fusion,ABB LTD,5100309408,"446,672.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,MATERIALS & SPARES,23151,Fusion,ABRACLEAN LIMITED,5100308958,227.18,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,MATERIALS & SPARES,23621,Fusion,ACRONA ENGINEERING LTD,5100309660,306.54,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,MATERIALS & SPARES,23106,Fusion,ACRONA ENGINEERING LTD,5100309659,899.02,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,MATERIALS & SPARES,25103,Fusion,ACRONA ENGINEERING LTD,5100308674,"6,916.59",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",10/09/2014,SECURITY AND EMERGENCY,28200,Property,ADT FIRE & SECURITY PLC,5100308515,"-5,476.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,SECURITY AND EMERGENCY,28030,Property,ADT FIRE & SECURITY PLC,5100309413,"-3,884.99",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",10/09/2014,SECURITY AND EMERGENCY,28200,Property,ADT FIRE & SECURITY PLC,5100309317,"-1,533.10",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",10/09/2014,SECURITY AND EMERGENCY,28200,Property,ADT FIRE & SECURITY PLC,5100309316,-450.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",10/09/2014,SECURITY AND EMERGENCY,28200,Property,ADT FIRE & SECURITY PLC,5100309318,450.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",10/09/2014,SECURITY AND EMERGENCY,28200,Property,ADT FIRE & SECURITY PLC,5100309319,"1,533.10",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,SECURITY AND EMERGENCY,28030,Property,ADT FIRE & SECURITY PLC,5100309412,"3,598.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,SECURITY AND EMERGENCY,28030,Property,ADT FIRE & SECURITY PLC,5100308816,"3,884.99",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",10/09/2014,SECURITY AND EMERGENCY,28200,Property,ADT FIRE & SECURITY PLC,5100308514,"9,116.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,CONSUMABLES,25103,Fusion,AGATE PRODUCTS LTD,5100308337,489.30,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,PLANT SPARES,25103,Fusion,AIREDALE SPRINGS LTD,5100309610,"1,800.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",24/09/2014,CONSUMABLES,29030,Fusion,ALLEGHENY TECHNOLOGIES LTD,5100309850,740.70,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,VEHICLE REPAIRS,23161,Fusion,ALLPARTS AUTOMOTIVE LTD,5100308341,254.76,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,MATERIALS & SPARES,23106,Fusion,ALLWELD SUPPLIES,5100309290,185.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,MATERIALS & SPARES,23106,Fusion,ALLWELD SUPPLIES,5100309291,185.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,MATERIALS & SPARES,23103,Fusion,ALPHA ENGINEERING SUPPLIES,5100309332,44.26,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,MATERIALS & SPARES,25103,Fusion,ALPHA ENGINEERING SUPPLIES,5100308365,326.40,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,PLANT & EQUIPMENT,23164,Fusion,ALPHA LABORATORIES,5100308895,11.20,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",03/09/2014,PLANT & EQUIPMENT,23164,Fusion,ALPHA LABORATORIES,5100308739,26.20,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,MATERIALS & SPARES,23161,Fusion,ALPHA PACKAGING,5100309531,266.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PROFESSIONAL SERVICES,23153,Fusion,AMEC NUCLEAR UK LIMITED,5100309287,"10,591.50",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,PLANT SPARES,25403,Fusion,AMETEK ADVANCE MEASUREMENT,5100308983,254.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,MATERIALS & SPARES,23125,Fusion,AMPLICON LIVELINE LTD,5100309613,850.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",10/09/2014,MATERIALS & SPARES,23132,Fusion,AMPLICON LIVELINE LTD,5100309156,"1,190.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,MATERIALS & SPARES,25103,Fusion,AMR SHEET METAL FABRICATIONS LTD,5100308393,"4,216.60",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,SOFTWARE,23161,Fusion,AMTECH POWER SOFTWARE,5100308451,256.75,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,MATERIALS & SPARES,25103,Fusion,ANIXTER (UK) LTD,5100309839,101.85,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,MATERIALS & SPARES,23128,Fusion,ANIXTER (UK) LTD,5100308529,117.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,MATERIALS & SPARES,25103,Fusion,ANIXTER (UK) LTD,5100309666,125.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,MATERIALS & SPARES,25103,Fusion,ANIXTER (UK) LTD,5100309836,132.50,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,MATERIALS & SPARES,25103,Fusion,ANIXTER (UK) LTD,5100309837,150.65,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,MATERIALS & SPARES,25103,Fusion,ANIXTER (UK) LTD,5100309223,242.85,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,MATERIALS & SPARES,25103,Fusion,ANIXTER (UK) LTD,5100309148,411.60,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,MATERIALS & SPARES,23150,Fusion,ANIXTER (UK) LTD,5100308394,"1,116.20",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,MATERIALS & SPARES,25704,Fusion,ANIXTER (UK) LTD,5100309665,"1,192.50",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,MATERIALS & SPARES,23111,Fusion,ANIXTER (UK) LTD,5100308675,"17,055.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,OPERATING LEASE,21034,Fusion,ANNODATA BUSINESS COMMUNICATIONS,5100309664,840.60,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",24/09/2014,OPERATING LEASE,21034,Fusion,ANNODATA BUSINESS COMMUNICATIONS,5100309943,"1,184.45",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",10/09/2014,OPERATING LEASE,21034,Fusion,ANNODATA BUSINESS COMMUNICATIONS,5100309199,"1,298.87",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",10/09/2014,OPERATING LEASE,21034,Fusion,ANNODATA BUSINESS COMMUNICATIONS,5100309197,"2,070.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",10/09/2014,OPERATING LEASE,21034,Fusion,ANNODATA BUSINESS COMMUNICATIONS,5100309198,"2,070.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",24/09/2014,OPERATING LEASE,21034,Fusion,ANNODATA BUSINESS COMMUNICATIONS,5100309972,"38,584.16",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,PROFESSIONAL SERVICES,63523,Support Services,AON HEWITT LTD,5100308874,"153,682.51",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,PROFESSIONAL SERVICES,63523,Support Services,AON HEWITT LTD,5100306035,"162,513.68",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,MATERIALS & SPARES,23103,Fusion,APPLIED QUALITY ASSURANCE,5100308890,52.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23151,Fusion,ARCO LTD,5100309264,-52.12,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PERSONAL PROTECTIVE EQUIPMENT,29030,Fusion,ARCO LTD,5100308535,5.58,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100308917,7.59,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100308847,12.10,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,Support Services,ARCO LTD,5100309746,21.60,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,Support Services,ARCO LTD,5100309233,34.11,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,Support Services,ARCO LTD,5100309597,34.11,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PERSONAL PROTECTIVE EQUIPMENT,25103,Fusion,ARCO LTD,5100308333,38.62,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100309745,44.90,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23150,Fusion,ARCO LTD,5100308918,47.64,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23103,Fusion,ARCO LTD,5100308909,62.16,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23151,Fusion,ARCO LTD,5100309477,62.82,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23151,Fusion,ARCO LTD,5100308848,68.68,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PERSONAL PROTECTIVE EQUIPMENT,25103,Fusion,ARCO LTD,5100308532,77.25,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100309744,78.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100308534,79.56,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23104,Fusion,ARCO LTD,5100309232,95.96,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PERSONAL PROTECTIVE EQUIPMENT,23106,Fusion,ARCO LTD,5100308398,124.19,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100309482,143.16,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,Support Services,ARCO LTD,5100309231,154.88,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100309424,206.91,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100309475,224.79,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100308531,265.20,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23151,Fusion,ARCO LTD,5100309235,273.36,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,Support Services,ARCO LTD,5100308698,322.88,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,Support Services,ARCO LTD,5100309749,329.90,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100308396,361.12,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100309599,387.80,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",17/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100309481,442.35,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100308914,447.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100308695,536.16,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PERSONAL PROTECTIVE EQUIPMENT,23150,Fusion,ARCO LTD,5100308349,539.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100308915,586.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100308849,605.40,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PERSONAL PROTECTIVE EQUIPMENT,21033,Support Services,ARCO LTD,5100308332,631.59,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100309212,750.96,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100308908,"1,319.08",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,PERSONAL PROTECTIVE EQUIPMENT,23161,Fusion,ARCO LTD,5100309234,"1,641.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,STATIONERY,21034,Fusion,ARTISAN LITHO PRINT  DESIGN,5100308307,168.00,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,PLANT & EQUIPMENT,23164,Fusion,ARVAL UK LIMITED,5100309834,264.83,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PLANT SPARES,23134,Fusion,AURIGA EUROPE PLC,5100308572,133.10,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,CATERING,28040,Property,AVENANCE PLC,5100309673,"-1,260.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,CATERING,28040,Property,AVENANCE PLC,5100308664,-41.60,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,CATERING,28040,Property,AVENANCE PLC,5100308434,57.60,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,CATERING,28040,Property,AVENANCE PLC,5100309457,143.75,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,CATERING,23126,Fusion,AVENANCE PLC,5100309442,605.57,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,CATERING,28040,Property,AVENANCE PLC,5100309509,629.94,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,CATERING,28040,Property,AVENANCE PLC,5100308433,654.77,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,CATERING,23126,Fusion,AVENANCE PLC,5100309672,688.25,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,CATERING,23126,Fusion,AVENANCE PLC,5100309677,983.07,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,CATERING,23126,Fusion,AVENANCE PLC,5100308762,"1,006.03",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,CATERING,28040,Property,AVENANCE PLC,5100308760,"1,517.09",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,CATERING,28040,Property,AVENANCE PLC,5100309511,"2,098.98",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,CATERING,28040,Property,AVENANCE PLC,5100308759,"2,999.39",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,CATERING,28040,Property,AVENANCE PLC,5100309513,"8,596.19",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,PLANT SPARES,23151,Fusion,AW GRACE & SON,5100308613,"1,955.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,TREATED WATER,23125,Fusion,B & V WATER TREATMENT,5100308482,213.34,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",15/09/2014,TREATED WATER,23125,Fusion,B & V WATER TREATMENT,5100309484,397.92,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",03/09/2014,TREATED WATER,23125,Fusion,B & V WATER TREATMENT,5100308729,"1,185.81",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,TREATED WATER,23125,Fusion,B & V WATER TREATMENT,5100308481,"3,767.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",09/09/2014,CONFERENCES/MEETINGS,25821,Fusion,Barcelo Turismo Y Congresos SL,1900060261,221.83,CUL13644,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",01/09/2014,CONFERENCES/MEETINGS,26900,Fusion,Barcelo Turismo Y Congresos SL,1900060210,"1,293.60",CUL13599,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",08/09/2014,PLANT SPARES,25103,Fusion,BATT CABLES PLC,5100309066,"1,490.00",,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",22/09/2014,PLANT SPARES,23103,Fusion,Beacon Group International Ltd,5100309844,820.86,,
"United Kingdom Atomic energy Authority
","United Kingdom Atomic energy Authority
",27/08/2014,MATERIALS & SPARES,25836,Fusion,Bearing and More Oxfordshire Ltd,5100308438,"1,570.18",,
