DfENumber,SchoolName,Year,Places,PlaceAllocated,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8162000,Acomb Primary School,2014,45,45,32,8,5,0,0,0,1,29,4,11,0,0,0,0,0,45
8162431,Badger Hill Primary School,2014,30,25,23,2,0,0,0,0,1,3,11,10,0,0,0,0,0,25
8162386,Bishopthorpe Infant School,2014,60,60,56,4,0,0,0,0,0,48,6,6,0,0,0,0,0,60
8162024,Burton Green Primary School,2014,30,30,29,0,0,0,0,1,0,22,1,6,0,0,0,0,0,30
8162003,Carr Infant School,2014,80,81,73,7,0,1,0,0,0,59,8,14,0,0,0,0,0,81
8162018,Clifton Green Primary School,2014,55,53,46,3,1,0,0,3,0,28,11,11,0,0,0,0,0,53
8162430,Clifton with Rawcliffe Primary School,2014,90,90,87,3,0,0,0,0,1,76,6,7,0,0,0,0,0,90
8162013,Copmanthorpe Primary School,2014,60,59,52,5,0,1,1,0,0,37,9,13,0,0,0,0,0,59
8162007,Dringhouses Primary School,2014,45,45,43,2,0,0,0,0,2,25,7,11,0,0,0,0,0,45
8163151,Dunnington Ce Primary School,2014,40,38,38,0,0,0,0,0,1,36,1,0,0,0,0,0,0,38
8163152,Elvington Ce Primary School,2014,20,17,15,0,2,0,0,0,0,15,1,1,0,0,0,0,0,17
8162008,Fishergate Primary School,2014,45,45,40,2,1,1,0,1,0,31,4,9,0,0,0,0,0,45
8162009,Haxby Road Primary Academy,2014,35,35,31,3,1,0,0,0,0,27,3,5,0,0,0,0,0,35
8162241,Headlands Primary School,2014,45,43,42,1,0,0,0,0,0,35,2,6,0,0,0,0,0,43
8162001,Hempland Primary School,2014,60,60,59,1,0,0,0,0,0,57,3,0,0,0,0,0,0,60
8163302,Heworth CE Primary School,2014,20,20,11,6,3,0,0,0,0,0,5,0,0,13,2,0,0,20
8162028,Hob Moor Community Primary School,2014,45,44,41,1,1,0,0,1,1,24,6,12,0,0,0,0,0,44
8162180,Huntington Primary School,2014,60,60,56,2,2,0,0,0,0,35,14,11,0,0,0,0,0,60
8162011,Knavesmire Primary School,2014,60,60,60,0,0,0,0,0,3,44,10,3,0,0,0,0,0,60
8162428,Lakeside Primary School,2014,60,60,52,7,1,0,0,0,0,36,5,19,0,0,0,0,0,60
8163158,Lord Deramores Primary School,2014,30,28,27,1,0,0,0,0,1,8,5,14,0,0,0,0,0,28
8163159,Naburn Ce Primary School,2014,12,10,8,2,0,0,0,0,0,8,0,2,0,0,0,0,0,10
8163901,New Earswick Primary School,2014,30,26,26,0,0,0,0,0,2,16,6,2,0,0,0,0,0,26
8162176,Osbaldwick Primary School,2014,60,42,42,0,0,0,0,0,1,29,10,2,0,0,0,0,0,42
8163904,Our Lady Queen of Martyrs Primary School,2014,60,60,58,2,0,0,0,0,2,0,4,0,0,0,54,0,0,60
8162012,Park Grove Primary School,2014,40,40,36,3,1,0,0,0,1,32,7,0,0,0,0,0,0,40
8162029,Poppleton Ousebank Primary School,2014,60,60,60,0,0,0,0,0,0,55,5,0,0,0,0,0,0,60
8162014,Poppleton Road Primary School,2014,60,51,42,4,0,1,0,4,0,27,10,10,0,0,0,0,0,51
8162058,Ralph Butterfield Primary School,2014,50,50,48,2,0,0,0,0,0,34,6,10,0,0,0,0,0,50
8163212,Robert Wilkinson Primary School,2014,87,87,86,1,0,0,0,0,0,80,3,4,0,0,0,0,0,87
8162349,Rufforth Primary School,2014,14,14,11,3,0,0,0,0,0,5,3,6,0,0,0,0,0,14
8162016,Scarcroft Primary School,2014,47,47,46,1,0,0,0,0,0,43,1,3,0,0,0,0,0,47
8162169,Skelton Primary School,2014,20,15,13,2,0,0,0,0,0,10,1,4,0,0,0,0,0,15
8163401,St Aelreds Rc Primary School,2014,30,21,21,0,0,0,0,0,0,0,4,7,0,0,10,0,0,21
8163002,St Barnabas C Of E Primary School,2014,27,24,23,0,0,0,1,0,0,18,1,5,0,0,0,0,0,24
8163402,St Georges Rc Primary School,2014,30,30,27,1,1,0,0,1,0,0,0,9,0,0,20,0,0,30
8163305,St Lawrences Ce Primary School,2014,30,26,26,0,0,0,0,0,0,0,7,0,7,12,0,0,0,26
8163222,St Marys Ce Primary School,2014,15,15,15,0,0,0,0,0,0,6,3,6,0,0,0,0,0,15
8163156,St Oswalds Ce Primary School,2014,42,40,39,0,0,0,0,1,0,17,7,15,0,0,0,0,0,40
8163003,St Pauls Ce Primary School,2014,25,25,25,0,0,0,0,0,0,19,4,2,0,0,0,0,0,25
8163403,St Wilfrids Rc Primary School,2014,40,40,40,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40
8162227,Stockton On The Forest Primary School,2014,12,10,10,0,0,0,0,0,0,8,2,0,0,0,0,0,0,10
8162429,Tang Hall Primary School,2014,30,22,18,0,0,0,0,4,0,16,0,2,0,0,0,0,0,22
8162017,Westfield Community Primary School,2014,90,67,63,3,0,0,1,0,0,55,4,8,0,0,0,0,0,67
8163380,Wheldrake Ce Primary School,2014,30,29,29,0,0,0,0,0,1,27,0,1,0,0,0,0,0,29
8162240,Wigginton Primary School,2014,40,43,43,0,0,0,0,0,0,37,3,3,0,0,0,0,0,43
8162027,Woodthorpe Primary School,2014,60,52,43,3,1,0,0,5,0,33,7,7,0,0,0,0,0,52
8162015,Yearsley Grove Primary School,2014,60,51,47,3,0,0,0,1,0,17,15,18,0,0,0,0,0,51
