Minister,Date(s) of trip,Destination,Purpose of trip,No.32 (The Royal) Squadron'  or 'other RAF' or 'Charter' or 'Eurostar',"Number of officials accompanying Ministers, where non-scheduled travel is used","Total cost including travel, and accommodation of Minister only"
"Secretary of State for Work and Pensions, Rt Hon Iain Duncan Smith MP ",NIL return,,,,,
"Minister of State (Minister for Employment), Rt Hon Chris Grayling MP",06-Jul-11,"Warsaw, Poland",Attended European Social Network Conference,Nil,Nil,£436.00
,31-Aug-11,"Potsdam, Berlin",Attended EU Employment Ministers Council,Nil,Nil,£280.00
,20-Sep-11,"Madrid, Spain",Attended ‘Training for Work’ event at the British Embassy,Nil,Nil,£290.00
"Minister of State (Minister for Pensions), Steve Webb MP",Nil return,,,,,
"Parliamentary Under-Secretary of State (Minister for Disabled People), Maria Miller MP",Nil return,,,,,
"Parliamentary Under-Secretary of State (Minister for Welfare Reform), Lord Freud",Nil return,,,,,
