Date,Supplier Name,Transaction Amount
07/10/2013,AIR FRANCE UK BSP GBP,"£1,555.44"
24/10/2013,AIR FRANCE UK BSP GBP,£919.54
24/10/2013,AIR FRANCE UK BSP GBP,"£1,494.00"
24/10/2013,AIR FRANCE UK BSP GBP,"£1,877.20"
24/10/2013,AIR FRANCE UK BSP GBP,"£1,494.00"
24/10/2013,AIR FRANCE UK BSP GBP,"£1,877.20"
25/10/2013,AIR FRANCE UK BSP GBP,"£1,124.75"
25/10/2013,AIR FRANCE UK BSP GBP,"£1,124.75"
25/10/2013,AIR FRANCE UK BSP GBP,£751.14
26/10/2013,AIR FRANCE UK BSP GBP,"£1,145.70"
26/10/2013,AIR FRANCE UK BSP GBP,£797.66
29/10/2013,AIR FRANCE UK BSP GBP,£714.40
29/10/2013,AIR FRANCE UK BSP GBP,£832.60
30/10/2013,AIR FRANCE UK BSP GBP,£737.94
19/10/2013,AIR NAMIBIA,£771.20
19/10/2013,AIR NAMIBIA,£661.20
19/10/2013,AIR NAMIBIA,£661.20
19/10/2013,AIR NAMIBIA,£771.20
19/10/2013,AIR NAMIBIA,£661.20
14/10/2013,AMERICAN AIRLINES,"£1,642.85"
15/10/2013,AVIANCA,£845.60
05/10/2013,BRITISH AIRWAYS UK BSP,£631.15
05/10/2013,BRITISH AIRWAYS UK BSP,£560.86
05/10/2013,BRITISH AIRWAYS UK BSP,"£1,298.17"
05/10/2013,BRITISH AIRWAYS UK BSP,"£1,034.35"
05/10/2013,BRITISH AIRWAYS UK BSP,£938.05
05/10/2013,BRITISH AIRWAYS UK BSP,"£1,885.00"
05/10/2013,BRITISH AIRWAYS UK BSP,"£2,443.60"
05/10/2013,BRITISH AIRWAYS UK BSP,"£1,885.00"
05/10/2013,BRITISH AIRWAYS UK BSP,£731.15
05/10/2013,BRITISH AIRWAYS UK BSP,"£1,364.05"
05/10/2013,BRITISH AIRWAYS UK BSP,"£1,136.26"
05/10/2013,BRITISH AIRWAYS UK BSP,£553.66
08/10/2013,BRITISH AIRWAYS UK BSP,£780.76
08/10/2013,BRITISH AIRWAYS UK BSP,"£1,634.75"
08/10/2013,BRITISH AIRWAYS UK BSP,£585.25
08/10/2013,BRITISH AIRWAYS UK BSP,£522.65
09/10/2013,BRITISH AIRWAYS UK BSP,"£1,113.35"
09/10/2013,BRITISH AIRWAYS UK BSP,£765.65
09/10/2013,BRITISH AIRWAYS UK BSP,£786.65
09/10/2013,BRITISH AIRWAYS UK BSP,£681.65
09/10/2013,BRITISH AIRWAYS UK BSP,£681.65
10/10/2013,BRITISH AIRWAYS UK BSP,£672.54
10/10/2013,BRITISH AIRWAYS UK BSP,£672.54
10/10/2013,BRITISH AIRWAYS UK BSP,£755.54
10/10/2013,BRITISH AIRWAYS UK BSP,£755.54
10/10/2013,BRITISH AIRWAYS UK BSP,£761.47
10/10/2013,BRITISH AIRWAYS UK BSP,"£1,373.45"
10/10/2013,BRITISH AIRWAYS UK BSP,£773.86
10/10/2013,BRITISH AIRWAYS UK BSP,£773.86
10/10/2013,BRITISH AIRWAYS UK BSP,£938.95
10/10/2013,BRITISH AIRWAYS UK BSP,"£1,365.07"
10/10/2013,BRITISH AIRWAYS UK BSP,"£1,763.80"
11/10/2013,BRITISH AIRWAYS UK BSP,£719.95
11/10/2013,BRITISH AIRWAYS UK BSP,£795.46
11/10/2013,BRITISH AIRWAYS UK BSP,"£1,326.28"
11/10/2013,BRITISH AIRWAYS UK BSP,£679.55
11/10/2013,BRITISH AIRWAYS UK BSP,£713.75
11/10/2013,BRITISH AIRWAYS UK BSP,£795.46
11/10/2013,BRITISH AIRWAYS UK BSP,"£1,326.28"
11/10/2013,BRITISH AIRWAYS UK BSP,"£2,146.36"
12/10/2013,BRITISH AIRWAYS UK BSP,£765.76
12/10/2013,BRITISH AIRWAYS UK BSP,"£2,211.16"
12/10/2013,BRITISH AIRWAYS UK BSP,£765.76
12/10/2013,BRITISH AIRWAYS UK BSP,£979.00
13/10/2013,BRITISH AIRWAYS UK BSP,"£1,445.86"
15/10/2013,BRITISH AIRWAYS UK BSP,£687.85
15/10/2013,BRITISH AIRWAYS UK BSP,£772.66
15/10/2013,BRITISH AIRWAYS UK BSP,£798.77
15/10/2013,BRITISH AIRWAYS UK BSP,£687.85
16/10/2013,BRITISH AIRWAYS UK BSP,£761.47
16/10/2013,BRITISH AIRWAYS UK BSP,£900.25
16/10/2013,BRITISH AIRWAYS UK BSP,"£1,300.12"
17/10/2013,BRITISH AIRWAYS UK BSP,£986.95
17/10/2013,BRITISH AIRWAYS UK BSP,"£1,019.00"
17/10/2013,BRITISH AIRWAYS UK BSP,£690.55
17/10/2013,BRITISH AIRWAYS UK BSP,"£1,452.76"
18/10/2013,BRITISH AIRWAYS UK BSP,"£1,188.12"
18/10/2013,BRITISH AIRWAYS UK BSP,"£2,434.15"
18/10/2013,BRITISH AIRWAYS UK BSP,£801.74
19/10/2013,BRITISH AIRWAYS UK BSP,"£1,940.77"
19/10/2013,BRITISH AIRWAYS UK BSP,"£3,157.15"
19/10/2013,BRITISH AIRWAYS UK BSP,£863.15
19/10/2013,BRITISH AIRWAYS UK BSP,"£5,795.00"
19/10/2013,BRITISH AIRWAYS UK BSP,"£1,166.75"
19/10/2013,BRITISH AIRWAYS UK BSP,"£1,142.68"
19/10/2013,BRITISH AIRWAYS UK BSP,"£3,697.15"
19/10/2013,BRITISH AIRWAYS UK BSP,"£5,795.00"
19/10/2013,BRITISH AIRWAYS UK BSP,"£5,795.00"
19/10/2013,BRITISH AIRWAYS UK BSP,"£1,384.15"
19/10/2013,BRITISH AIRWAYS UK BSP,£686.77
19/10/2013,BRITISH AIRWAYS UK BSP,£777.77
19/10/2013,BRITISH AIRWAYS UK BSP,"£1,681.66"
22/10/2013,BRITISH AIRWAYS UK BSP,"£2,295.19"
22/10/2013,BRITISH AIRWAYS UK BSP,"£1,295.05"
22/10/2013,BRITISH AIRWAYS UK BSP,"£1,581.65"
22/10/2013,BRITISH AIRWAYS UK BSP,£749.26
22/10/2013,BRITISH AIRWAYS UK BSP,£778.00
22/10/2013,BRITISH AIRWAYS UK BSP,"£1,640.95"
22/10/2013,BRITISH AIRWAYS UK BSP,"£1,081.85"
23/10/2013,BRITISH AIRWAYS UK BSP,£680.15
23/10/2013,BRITISH AIRWAYS UK BSP,£535.15
23/10/2013,BRITISH AIRWAYS UK BSP,£552.25
23/10/2013,BRITISH AIRWAYS UK BSP,£550.25
23/10/2013,BRITISH AIRWAYS UK BSP,"£3,766.25"
23/10/2013,BRITISH AIRWAYS UK BSP,"£1,295.05"
24/10/2013,BRITISH AIRWAYS UK BSP,"£2,918.05"
24/10/2013,BRITISH AIRWAYS UK BSP,"£3,766.25"
24/10/2013,BRITISH AIRWAYS UK BSP,"£4,521.76"
24/10/2013,BRITISH AIRWAYS UK BSP,"£4,521.76"
24/10/2013,BRITISH AIRWAYS UK BSP,"£1,880.65"
24/10/2013,BRITISH AIRWAYS UK BSP,"£1,880.65"
24/10/2013,BRITISH AIRWAYS UK BSP,"£2,918.05"
25/10/2013,BRITISH AIRWAYS UK BSP,£697.55
25/10/2013,BRITISH AIRWAYS UK BSP,£675.55
25/10/2013,BRITISH AIRWAYS UK BSP,£571.00
25/10/2013,BRITISH AIRWAYS UK BSP,"£1,269.65"
25/10/2013,BRITISH AIRWAYS UK BSP,£803.26
26/10/2013,BRITISH AIRWAYS UK BSP,£758.65
26/10/2013,BRITISH AIRWAYS UK BSP,£927.65
26/10/2013,BRITISH AIRWAYS UK BSP,£619.75
26/10/2013,BRITISH AIRWAYS UK BSP,£679.25
26/10/2013,BRITISH AIRWAYS UK BSP,£616.66
26/10/2013,BRITISH AIRWAYS UK BSP,£758.05
26/10/2013,BRITISH AIRWAYS UK BSP,£929.65
26/10/2013,BRITISH AIRWAYS UK BSP,"£1,691.20"
29/10/2013,BRITISH AIRWAYS UK BSP,£783.00
29/10/2013,BRITISH AIRWAYS UK BSP,£790.06
29/10/2013,BRITISH AIRWAYS UK BSP,"£2,018.20"
