Minister,Date,Gift,Given or received,Who gift was given to or received from,Value (£),Outcome
"Minister of State, Rt Hon Baroness Anelay of St Johns",Nil Return,,,,,
James Duddridge MP – Parliamentary Under Secretary of State,Nil Return,,,,,
"Tobias Ellwood MP, Parliamentary Under Secretary of State",07-Aug-15,"Azerbaijani Wool carpet, 179cm by 131 cm",Received,Passed on by the Azerbaijani Ambassador,Over limit,Held by the office
"Tobias Ellwood MP, Parliamentary Under Secretary of State",07-Aug-15,Commemorative gold medal from European Games,Received,Passed on by the Azerbaijani Ambassador,Over limit,Held by the office (Currently being valued)
"Rt Hon Philip Hammond, Secretary of State for Foreign and Commonwealth Affairs",21/09/2015,4 Silver Coins “The oldest trees of the world” series.,Received,Armenia,£337.00,Retained in PO
"Rt Hon David Lidington MP, Minister for Europe",Nil Return,,,,,
The Rt Hon Grant Shapps MP – Minister of State,Nil Return,,,,,
Rt Hon Hugo Swire MP,Nil Return,,,,,
