2009-2010 Group and Area homophobic and transphobic crime prosecutions,Convictions volume,Convictions percentage,Unsuccessful volume,Unsuccessful percentage,Total prosecutions,Total percentages
42 Areas,929,80.64%,223,19.36%,1152,100.00%
Cymru Wales,63,87.50%,9,12.50%,72,100.00%
Dyfed Powys,8,88.89%,1,11.11%,9,100.00%
Gwent,5,83.33%,1,16.67%,6,100.00%
North Wales,25,83.33%,5,16.67%,30,100.00%
South Wales,25,92.59%,2,7.41%,27,100.00%
Eastern,46,80.70%,11,19.30%,57,100.00%
Cambridgeshire,2,33.33%,4,66.67%,6,100.00%
Essex,20,80.00%,5,20.00%,25,100.00%
Norfolk,15,88.24%,2,11.76%,17,100.00%
Suffolk,9,100.00%,0,0.00%,9,100.00%
East Midlands,68,83.95%,13,16.05%,81,100.00%
Derbyshire,11,84.62%,2,15.38%,13,100.00%
Leicestershire,19,82.61%,4,17.39%,23,100.00%
Lincolnshire,6,85.71%,1,14.29%,7,100.00%
Northamptonshire,7,87.50%,1,12.50%,8,100.00%
Nottinghamshire,25,83.33%,5,16.67%,30,100.00%
London,134,74.03%,47,25.97%,181,100.00%
Merseyside & Cheshire,79,83.16%,16,16.84%,95,100.00%
Cheshire,17,70.83%,7,29.17%,24,100.00%
Merseyside,62,87.32%,9,12.68%,71,100.00%
North East,42,85.71%,7,14.29%,49,100.00%
Cleveland,6,85.71%,1,14.29%,7,100.00%
Durham,14,82.35%,3,17.65%,17,100.00%
Northumbria,22,88.00%,3,12.00%,25,100.00%
North West,122,73.94%,43,26.06%,165,100.00%
Cumbria,8,72.73%,3,27.27%,11,100.00%
Greater Manchester,80,74.77%,27,25.23%,107,100.00%
Lancashire,34,72.34%,13,27.66%,47,100.00%
South East,53,79.10%,14,20.90%,67,100.00%
Kent,9,100.00%,0,0.00%,9,100.00%
Surrey,8,100.00%,0,0.00%,8,100.00%
Sussex,36,72.00%,14,28.00%,50,100.00%
South West,40,85.11%,7,14.89%,47,100.00%
Avon & Somerset,21,84.00%,4,16.00%,25,100.00%
Devon and Cornwall,13,86.67%,2,13.33%,15,100.00%
Gloucestershire,6,85.71%,1,14.29%,7,100.00%
Thames and Chiltern,41,87.23%,6,12.77%,47,100.00%
Bedfordshire,7,87.50%,1,12.50%,8,100.00%
Hertfordshire,13,76.47%,4,23.53%,17,100.00%
Thames Valley,21,95.45%,1,4.55%,22,100.00%
Wessex,69,78.41%,19,21.59%,88,100.00%
Dorset,14,87.50%,2,12.50%,16,100.00%
Hampshire & IOW,49,79.03%,13,20.97%,62,100.00%
Wiltshire,6,60.00%,4,40.00%,10,100.00%
West Midlands,100,84.75%,18,15.25%,118,100.00%
Staffordshire,21,95.45%,1,4.55%,22,100.00%
Warwickshire,6,75.00%,2,25.00%,8,100.00%
West Mercia,21,91.30%,2,8.70%,23,100.00%
West Midlands,52,80.00%,13,20.00%,65,100.00%
Yorkshire & Humberside,72,84.71%,13,15.29%,85,100.00%
Humberside,16,94.12%,1,5.88%,17,100.00%
North Yorkshire,8,80.00%,2,20.00%,10,100.00%
South Yorkshire,18,90.00%,2,10.00%,20,100.00%
West Yorkshire,30,78.95%,8,21.05%,38,100.00%
