Transaction Date,Department,Merchant (Beneficiary),Transaction Value (£),Purpose of expenditure,Merchant Category / Summary
15.04.2015,ST MARYS CATHOLIC,ON A ROLL SANDWICH COM,305.64,School meals,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS"
15.04.2015,CIVIC BANQUETING,JR HOLLAND FOODSERVICE,2.64,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,81.05,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,BYKER LODGE,FREEMAN CATERING BUTCH,45.8,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CIVIC BANQUETING,BRAKE BROS LTD,215.34,School meals,CATERERS
15.04.2015,CONNIE LEWCOCK,FREEMAN CATERING BUTCH,51.83,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CIVIC BANQUETING,JR HOLLAND FOODSERVICE,128.1,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,WALKER TECHNOLOGY,ON A ROLL SANDWICH COM,304.3,School meals,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS"
15.04.2015,BYKER LODGE,JR HOLLAND FOODSERVICE,68.06,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,13.53,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,726.39,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,396.54,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,SIR CHARLES PARSONS,FREEMAN CATERING BUTCH,45.52,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,104.38,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,WELFORD DAY CENTRE,JR HOLLAND FOODSERVICE,89.97,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,SACRED HEART HIGH,ON A ROLL SANDWICH COM,427.94,School meals,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS"
15.04.2015,TRINITY OAKFIELD,ON A ROLL SANDWICH COM,67,School meals,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS"
15.04.2015,KENTON SCHOOL,ON A ROLL SANDWICH COM,132,School meals,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS"
15.04.2015,CIVIC BANQUETING,JR HOLLAND FOODSERVICE,41.59,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CONNIE LEWCOCK,FREEMAN CATERING BUTCH,48.22,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,BYKER LODGE,BRAKE BROS LTD,91.24,School meals,CATERERS
15.04.2015,BYKER LODGE,JR HOLLAND FOODSERVICE,29.2,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CIVIC CANTEEN,BRAKE BROS LTD,32.85,School meals,CATERERS
15.04.2015,STOCKSFIELD AVENUE,FREEMAN CATERING BUTCH,11.55,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,56.26,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CONNIE LEWCOCK,JR HOLLAND FOODSERVICE,69.17,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,CIVIC CANTEEN,JR HOLLAND FOODSERVICE,9.53,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,WELFORD DAY CENTRE,JR HOLLAND FOODSERVICE,16.96,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
15.04.2015,BYKER PRIMARY,ON A ROLL SANDWICH COM,91.3,School meals,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS"
