Minister,Date of Trip,Destination,Purpose,‘Scheduled’ or No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",24 January – 25 January,"Ireland, Dublin",Meet Irish Ministers and Investors,Scheduled,,$306 
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",18 February – 19 February,"Belgium, Brussels",Attend Competition Council,Eurostar,,$250 
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",08 January – 11 January,"USA, San Francisco",Promote the UK as a good place for high-tech business,Scheduled,,"$6,450 "
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",13 January – 14 January,"Germany, Berlin",Attend Ministerial Sub-Committee on European Affairs,Scheduled,,$835 
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",17 January – 20 January,"France, Paris",Visit French Higher Education Institutes and the Franco-British Colloque,Eurostar,,$250 
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",07 February – 08 February,"Netherlands, Amsterdam",Visit European Space Technology Centre,Scheduled,,$474 
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",12 February – 13 February,"France, Paris",Attend the Organisation for Economic Cooperation and Development Conference,Eurostar,,$272 
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",17 February – 20 February,"India, Mumbai, Delhi",Accompany the Prime Minister with a Business delegation to promote the UK is open for education,Charter,1,Costs met by No10
"Minister of State, (Universities and Science), Rt Hon David Willetts MP",03 March – 07 March,"Qatar – Doha, UAE Dubai & Abu Dhabi",Attend the Going Global conference and meetings with Government counterparts to discuss engagement in education,Scheduled,,"$6,008 "
"Minister of State (Trade and Investment), Lord Green",14 January – 17 January,"India, Delhi, Mumbai",Promote British Business and meet with Government Ministers,Scheduled,,"$2,436 "
"Minister of State (Trade and Investment), Lord Green",21January – 25 January,"Kuwait, Kuwait City, & Iraq, Baghdad",Promote British Business and meet with Government Ministers,Scheduled,,"$3,370 "
"Minister of State (Trade and Investment), Lord Green",18 January – 21 January,"France, Paris",Attend Anglo Franco Colloque in Versaille,Eurostar,,$340 
"Minister of State (Trade and Investment), Lord Green",30 January – 31 January,"Belgium, Brussels",Represent UK at the EU Trade Council,Eurostar,,$290 
"Minister of State (Trade and Investment), Lord Green",17 February – 22 February,"India, Mumbai, Delhi",Accompany the Prime Minister with a Business delegation to promote the UK as open for business and to meet key inward investors,Charter,1,Costs met by No.10
"Minister of State (Trade and Investment), Lord Green",4 March – 9 March,"Mexico, Mexico City, Columbia, Bogota",Promote British Business and meet with Government Minister,Scheduled,,"$5,955 "
"Minister of State (Trade and Investment), Lord Green",11 March – 13 March,"Israel, Tel Aviv",Promote British Business and meet with Government Minister,Scheduled,,"$1,588 "
"Parliamentary Under Secretary of State, (Skills jointly with the Department for Education), Matthew Hancock MP ",19 January – 24 January,"India, Mumbai, Delhi, Kolkata","To meet counterparts, open an Association of Colleges International office and secure bilateral policy agreements",Scheduled,,"$3,960 "
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",24 January – 25 January,"Italy, Milan",Attend UK-Italy Inward Investment Awards,Scheduled,,$379 
"Minister of State, (Business and Enterprise), Rt Hon Michael Fallon MP ",17 February – 23 February,"Kazakhstan, Astana & Almaty, Japan Nagoya & Tokyo",Meetings with automotive companies,Scheduled,,"$4,437 "












,,,,, 
