Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,497,483.5,675,656.1,1601,1587,1192,1156,372,369.8,,,4337,4252.4,95,95,,,31,30.42,3,3,129,128.42,4466,4380.82,12722086.1,921821.75,22795.39,209237.22,2742810.64,1190631.47,17809382.57,549607.97,47556.76,597164.73,18406547.3,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,29,25.41,21,19.4,15,13.66,7,7,1,1,6,6,79,72.47,,,,,,,,,0,0,79,72.47,162361,8089,0,743,33779,15870,220842,491,,491,221333,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,30,29.66,234,227.38,846,825.5,320,317.07,77,76.05,,,1507,1475.66,71,69.82,91,90.02,,,,,162,159.84,1669,1635.5,4674618.59,1043899.8,0,36357.98,1025479.16,432405.22,7212760.75,568566.85,,568566.85,7781327.6,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,7.18,7.18,1,1,1,1,,,9.18,9.18,,,,,,,,,0,0,9.18,9.18,29244.72,649.98,,,2439.35,3081.35,35415.4,,,0,35415.4,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,7,7,11,11,5,5,2,2,,,25,25,2,2,,,,,,,2,2,27,27,85199.83,,,,15815.17,8875.13,109890.13,10561.2,,10561.2,120451.33,
FCO Services,Executive Agency,Foreign and Commonwealth Office,130,127.69,176,171.95,434,420.76,124,123.8,7,6.57,0,0,871,850.77,54,53.59,12,12,139,137.8,0,0,205,203.39,1076,1054.16,2287895.73,475176.51,1000,304826.64,489224.39,282152.08,3840275.35,1572870.44,,1572870.44,5413145.79,
UK Trade and Investment (FCO),Non-Ministerial Department,Foreign and Commonwealth Office,3,3,2,2,66,66,80,80,23,23,,,174,174,,,,,,,,,0,0,174,174,690383.76,9780.18,,,150483.94,31419.61,882067.49,,,0,882067.49,
