VENUE_NAME,ADDRESS_LINE_1,POST_TOWN,COUNTY,POST_CODE,NEW_DISTRICT_COUNCIL,EASTING,NORTHING,TELEPHONE,OWNERSHIP_TYPE,ADVENTURE_SPORT,ATHLETICS,BOWLING,BOXING,CRICKET,FITNESS,GOLF,MOTORSPORT,SWIMMING,SQUASH_HANDBALL,TENNIS,SPORTS_HALL,WATERSPORTS,MOUNTAIN_BIKING,PITCHES_GRASS,PITCHES_WATER,PITCHES_THIRD_GEN,PITCHES_SAND
1st Bangor Football Club,Portaferry Road,Newtownards,Down,BT23 8SG,North Down and Ards District,349679,373467,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Abbey Boxing Club,Banks Lane,Bangor,Down,BT20 5EJ,North Down and Ards District,350150,381244,,Club,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Abbey Christian Brothers Grammar School,Ashgrove Road,Newry,Down,BT34 1QN,"Newry City, Mourne and Down District",308889,326025,028 3026 3142,Education,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
Abbey Road,Abbey Road,Millisle,Down,BT22 2DD,North Down and Ards District,359594,375988,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Abercorn Primary School,Newry Road,Banbridge,Down,BT32 3HR,"Armagh City, Banbridge and Craigavon District",312245,345349,028 4066 2880,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Academy Primary School,Listooder Road,Saintfield,Down,BT24 7JA,"Newry City, Mourne and Down District",340673,358529,028 9751 0407,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Academy Sports Club,Hydepark,Mallusk,Antrim,BT36 4PX,Antrim and Newtownabbey District,328881,383070,028 9083 3085,District Council,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Academy Sports Club and Playing Fields,Hydepark,Newtownabbey,Antrim,BT43 6LL,Mid and East Antrim District,310677,404583,028 9083 3085,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Acorn Intergrated Primary School,Victoria Road,Carrickfergus,Antrim,BT38 7JL,Mid and East Antrim District,341972,389146,028 9336 0115,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Action Outdoors,Carragh Road,Downpatrick,Down,BT30 9AG,"Newry City, Mourne and Down District",345341,348911,077 8975 4565,Club,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Adams Park,Abbey Road,Millisle,Down,BT22 2DD,North Down and Ards District,359594,375988,078 1369 4548,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Adventure Tours NI,Urbalreagh Road,Ardstraw,Tyrone,BT78 4LR,Fermanagh and Omagh District,234977,387636,079 7163 9932,Private,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Aghaderg GAC,Scarva Road,Banbridge,Down,BT32 3QD,"Armagh City, Banbridge and Craigavon District",311104,346098,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Aghadowey Airfield Circuit,Glasgort Road,Aghadowey,Londonderry,BT51 4BY,Causeway Coast and Glens District,290635,422114,,Club,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Aghalee Playing Fields,Lurgan Road,Aghalee,Antrim,BT67 0DD,Causeway Coast and Glens District,312142,364953,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Aghalee Village Hall,Lurgan Road,Craigavon,Antrim,BT67 0DD,Lisburn and Castlereagh District,312240,364956,028 9265 2150,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Aghaloo Pavillion,Monaghan Road,Aughnacloy,Tyrone,BT69 6HU,Mid Ulster District,266542,351633,,Other,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Aghavilly Primary School,Aghavilly Road,Milford,Armagh,BT60 3PN,"Armagh City, Banbridge and Craigavon District",284690,340842,028 3752 4255,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Aghyaran St Davogs,Park Road,Strabane,Tyrone,BT82 8EL,Derry City and Strabane District,234284,398106,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
