,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
BIS,NMO,02/07/2010,Building Service Charges,Estates,Amey Community Ltd. ,90246249,305493.99
BIS,NMO,09/07/2010,Building Construction,Estates,Amey Community Ltd. ,90246323,31446.98
BIS,NMO,09/07/2010,Building Construction,Estates,Amey Community Ltd. ,90246544,31940.91
BIS,NMO,14/07/2010,Building Construction,Estates,Amey Community Ltd. ,90243418,30876.06
BIS,NMO,16/07/2010,Building Construction,Estates,BAM Nuttall Ltd,400124717,108297.68
BIS,NMO,09/07/2010,Laboratory Testing,Enforcement,Intertek Testing&Certification,10150858,27349.00
BIS,NMO,06/07/2010,NMS Science Programmes,Programmes,LGC Ltd,50020918,35713.00
BIS,NMO,06/07/2010,NMS Science Programmes,Programmes,LGC Ltd,50021183,87349.00
BIS,NMO,14/07/2010,NMS Science Programmes,Programmes,LGC Ltd,50021465,378919.00
BIS,NMO,14/07/2010,NMS Science Programmes,Programmes,LGC Ltd,50022007,60342.00
BIS,NMO,06/07/2010,NMS Science Programmes,Programmes,NPL Management Ltd,52227,-839872.55
BIS,NMO,06/07/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1770,1025939.63
BIS,NMO,06/07/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1771,1131987.57
BIS,NMO,06/07/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1774,791827.44
BIS,NMO,06/07/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1775,1567979.71
BIS,NMO,06/07/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1778,1207142.37
BIS,NMO,06/07/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1779,225439.94
BIS,NMO,09/07/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1780,429659.41
BIS,NMO,09/07/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1781,654509.55
BIS,NMO,09/07/2010,NMS Science Programmes,Programmes,NPL Management Ltd,C1785,97365.71
BIS,NMO,14/07/2010,Building Service Charges,Estates,NPL Management Ltd,52261,41820.00
BIS,NMO,27/07/2010,Building Construction,Estates,NPL Management Ltd,104793,30813.86
BIS,NMO,09/07/2010,Building Construction,Estates,Redstone Converged Solutions,I016437,49270.15
BIS,NMO,02/07/2010,Laboratory Testing,Utilities,SGS United Kingdom Ltd,GBE129606,56602.72
BIS,NMO,02/07/2010,Laboratory Testing,Utilities,SGS United Kingdom Ltd,GBE129772,23557.12
BIS,NMO,06/07/2010,NMS Science Programmes,Programmes,TUV NEL ltd,1790007080,286000.00
