Department family,Entity,Date,Supplier,Amount,Description,Description
HM Revenue & Customs,HM Revenue & Customs,23/02/2017,CLOUDABILITY,517.91,Computer Software Stores,IT  fees for  services  provided  to  support  HMRC’s  move  to  providing  a  digital  email  service  to  its  customers
HM Revenue & Customs,HM Revenue & Customs,22/02/2017,MAILGUN.COM,829.53,Computer Software Stores,IT  fees for  services  provided  to  support  HMRC’s  move  to  providing  a  digital  email  service  to  its  customers
HM Revenue & Customs,HM Revenue & Customs,24/02/2017,GUARDIAN NEWS & MEDIA MANCHESTER,900,Printing & Advertising,Costs for advertising specific HMRC jobs externally in the wider public arena
