Department,Organisation Name,Basis for Exception, Value requested , Value Approved ,Approval month
DWP,UC - Pathfinder,, up to £30m , up to £30m ,Apr-13
DWP,Personal Independence Payments,,"£47,700,000.00","£2,400,000.00",Apr-13
DWP,Personal Independence Payments,, part of above £47.7m ,"£9,500,000.00",Apr-13
DWP,CMG - ICT8 -  data warehouse,,"£8,000,000.00","£8,000,000.00",Jun-13
