,            A,           B,          C,           D,           E,          F,          G,           H,            I
Abergavenny,827.55,965.47,1103.40,1241.32,1517.17,1793.02,2068.87,2482.64,2896.41
Caerwent,825.73,963.35,1100.97,1238.59,1513.83,1789.07,2064.32,2477.18,2890.04
Caldicot,826.31,964.02,1101.74,1239.45,1514.88,1790.31,2065.76,2478.90,2892.04
Chepstow,836.53,975.94,1115.37,1254.78,1533.62,1812.46,2091.31,2509.56,2927.81
Crucorney,804.67,938.78,1072.89,1207.00,1475.22,1743.44,2011.67,2414.00,2816.33
Devauden,804.23,938.26,1072.30,1206.33,1474.40,1742.47,2010.56,2412.66,2814.76
Goetre,813.61,949.21,1084.81,1220.41,1491.61,1762.81,2034.02,2440.82,2847.62
Grosmont,804.81,938.93,1073.07,1207.20,1475.47,1743.73,2012.01,2414.40,2816.79
Gwehelog,807.13,941.65,1076.17,1210.69,1479.73,1748.77,2017.82,2421.38,2824.94
Llanarth,806.12,940.47,1074.82,1209.17,1477.87,1746.58,2015.29,2418.34,2821.39
Llanbadock,811.87,947.17,1082.49,1217.79,1488.41,1759.03,2029.66,2435.58,2841.50
Llanelly Hill,815.18,951.04,1086.90,1222.76,1494.48,1766.21,2037.94,2445.52,2853.10
Llanfoist,819.92,956.57,1093.22,1229.87,1503.17,1776.48,2049.79,2459.74,2869.69
Llangattock V A,807.32,941.87,1076.42,1210.97,1480.07,1749.18,2018.29,2421.94,2825.59
Llangwm,804.55,938.63,1072.73,1206.81,1474.99,1743.17,2011.36,2413.62,2815.88
Llangybi,808.71,943.48,1078.27,1213.05,1482.62,1752.18,2021.76,2426.10,2830.44
Llanhennock,807.63,942.22,1076.83,1211.43,1480.64,1749.84,2019.06,2422.86,2826.66
Llanover,806.14,940.49,1074.85,1209.20,1477.91,1746.62,2015.34,2418.40,2821.46
Llantillio Croess,805.88,940.19,1074.50,1208.81,1477.43,1746.06,2014.69,2417.62,2820.55
Llantillio Pertholey,809.76,944.71,1079.68,1214.63,1484.55,1754.46,2024.39,2429.26,2834.13
Llantrissant,807.05,941.56,1076.07,1210.57,1479.58,1748.60,2017.62,2421.14,2824.66
Magor with Undy,821.57,958.49,1095.42,1232.34,1506.19,1780.04,2053.91,2464.68,2875.45
Mathern,816.59,952.68,1088.78,1224.87,1497.06,1769.25,2041.46,2449.74,2858.02
Mitchell Troy,803.58,937.50,1071.44,1205.36,1473.22,1741.07,2008.94,2410.72,2812.50
Monmouth,817.61,953.88,1090.15,1226.41,1498.94,1771.48,2044.02,2452.82,2861.62
Portskewett,811.33,946.55,1081.77,1216.99,1487.43,1757.87,2028.32,2433.98,2839.64
Raglan,808.79,943.59,1078.39,1213.18,1482.77,1752.37,2021.97,2426.36,2830.75
Rogiet,825.04,962.54,1100.05,1237.55,1512.56,1787.57,2062.59,2475.10,2887.61
Shirenewton,812.78,948.24,1083.70,1219.16,1490.08,1761.01,2031.94,2438.32,2844.70
St. Arvans,811.23,946.42,1081.63,1216.83,1487.24,1757.64,2028.06,2433.66,2839.26
Tintern,814.61,950.37,1086.14,1221.90,1493.43,1764.96,2036.51,2443.80,2851.09
Trelech ,802.67,936.45,1070.23,1204.00,1471.55,1739.11,2006.67,2408.00,2809.33
Usk,827.07,964.91,1102.76,1240.60,1516.29,1791.98,2067.67,2481.20,2894.73
