Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
BIS,NMO,01/06/2012,Building Construction,Estates,Amey Community Ltd,90309757,"42,279.04"
BIS,NMO,01/06/2012,Building Construction,Estates,Amey Community Ltd,90309159,"34,998.40"
BIS,NMO,01/06/2012,Building Construction,Estates,Amey Community Ltd,90309157,"34,627.15"
BIS,NMO,01/06/2012,Building Construction,Estates,Amey Community Ltd,90309758,"31,960.64"
BIS,NMO,13/06/2012,Building Service Charges,Estates,Amey Community Ltd,90309775,"338,239.83"
BIS,NMO,20/06/2012,IT and Office Equipment,Estates,Freedom Communications (UK) Ltd,FSI-115200,"25,980.00"
BIS,NMO,13/06/2012,NMS Science Programmes,Programmes,LGC Limited,50158994,"167,268.00"
BIS,NMO,13/06/2012,NMS Science Programmes,Programmes,LGC Limited,50158570,"98,333.00"
BIS,NMO,13/06/2012,NMS Science Programmes,Programmes,LGC Limited,50158995,"75,712.00"
BIS,NMO,13/06/2012,NMS Science Programmes,Programmes,LGC Limited,50158996,"72,450.00"
BIS,NMO,20/06/2012,NMS Science Programmes,Programmes,LGC Limited,50158993,"52,275.00"
BIS,NMO,01/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2853,"348,818.04"
BIS,NMO,01/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2850,"215,602.89"
BIS,NMO,01/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2861,"208,431.20"
BIS,NMO,01/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2860,"142,683.10"
BIS,NMO,01/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2858,"134,721.12"
BIS,NMO,01/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2859,"118,931.12"
BIS,NMO,13/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2847,"746,243.43"
BIS,NMO,13/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2848,"518,213.88"
BIS,NMO,13/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2841,"412,844.09"
BIS,NMO,13/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2849,"398,502.81"
BIS,NMO,13/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2843,"189,108.18"
BIS,NMO,13/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2866,"169,305.02"
BIS,NMO,13/06/2012,NMS Science Programmes,Programmes,NPL Management Ltd,C2862,"27,792.79"
BIS,NMO,20/06/2012,Building Service Charges,Estates,NPL Management Ltd,54780,"41,820.00"
BIS,NMO,13/06/2012,Laboratory Testing,Utilities,SGS United Kingdom Ltd,GBE152910,"24,904.60"
BIS,NMO,20/06/2012,Laboratory Testing,Utilities,SGS United Kingdom Ltd,GBE153529,"55,571.70"
BIS,NMO,20/06/2012,NMS Science Programmes,Programmes,TUV SUD NEL Ltd,1790012050,"209,000.00"
BIS,NMO,20/06/2012,NMS Science Programmes,Programmes,TUV SUD NEL Ltd,1790012068,"177,000.00"
