Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,524,510,678,659,1600,1587,1220,1187,384,381,,,4406,4324,81,80,,,29,28,4,4,114,112,4520,4436,13232607.55,925705.25,27893.22,244181.91,2778694.06,1245854.07,18454936.06,,,0,18454936.06,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,31,27.13,23,21.4,14,12.66,9,9,1,1,5,5,83,76.19,1,1,,,,,,,1,1,84,77.19,178375,9561,7311,297,37690,18933,252167,2354,,2354,254521,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,27,26.66,233,228.23,863,840.5,329,325.12,82,81,,,1534,1501.51,80,78.67,130,110.31,,,,,210,188.98,1744,1690.49,4845969.32,1064845.31,3611.88,22839.77,1068738.34,436010.02,7442014.64,672482.77,,672482.77,8114497.41,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,8,8,3,3,1,1,,,12,12,,,,,,,,,0,0,12,12,38949.22,649.98,,,3067.53,1079.2,43745.93,,,0,43745.93,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,9,9,12,12,5,5,2,2,,,28,28,4,4,,,,,,,4,4,32,32,99859.59,,,,15330.69,10488.42,125678.7,20903.49,,20903.49,146582.19,
FCO Services,Executive Agency,Foreign and Commonwealth Office,126,123.35,174,169.94,447,430.54,127,126.8,7,6.57,0,0,881,857.2,66,65.59,11,11,142,137.9,0,0,219,214.49,1100,1071.69,2301860.56,468445.28,29733,246608.66,495340.86,271825.4,3813813.76,1647708.54,0,1647708.54,5461522.3,
Department for International Trade (DIT),Ministerial Department,Foreign and Commonwealth Office,2,2,2,2,64,64,78,78,21,21,,,167,167,,,,,,,,,0,0,167,167,683296.75,8196.22,331.61,,143647.41,28790.61,864262.6,,,0,864262.6,
