OrganisationLabel,ApplicableDate,JobTitle,Name,OrganisationalUnit,Service,Salary,Responsibilties,PensionContribution,Bonuses,ExpenseAllowances,LossofPostCompensation,BenefitsinKind,BonusDetails,BenefitsDetails
Transport for Greater Manchester,01/11/2016,Chief Executive Officer,Jon Lamonte ,CEO,N/A,"285,000.00", The CEO of TfGM will provide leadership and vision to pursure the development of a multi-modal transport system supporting the economic and cultural success of Greater Manchester ,18.10%,N/A,N/A,N/A,N/A,N/A,N/A
Transport for Greater Manchester,01/11/2016,Chief Operating Officer,Bob Morris,COO,N/A,"169,995.00",To ensure the successful delivery of TfGM’s capital programme and ongoing service delivery of all modes of transport across the Greater Manchester transport network,18.10%,N/A,N/A,N/A,N/A,N/A,N/A
Transport for Greater Manchester,01/11/2016,Director of Finance and Corporate Service,Steve Warrener,FCS,N/A,"159,995.00",To be the principal adviser on Financial & Corporate services functions for the TfGM on behalf of the Chief Executive. ,18.10%,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
