Posting Date,Merchant Name,Transaction Amount
01/04/2011,XMA LTD                  TEL: 0115 ,793.92
01/04/2011,PERSONNEL HYGIENE SERV   CAERPHILLY,500
01/04/2011,SEVERN BIOTECH LTD       KIDDERMINS,660.69
01/04/2011,PERSONNEL HYGIENE SERV   CAERPHILLY,514.8
01/04/2011,OFFICE DEPOT             ANDOVER   ,564
01/04/2011,OFFICE DEPOT             ANDOVER   ,451.2
01/04/2011,THE MIDLAND HOTEL        MANCHESTER,560
04/04/2011,OFFICE DEPOT             ANDOVER   ,496.56
04/04/2011,XMA LTD                  TEL: 0115 ,559.45
04/04/2011,SEVERN BIOTECH LTD       KIDDERMINS,770.4
04/04/2011,OFFICE DEPOT             ANDOVER   ,902.4
04/04/2011,XMA LTD                  TEL: 0115 ,496.32
04/04/2011,AUTOHOME LTD             NORTHAMPTO,761.1
04/04/2011,AUTOHOME LTD             NORTHAMPTO,538.27
04/04/2011,XMA LTD                  TEL: 0115 ,496.2
04/04/2011,WWW.NEOPOST.CO.UK        0845 880 0,978.5
04/04/2011,STONEACRE HARROGATE      HARROGATE ,506.58
04/04/2011,STONEACRE HARROGATE      HARROGATE ,500.58
04/04/2011,FRANKTON LANE GARAGE     STRETTON O,1000
04/04/2011,COMPASS WATERSPORT       MODBURY   ,667.2
05/04/2011,LYRECO UK LTD            TELFORD   ,467.68
05/04/2011,WWW.NEOPOST.CO.UK        0845 880 0,978.5
05/04/2011,WILDY AND SONS LTD       LONDON  EC,882
05/04/2011,PACK YOUR BAGS TRAVEL ST TUNBRIDGE ,615
05/04/2011,PACK YOUR BAGS TRAVEL ST TUNBRIDGE ,512.5
05/04/2011,OFFICE DEPOT             ANDOVER   ,837.65
05/04/2011,FRANKTON LANE GARAGE     STRETTON O,1000
05/04/2011,WWW.FGILTD.CO.UK         WARWICK   ,593.64
05/04/2011,WWP TRAINING LTD         WINDSOR   ,540
05/04/2011,WWP TRAINING LTD         WINDSOR   ,540
05/04/2011,WWP TRAINING LTD         WINDSOR   ,-540
05/04/2011,WWP TRAINING LTD         WINDSOR   ,-540
06/04/2011,XMA LTD                  TEL: 0115 ,785.98
06/04/2011,WWW.NEOPOST.CO.UK        0845 880 0,978.5
06/04/2011,CIM                      MAIDENHEAD,598.8
06/04/2011,PC WORLD ONLINE          HEMEL HEMP,899.97
