Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Prime Minister, The Rt Hon David Cameron MP",15-Oct-12,United Jewish Israel Appeal,Dinner
,29-Oct-12,Pride of Britain Awards,Dinner
,12-Nov-12,Lord Mayor’s Banquet,Dinner
,06-Dec-12,Sun Military Awards,Reception
