Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration number
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10-Nov-10,Telecommunications,UK Trade and Investments - Strategy and Human Resources Group,ACT TELECONFERENCING LTD,1011528,1177.62,581 8927 93
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,25-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Defence and Security Organisation,ADECCO UK LTD,1012739,534.21,232 3479 75
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Marketing Group,ADECCO UK LTD,1011569,604.69,232 3479 75
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,25-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Marketing Group,ADECCO UK LTD,1012738,674.17,232 3479 75
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Business Group,ADECCO UK LTD,1011543,717.81,232 3479 75
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,17-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Business Group,ADECCO UK LTD,1012074,717.81,232 3479 75
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,24-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Business Group,ADECCO UK LTD,1012714,717.81,232 3479 75
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Chief Executives Office,ADECCO UK LTD,1012292,790.34,232 3479 75
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Chief Executives Office,ADECCO UK LTD,1012300,826.79,232 3479 75
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Chief Executives Office,ADECCO UK LTD,1012293,878.83,232 3479 75
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,17-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Chief Executives Office,ADECCO UK LTD,1012079,899.66,232 3479 75
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Chief Executives Office,ADECCO UK LTD,1012288,910.07,232 3479 75
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,1-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Marketing Group,ADECCO UK LTD,1010395,931.18,232 3479 75
