Area ,Current Quarter Month 1,Current Quarter Month 2,Current Quarter Month 3,Q1 2013/2014,Previous Quarter Month 1,Previous Quarter Month 2,Previous Quarter Month 3,Q1 2012/2013
Avon & Somerset,1,1,1,3,16,32,28,76
Bedfordshire,5,1,1,7,6,4,10,20
British Transport Police,2,1,1,4,5,6,5,16
Cambridgeshire,1,1,0,2,15,10,12,37
Cheshire,0,2,1,3,4,7,8,19
Cleveland,1,1,0,2,2,3,2,7
Cumbria,1,0,0,1,7,6,7,20
Derbyshire,0,1,1,2,0,1,2,3
Devon and Cornwall,5,1,1,7,7,13,6,26
Dorset,3,0,1,4,25,20,12,57
Durham,0,0,0,0,0,1,1,2
Dyfed Powys,0,1,0,1,2,0,1,3
Essex,4,0,2,6,18,11,10,39
Gloucestershire,0,0,0,0,0,1,0,1
Greater Manchester,1,0,0,1,3,5,3,11
Gwent,0,0,0,0,1,0,0,1
Hampshire & IOW,16,12,7,35,26,17,27,70
Hertfordshire,1,1,0,2,8,8,9,25
Humberside,3,1,1,5,8,8,12,28
Kent,3,2,3,8,5,3,3,11
Lancashire,6,2,0,8,18,26,17,61
Leicestershire,3,1,0,4,3,2,6,11
Lincolnshire,1,0,0,1,0,0,0,0
London,7,5,3,15,36,24,17,77
Merseyside,3,3,3,9,17,15,39,71
Norfolk,0,2,2,4,18,17,9,44
Northamptonshire,1,0,0,1,2,4,1,7
Northumbria,2,0,0,2,7,4,2,13
North Wales,10,2,2,14,4,6,3,13
North Yorkshire,2,0,0,2,4,12,9,25
Nottinghamshire,1,1,0,2,3,8,4,15
South Wales,4,1,5,10,13,12,8,33
South Yorkshire,1,0,0,1,0,0,4,4
Staffordshire,2,2,0,4,18,6,3,27
Suffolk,1,0,0,1,4,1,4,9
Surrey,0,0,1,1,10,5,3,18
Sussex,0,0,1,1,5,7,8,20
Thames Valley,9,3,1,13,12,6,5,23
Warwickshire,0,0,0,0,3,0,1,4
West Mercia,1,0,0,1,0,3,0,3
West Midlands,0,1,0,1,0,1,3,4
West Yorkshire,3,0,1,4,1,9,1,11
Wiltshire,0,0,0,0,0,1,0,1
Total,104,49,39,192,336,325,305,966
