Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2543,30970,Aldershot Promotions,Morrisons,28/02/2018,PC 261/1,20,ACT Meeting Refreshments,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30101,Equipment Maintenance,Ikea,28/02/2018,PC 261/2,127.92,Frames / Roses,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2533,30480,Victoria Day,Boundstone,28/02/2018,PC 261/3,81.6,4 x trophies engraved,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2543,30970,Aldershot Promotions,Amazon,28/02/2018,PC 261/4,12.54,CD for Jeromes,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2018,PC 261/7,22.62,Show Ads,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,28/02/2018,PC 261/8,308.03,Show Ads,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,80101,Lettings,Studio Time,28/02/2018,PC 261/9,55,Wedding Daze Ad,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,10026,General Repairs / Maintenance,Amazon,28/02/2018,PC 261/10,17.23,Freezer Thermometers,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Amazon,28/02/2018,PC 261/11,14.95,Wristbands,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30229,Stationery,Newcastle Uni,28/02/2018,PC 261/12,53.48,2020 Diary,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30209,Payments To Artistes,Amazon,28/02/2018,PC 261/13,9.98,Cinema DVD - Goodbye,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30248,Refreshment Purchases,Amazon,28/02/2018,PC 261/14,11.98,Paper Straws,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1316,30229,Stationery,Amazon,28/02/2018,PC 261/18,26.97,Pukka Pads,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1304,30042,Charity Dinner Dance,Celebration Chair Covers,28/02/2018,PC 261/19,316.99,Chair Covers and Sashes for Mayoral Ball,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1302,30229,Stationery,Express Envelopes,28/02/2018,PC 261/20,141.78,Elections Envelopes,Central Services to the Public,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1304,30042,Charity Dinner Dance,Amazon,28/02/2018,PC 261/21,86.94,Glass Vases for Mayoral Ball,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,travel lodge,28/02/2018,PC 261/24,115,bed and breakfast,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,travel lodge,28/02/2018,PC 261/25,86.67,bed and breakfast,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,9323,90151,Cash Received,trvael Lodge,28/02/2018,PC 261/28,53.33,bed and breakfast,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,9323,90151,Cash Received,Travel Lodge,28/02/2018,PC 261/29,444.17,bed and breakfast,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,Travelodge,28/02/2018,PC 261/32,180,bed and breakfast,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,Days Inn,28/02/2018,PC 261/33,115,bed and breakfast,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,Travelodge,28/02/2018,PC 261/34,345,bed and breakfast,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,Travelodge,28/02/2018,PC 261/35,224.17,bed and breakfast,Other Housing Services,GPC
