"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","DVSA (V)","Chief Executive","8","10.00","57674","66533","Senior Operational Manager","1.00","Operational Delivery"
"Department for Transport","DVSA (V)","Chief Executive","8","10.00","57674","66533","Senior Information Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","DVSA (V)","Chief Executive","8","10.00","57674","66533","Senior Operational Manager","1.00","Other"
"Department for Transport","DVSA (V)","Chief Executive","8","8.00","45781","52717","Senior Operational Manager","9.00","Operational Delivery"
"Department for Transport","DVSA (V)","Chief Executive","8","8.00","45781","52717","Senior Information Manager","2.00","Knowledge and Information Management (KIM)"
"Department for Transport","DVSA (V)","Chief Executive","8","8.00","45781","52717","Senior Operational Manager","5.00","Other"
"Department for Transport","DVSA (V)","Chief Executive","8","7.00","35790","40282","Operational Manager","27.00","Operational Delivery"
"Department for Transport","DVSA (V)","Chief Executive","8","7.00","35790","40282","Knowledge Information Management Manager","6.00","Knowledge and Information Management (KIM)"
"Department for Transport","DVSA (V)","Chief Executive","8","7.00","35790","40282","Senior Operational Manager","12.00","Other"
"Department for Transport","DVSA (V)","Chief Executive","8","6.00","28644","31569","Operational Manager","168.00","Operational Delivery"
"Department for Transport","DVSA (V)","Chief Executive","8","6.00","28644","31569","Knowledge Information Management Manager","24.00","Knowledge and Information Management (KIM)"
"Department for Transport","DVSA (V)","Chief Executive","8","6.00","28644","31569","Senior Information Manager","28.00","Other"
"Department for Transport","DVSA (V)","Chief Executive","8","4.00","23441","25127","Operations Support Officer","663.00","Operational Delivery"
"Department for Transport","DVSA (V)","Chief Executive","8","4.00","23441","25127","Knowledge Information Management Support Officer","2.00","Knowledge and Information Management (KIM)"
"Department for Transport","DVSA (V)","Chief Executive","8","4.00","23441","25127","Senior Information Manager","11.00","Other"
"Department for Transport","DVSA (V)","Chief Executive","8","3.00","20410","20855","Operations Support Officer","776.00","Operational Delivery"
"Department for Transport","DVSA (V)","Chief Executive","8","3.00","20410","20855","Knowledge Information Management Support Officer","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","DVSA (V)","Chief Executive","8","3.00","20410","20855","Knowledge Information Management Support Officer","2.00","Other"
"Department for Transport","DVSA (V)","Chief Executive","8","2.00","16752","17275","Operations Support Officer","91.00","Operational Delivery"
"Department for Transport","DVSA (V)","Chief Executive","8","2.00","16752","17275","Knowledge Information Management Support Officer","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","DVSA (V)","Chief Executive","8","2.00","16752","17275","Knowledge Information Management Support Officer","1.00","Other"
"Department for Transport","DVSA (V)","Chief Executive","8","2.00","16752","17275","Operations Support Officer","14.00","Operational Delivery"
"Department for Transport","DVSA (V)","Finance","160","2.00","16752","17275","Finance Support Officer","2.00","Finance"
"Department for Transport","DVSA (V)","Finance","160","2.00","16752","17275","Finance Support Officer","1.00","Finance"
"Department for Transport","DVSA (V)","Finance","160","3.00","20410","20855","Finance Support Officer","12.00","Finance"
"Department for Transport","DVSA (V)","Finance","160","4.00","23441","25127","Finance Support Officer","17.00","Finance"
"Department for Transport","DVSA (V)","Finance","160","6.00","28644","31569","Finance Officer","17.00","Finance"
"Department for Transport","DVSA (V)","Finance","160","7.00","35790","40282","Finance Officer","15.00","Finance"
"Department for Transport","DVSA (V)","Finance","160","8.00","45781","52717","Senior Finance  Manager","5.00","Finance"
"Department for Transport","DVSA (V)","Group HR","161","2.00","16752","17275","HR Support Officer","1.00","Human Resources"
"Department for Transport","DVSA (V)","Group HR","161","2.00","16752","17275","HR Support Officer","2.00","Human Resources"
"Department for Transport","DVSA (V)","Group HR","161","3.00","20410","20855","HR Support Officer","36.00","Human Resources"
"Department for Transport","DVSA (V)","Group HR","161","4.00","23441","25127","HR Support Officer","51.00","Human Resources"
"Department for Transport","DVSA (V)","Group HR","161","6.00","28644","31569","HR Officer","30.00","Human Resources"
"Department for Transport","DVSA (V)","Group HR","161","7.00","35790","40282","HR Officer","17.00","Human Resources"
"Department for Transport","DVSA (V)","Group HR","161","8.00","45781","52717","Senior HR Manager","10.00","Human Resources"
"Department for Transport","DVSA (V)","Group HR","161","10.00","57674","66533","Senior HR Manager","3.00","Human Resources"
"Department for Transport","DVSA (V)","CIO","?","2.00","16752","17275","IT Support Officer","1.00","Information Technology"
"Department for Transport","DVSA (V)","CIO","?","3.00","20410","20855","IT Support Officer","18.00","Information Technology"
"Department for Transport","DVSA (V)","CIO","?","4.00","23441","25127","IT Support Officer","28.00","Information Technology"
"Department for Transport","DVSA (V)","CIO","?","6.00","28644","31569","IT Manager","40.00","Information Technology"
"Department for Transport","DVSA (V)","CIO","?","7.00","35790","40282","IT Manager","19.00","Information Technology"
"Department for Transport","DVSA (V)","CIO","?","8.00","45781","52717","Senior IT Manager","4.00","Information Technology"
"Department for Transport","DVSA (V)","CIO","?","10.00","57674","66533","Senior IT Manager","1.00","Information Technology"
