Summary offences and offences triable only summarily,Current Quarter Month 1,Current Quarter Month 2,Current Quarter Month 3,Q2 2010/2011,Previous Quarter Month 1,Previous Quarter Month 2,Previous Quarter Month 3,Q2 2009/2010
Common assault,67,61,60,188,73,55,58,186
Assaulting a police officer,9,8,7,24,13,15,5,33
Section 4 and 4A Public Order Act 1986,15,14,15,44,15,2,13,30
Destroying or damaging property ,309,307,380,996,392,327,367,1086
Unlawful taking of a motor vehicle,0,3,5,8,0,0,1,1
Interference with vehicles,4,1,2,7,1,3,0,4
Section 5 Public Order Act 1986,9,11,7,27,13,10,5,28
Obstructing a police officer,2,1,4,7,1,3,1,5
Drunk and Disorderly,14,12,8,34,21,9,14,44
Indecent exposure,,,,0,,,,0
Simple drunk,1,0,1,2,0,1,1,2
Violent behaviour in a police station ,0,0,0,0,0,0,0,0
Other  summary only offences,38,45,80,163,72,64,54,190
Total,468,463,569,1500,601,489,519,1609



















,
