Number of applications in England and Wales divided by local authority,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Sep-17,,,,,,,,,,,
Local Authority,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,10637,17556,14781,380582,175104,2265,33477,39,23128,750088,179330,1586987
ALL COUNTIES,0,0,0,0,0,0,0,0,0,3,64,67
ADUR,10,23,8,417,242,2,14,0,16,691,174,1597
ALLERDALE,65,13,53,576,282,3,60,0,59,1088,237,2436
AMBER VALLEY,56,13,41,807,352,2,47,0,60,1089,264,2731
ARUN,21,52,58,1173,584,10,119,0,70,2379,701,5167
ASHFIELD,26,18,40,724,360,10,57,0,36,964,228,2463
ASHFORD,7,19,62,932,440,3,122,1,44,1824,399,3853
AYLESBURY VALE,37,29,83,1300,664,12,180,0,87,2968,701,6061
BABERGH,36,10,32,567,293,6,65,0,61,1060,253,2383
BARKING AND DAGENHAM,9,69,34,1090,507,4,51,0,37,2502,632,4935
BARNET,11,204,23,2252,1092,15,291,1,157,6324,1432,11802
BARNSLEY,46,41,95,1400,637,7,98,0,66,2105,505,5000
BARROW-IN-FURNESS,20,4,9,444,196,1,14,0,24,603,108,1423
BASILDON,16,19,17,1192,632,2,76,1,33,2097,520,4605
BASINGSTOKE AND DEANE,22,38,55,1175,554,21,94,1,40,2191,625,4816
BASSETLAW,21,16,38,711,296,2,63,0,66,1173,252,2638
BATH AND NORTH EAST SOMERSET,59,50,81,1236,567,8,144,0,86,2628,626,5485
BEDFORD,24,40,70,1228,570,1,210,0,68,2171,464,4846
BEXLEY,13,118,12,1611,770,3,97,0,41,2873,714,6252
BIRMINGHAM,107,195,100,5847,2506,21,367,0,376,11833,2279,23631
BLABY,10,20,51,681,325,1,76,0,30,948,210,2352
BLACKBURN WITH DARWEN,15,22,25,763,335,5,23,0,89,1710,385,3372
BLACKPOOL,21,26,11,845,443,6,15,0,83,1688,316,3454
BLAENAU GWENT,26,10,12,374,142,5,8,2,26,573,84,1262
BOLSOVER,13,8,32,513,202,3,37,0,26,867,167,1868
BOLTON,125,38,53,1483,755,35,94,0,130,3550,869,7132
BOSTON,22,19,18,359,175,0,44,0,37,672,137,1483
BOURNEMOUTH,48,126,15,1569,686,9,75,0,59,3040,882,6509
BRACKNELL FOREST,9,32,32,819,438,3,77,0,42,1582,386,3420
BRADFORD,73,113,89,2551,1209,5,164,0,127,5234,991,10556
BRAINTREE,30,18,32,1123,527,13,86,0,67,1883,499,4278
BRECKLAND,41,28,77,966,432,3,92,1,71,1682,458,3851
BRENT,0,226,6,1578,708,17,98,0,64,5494,1138,9329
BRENTWOOD,17,23,9,622,279,1,43,0,27,1300,280,2601
BRIDGEND,25,20,39,898,448,6,53,0,60,1500,299,3348
BRIGHTON AND HOVE,26,187,13,2234,1063,9,62,0,79,4673,1279,9625
BROADLAND,69,25,77,784,371,2,69,0,82,1286,301,3066
BROMLEY,12,128,18,2248,1156,8,95,0,58,4648,1002,9373
BROMSGROVE,20,27,47,734,339,3,66,0,28,1223,309,2796
BROXBOURNE,5,12,10,644,334,1,22,0,39,1395,312,2774
BROXTOWE,16,23,27,696,325,13,37,0,34,917,226,2314
BURNLEY,9,11,29,509,299,6,47,0,47,1360,295,2612
BURY,16,53,40,1158,561,3,50,0,101,2207,655,4844
CAERPHILLY,31,30,35,1262,478,4,31,0,53,1676,336,3936
CALDERDALE,35,18,47,1241,623,8,102,0,83,2324,471,4952
CAMBRIDGE,16,42,12,711,343,17,138,0,72,1432,351,3134
CAMDEN,5,243,3,1446,629,10,204,0,132,6118,1574,10364
CANNOCK CHASE,10,17,50,591,303,4,94,0,33,901,212,2215
CANTERBURY,8,76,27,1090,525,2,51,0,42,1911,442,4174
CARDIFF,46,79,44,2402,1136,5,109,0,86,4302,998,9207
CARLISLE,45,27,52,645,311,5,90,0,79,1197,265,2716
CARMARTHENSHIRE,135,21,87,1286,522,9,94,0,69,2210,425,4858
CASTLE POINT,53,11,4,606,279,0,19,0,45,862,138,2017
CENTRAL BEDFORDSHIRE,59,58,108,2143,972,4,267,0,111,3552,938,8212
CEREDIGION,89,13,33,472,165,3,32,0,41,837,135,1820
CHARNWOOD,30,27,61,1037,519,3,127,0,59,1581,342,3786
CHELMSFORD,40,63,38,1239,556,7,161,0,69,2154,517,4844
CHELTENHAM,29,50,38,885,377,1,46,0,41,1391,382,3240
CHERWELL,32,33,67,1076,415,2,149,0,73,2068,532,4447
CHESHIRE EAST,79,149,156,2754,1244,10,290,0,182,5273,1224,11361
CHESHIRE WEST AND CHESTER,64,216,121,2235,1072,7,389,0,147,4332,1071,9654
CHESTER,0,0,0,0,0,0,0,0,0,1,0,1
CHESTERFIELD,19,5,25,610,248,0,36,0,33,1061,269,2306
CHICHESTER,35,40,57,836,351,17,100,1,77,1924,432,3870
CHILTERN,30,16,17,660,268,3,40,0,63,1584,339,3020
CHORLEY,25,43,29,787,381,3,65,0,58,1322,307,3020
CHRISTCHURCH,6,21,13,340,165,0,19,0,19,610,184,1377
CITY OF BRISTOL,40,202,47,3238,1528,37,267,0,150,5774,1445,12728
CITY OF DERBY,25,48,40,1372,634,1,86,0,53,2255,496,5010
CITY OF KINGSTON UPON HULL,22,40,64,1271,804,11,105,0,98,2015,420,4850
CITY OF LONDON,3,72,2,302,93,18,100,0,59,2144,495,3288
CITY OF NOTTINGHAM,17,63,47,1570,754,7,134,0,72,3070,644,6378
CITY OF PETERBOROUGH,20,54,45,1342,609,4,198,0,71,2117,559,5019
CITY OF PLYMOUTH,22,72,30,1725,753,4,127,0,63,2450,628,5874
CITY OF WESTMINSTER,6,471,10,2675,1072,35,427,0,373,12522,3301,20892
COLCHESTER,40,41,66,1482,666,2,124,0,96,2181,563,5261
CONWY,34,53,28,932,348,3,66,0,93,1413,358,3328
COPELAND,30,4,79,431,145,5,22,0,40,668,170,1594
CORBY,10,11,40,452,222,0,84,0,35,817,279,1950
CORNWALL,265,98,212,3998,1864,15,525,0,432,7459,1941,16809
COTSWOLD,29,48,59,628,308,7,115,0,55,1600,371,3220
COUNTY DURHAM,151,70,184,2969,1293,13,270,0,193,5615,1185,11943
COVENTRY,40,68,48,2032,904,8,119,0,89,3454,654,7416
CRAVEN,26,8,28,366,185,1,47,0,36,728,187,1612
CRAWLEY,3,12,21,693,359,5,62,0,22,1218,279,2674
