Full Property Address,Current Rateable Value,Primary Liable party name,Account Mailing Address,Current Relief Type Description,Current Relief Award Start Date,Property Reference Number
"100, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",4300,Systemcam Ltd,"Head Cragg, Kirkby In Furness, Cumbria,  LA17 7TB",Empty Property Rate Non-Industrial,01/09/2015,105112501000N
"11 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",2600,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,01/04/2011,105117309130N
"122, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",20250,Tui Uk Ltd,"C/O  Colliers Int. Prop. Advisors Uk Llp, 12th Flr, 11 Brindley Pl, 2 Brunswick Square, Birmingham,  B1 2LP",Empty Property Rate Non-Industrial,24/09/2015,105117301220N
"1-2 & Pt 3, Lawson Street, Barrow In Furness, Cumbria, LA14 2LP",8900,Barrow Borough Council,"C/O Estates Dept, Town Hall, Duke Street, Barrow In Furness, Cumbria,  LA14 2LD",Empty Property Rate Non-Industrial,01/04/2011,105137700011N
"13/15/17 The Mall., Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",9600,Barrow Borough Council,"C/O Estates Dept, Town Hall, Duke Street, Barrow In Furness, Cumbria,  LA14 2LD",Empty Property Rate Non-Industrial,30/09/2015,105117309152N
"138, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",2900,Mcdougall Properties Ltd,"The Barn, 3 Roose Farm Lane, Barrow In Furness,  LA13 0HB",Empty Property Rate Non-Industrial,01/09/2015,104411601381N
"142, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",4650,Royal Mail Group Plc,"Game Retail Limited , C/O Dtz, National Rating Team, 1 Colmore Square , Birmingham,  B4 6AJ",Empty Property Rate Non-Industrial,01/04/2011,107300101420N
"19, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TP",2700,Cumbria County Council,"Fao Jim Nixon, Finance Officer, Parkhouse Bldg, Kingmoor Business Park, Carlisle, Cumbria ,  CA6 4SJ",Empty Property Rate Non-Industrial,18/10/2014,103357200190N
"1st & 2nd Fs, 35, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",8200,Ladbrokes Betting & Gaming Ltd,"C/O Montagu Evans Llp, 2nd Floor Abbey House, 74 Mosley Street, Manchester,  M2 3LW",Empty Property Rate Non-Industrial,01/04/2011,105111600331N
"20-24, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SE",15000,"Stokers Ltd,","277 Wennington Road, Southport, Merseyside,  PR9 7TW",Empty Property Rate Non-Industrial,10/07/2015,105111600200N
