Department family,Entity,Date,Expense type,Expense area,Supplier,Supplier Postcode,Transaction number,Amount
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Ipswich Borough Council,IP1 2DE,5100027918,26630
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Leicester City Council,LE1 6HL,5100027929,25114
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Liverpool City Council,L69 2DX,5100027937,48063
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Liverpool City Council,L69 2DX,5100027938,25547
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Liverpool City Council,L69 2DX,5100027939,33558
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Liverpool City Council,L69 2DX,5100027940,103920
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,London Borough of Camden,WC1H 8NH,5100027947,243677
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,West Lindsey District Council,NG34 4GL,5100027951,28795
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,West Lothian Council,EH48 1TT,5100027956,41525
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Manchester City Council,M60 2JR,5100027972,51094
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Woking Borough  Council,GU21 6YL,5100027974,42846
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Worthing Borough Council,BN11 1JN,5100027982,74972
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Newcastle City Council,NE99 1UP,5100027989,337307
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,North Lanarkshire Council,ML1 1SH,5100028003,194197
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,City Of London,EC2P 2EJ,5100028015,81346
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,City Of London,EC2P 2EJ,5100028016,50727
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Leeds City Council,LS2 8JR,5100028022,37888
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,Council Of The Borough,NE27 9AF,5100028026,29661
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,City Of Edinburgh Council,EH1 1UF,5100028053,27842
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,City Of Edinburgh Council,EH1 1UF,5100028055,34380
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,London Borough of Southwark,BR1 3YE,5100028062,150627
HMRC,HMRC,01/07/2011,Business Rates,Estates & Support Services,London Borough of Southwark,BR1 3YE,5100028063,70706
HMRC,HMRC,01/07/2011,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100028067,17079548.3
HMRC,HMRC,01/07/2011,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,M41 7HG,5100028068,2177077.8
HMRC,HMRC,01/07/2011,CHURN,Solicitors Office,Mapeley STEPS Contractor Ltd,SE1 0TA,5100028098,29494.57
HMRC,HMRC,01/07/2011,Crown Sol's Off NI,Debt Management & Banking,Crown Solicitors Office,BT1 3JY,5100028123,27040
HMRC,HMRC,04/07/2011,Proprietry sys maint,People Function,World Careers Network Plc,SW19 8DR,5100028184,52355.08
HMRC,HMRC,04/07/2011,Proprietry sys maint,People Function,World Careers Network Plc,SW19 8DR,5100028260,43285.58
HMRC,HMRC,04/07/2011,Proprietry sys maint,People Function,World Careers Network Plc,SW19 8DR,5100028267,67366.3
HMRC,HMRC,04/07/2011,Temp clerical/admin,People Function,MacLellan International Limited,B70 1EN,5100028301,9073.64
HMRC,HMRC,04/07/2011,Temp clerical/admin,Large Business Service,MacLellan International Limited,B70 1EN,5100028301,8766.04
HMRC,HMRC,04/07/2011,Temp clerical/admin,Charities Assets & Residence,MacLellan International Limited,B70 1EN,5100028301,5259.62
HMRC,HMRC,04/07/2011,Temp clerical/admin,Specialist Investigations (SI),MacLellan International Limited,B70 1EN,5100028301,5259.62
HMRC,HMRC,04/07/2011,Temp clerical/admin,Charities Assets & Residence,MacLellan International Limited,B70 1EN,5100028301,4625.99
HMRC,HMRC,04/07/2011,Temp clerical/admin,Customer Operations PSA & NICEO,MacLellan International Limited,B70 1EN,5100028301,3229.61
HMRC,HMRC,04/07/2011,Temp clerical/admin,Customer Operations PSA & NICEO,MacLellan International Limited,B70 1EN,5100028301,2985.68
HMRC,HMRC,04/07/2011,Temp clerical/admin,E&C Central Services,MacLellan International Limited,B70 1EN,5100028301,2922.01
HMRC,HMRC,04/07/2011,Research conslt serv,PAYE SA & NICs,Holden Pearrmain Research Ltd,KT13 0BG,5100028326,77040
HMRC,HMRC,04/07/2011,Software coding,Information Management Services,Accenture (UK) Limited,EC3M 3BD,5100028345,17898
HMRC,HMRC,04/07/2011,Software coding,Information Management Services,Accenture (UK) Limited,EC3M 3BD,5100028345,17898
HMRC,HMRC,04/07/2011,Software coding,Information Management Services,Accenture (UK) Limited,EC3M 3BD,5100028345,13188
HMRC,HMRC,04/07/2011,Software coding,Information Management Services,Accenture (UK) Limited,EC3M 3BD,5100028345,12246
