Area ,Current Quarter Month 1 Female,Current Quarter Month 2 Female,Current Quarter Month 3 Female,Q4 2010/2011 Female,Current Quarter Month 1 Male,Current Quarter Month 2 Male,Current Quarter Month 3 Male,Q4 2010/2011 Male,Previous Quarter Month 1 Female,Previous Quarter Month 2 Female,Previous Quarter Month 3 Female,Q4 2009/2010 Female,Previous Quarter Month 1 Male,Previous Quarter Month 2 Male,Previous Quarter Month 3 Male,Q4 2009/2010 Male
Avon & Somerset,1,1,0,2,15,12,16,43,0,0,1,1,16,11,16,43
Bedfordshire,1,1,2,4,15,13,10,38,1,0,0,1,7,5,5,17
British Transport Police,1,3,2,6,6,3,7,16,,1,,1,7,5,11,23
Cambridgeshire,7,2,4,13,33,26,24,83,3,2,1,6,12,27,31,70
Cheshire,1,0,2,3,5,11,11,27,1,2,1,4,8,14,16,38
Cleveland,0,1,0,1,3,5,5,13,5,0,3,8,5,2,3,10
Cumbria,3,2,2,7,7,7,19,33,4,2,2,8,16,11,11,38
Derbyshire,0,0,0,0,2,2,4,8,1,1,0,2,7,5,0,12
Devon and Cornwall,2,2,0,4,12,25,12,49,1,2,3,6,18,24,14,56
Dorset,3,2,0,5,17,4,8,29,0,0,4,4,9,4,7,20
Durham,1,0,0,1,0,5,2,7,0,1,0,1,7,4,5,16
Dyfed Powys,3,1,0,4,3,2,3,8,1,2,0,3,3,6,8,17
Essex,1,1,0,2,19,15,9,43,4,7,3,14,25,22,23,70
Gloucestershire,0,0,0,0,2,0,1,3,0,1,0,1,2,6,4,12
Greater Manchester,1,1,1,3,7,4,9,20,2,1,1,4,7,4,4,15
Gwent,0,0,0,0,2,4,0,6,1,0,0,1,1,2,5,8
Hampshire & IOW,5,2,1,8,17,23,24,64,4,4,7,15,24,24,23,71
Hertfordshire,2,6,3,11,22,19,25,66,2,0,0,2,11,6,7,24
Humberside,5,1,2,8,25,14,9,48,2,6,3,11,19,23,21,63
Kent,1,1,5,7,12,19,17,48,1,2,3,6,22,13,19,54
Lancashire,9,4,4,17,34,30,23,87,4,9,8,21,43,33,52,128
Leicestershire,2,1,3,6,8,6,8,22,1,0,2,3,8,9,11,28
Lincolnshire,1,2,1,4,1,3,4,8,4,2,2,8,9,1,5,15
London,6,3,4,13,35,28,42,105,2,4,10,16,49,34,51,134
Merseyside,15,10,7,32,32,30,32,94,7,9,11,27,24,28,19,71
Norfolk,4,2,3,9,19,11,19,49,5,3,3,11,17,18,25,60
Northamptonshire,0,0,2,2,7,2,10,19,0,0,1,1,9,13,7,29
Northumbria,2,2,3,7,9,2,5,16,2,2,0,4,10,6,6,22
North Wales,1,2,1,4,8,7,10,25,1,8,5,14,12,23,24,59
North Yorkshire,1,5,3,9,5,12,8,25,0,3,0,3,31,14,17,62
Nottinghamshire,0,4,1,5,5,15,13,33,3,4,0,7,11,21,6,38
South Wales,1,0,1,2,7,4,8,19,3,3,1,7,10,11,15,36
South Yorkshire,0,2,0,2,1,5,4,10,2,0,2,4,13,7,11,31
Staffordshire,0,0,0,0,3,8,8,19,1,3,0,4,7,8,16,31
Suffolk,3,0,0,3,2,4,4,10,1,1,0,2,6,7,9,22
Surrey,0,1,0,1,6,7,9,22,0,2,3,5,7,6,12,25
Sussex,3,1,2,6,18,16,13,47,0,1,3,4,12,24,19,55
Thames Valley,0,3,0,3,19,14,12,45,3,1,2,6,12,12,16,40
Warwickshire,1,0,0,1,5,3,1,9,0,2,0,2,5,6,7,18
West Mercia,1,0,0,1,1,3,0,4,1,0,1,2,9,5,8,22
West Midlands,0,1,0,1,5,1,2,8,1,0,2,3,9,14,8,31
West Yorkshire,1,1,1,3,7,8,5,20,1,0,1,2,10,5,16,31
Wiltshire,0,0,0,0,2,1,0,3,1,0,0,1,10,3,5,18
Total,89,71,60,220,463,433,455,"1,351",76,91,89,256,559,526,598,"1,683"
